Object Name,Time,PosX,PosY,PosZ,,,
CV7,557.0787,-1.915195,1.273566,-0.1357498,,,
CV7,557.0893,-1.915145,1.273572,-0.1358181,,,
CV7,557.0967,-1.915102,1.273556,-0.1359097,,,
CV7,557.1038,-1.914982,1.273673,-0.1359909,,,
CV7,557.1115,-1.914957,1.273644,-0.1360797,,,
CV7,557.1173,-1.914949,1.273627,-0.1361662,,,
CV7,557.1248,-1.914898,1.273598,-0.1362303,,,
CV7,557.1312,-1.914871,1.273588,-0.1363063,,,
CV7,557.1381,-1.914906,1.273642,-0.1362931,,,
CV7,557.1455,-1.914892,1.273665,-0.1363721,,,
CV7,557.1517,-1.914854,1.273661,-0.136408,,,
CV7,557.1589,-1.914798,1.273602,-0.1364902,,,
CV7,557.166,-1.914762,1.273596,-0.136487,,,
CV7,557.1734,-1.914734,1.273586,-0.1365219,,,
CV7,557.1799,-1.914747,1.273565,-0.1365623,,,
CV7,557.1867,-1.914731,1.273547,-0.1365881,,,
CV7,557.1944,-1.914805,1.273529,-0.1365708,,,
CV7,557.2004,-1.914814,1.273525,-0.1365963,,,
CV7,557.2078,-1.914834,1.273531,-0.136649,,,
CV7,557.2147,-1.914825,1.273471,-0.1366712,,,
CV7,557.2213,-1.914852,1.27347,-0.1366863,,,
CV7,557.2288,-1.914868,1.273458,-0.1367131,,,
CV7,557.2364,-1.91488,1.273525,-0.1367075,,,
CV7,557.2432,-1.914902,1.27352,-0.1367701,,,
CV7,557.2493,-1.914902,1.273517,-0.13677,,,
CV7,557.2563,-1.914825,1.273482,-0.1367857,,,
CV7,557.2634,-1.914806,1.273448,-0.1367815,,,
CV7,557.2703,-1.914808,1.273436,-0.1368036,,,
CV7,557.2773,-1.914764,1.273401,-0.1367676,,,
CV7,557.285,-1.914742,1.273352,-0.136759,,,
CV7,557.2906,-1.914744,1.273353,-0.1367186,,,
CV7,557.2979,-1.914773,1.273323,-0.1366695,,,
CV7,557.3121,-1.914789,1.273326,-0.1366559,,,
CV7,557.3188,-1.914802,1.273307,-0.1366002,,,
CV7,557.3259,-1.914823,1.273239,-0.1365756,,,
CV7,557.3329,-1.914811,1.273185,-0.1364973,,,
CV7,557.3393,-1.914848,1.273243,-0.1363636,,,
CV7,557.347,-1.914871,1.273244,-0.1363387,,,
CV7,557.3533,-1.914887,1.27323,-0.1362811,,,
CV7,557.3602,-1.914928,1.273245,-0.1361943,,,
CV7,557.3676,-1.914958,1.273254,-0.136168,,,
CV7,557.3743,-1.915027,1.273233,-0.1360884,,,
CV7,557.3813,-1.915055,1.273256,-0.1360049,,,
CV7,557.3879,-1.915081,1.273284,-0.1359485,,,
CV7,557.3953,-1.915137,1.273282,-0.1358528,,,
CV7,557.402,-1.915184,1.273333,-0.1357651,,,
CV7,557.4095,-1.915186,1.273359,-0.1356285,,,
CV7,557.4164,-1.915213,1.273396,-0.1355984,,,
CV7,557.4226,-1.915235,1.273418,-0.1355309,,,
CV7,557.4299,-1.915232,1.273399,-0.1354533,,,
CV7,557.4366,-1.915226,1.273431,-0.1353123,,,
CV7,557.4443,-1.915216,1.273427,-0.1352274,,,
CV7,557.4507,-1.915208,1.273441,-0.1351658,,,
CV7,557.4579,-1.915176,1.273469,-0.1350648,,,
CV7,557.4649,-1.915166,1.273484,-0.1350099,,,
CV7,557.4715,-1.91514,1.27348,-0.1349417,,,
CV7,557.4785,-1.915101,1.273472,-0.1349493,,,
CV7,557.4854,-1.91508,1.273464,-0.1349089,,,
CV7,557.4922,-1.915065,1.273476,-0.1347966,,,
CV7,557.4994,-1.915078,1.27345,-0.1347593,,,
CV7,557.5062,-1.915064,1.273453,-0.134724,,,
CV7,557.5131,-1.915082,1.273502,-0.1346658,,,
CV7,557.5228,-1.915112,1.273434,-0.1346534,,,
CV7,557.5294,-1.915115,1.27343,-0.1346127,,,
CV7,557.5349,-1.915162,1.273433,-0.1345858,,,
CV7,557.5405,-1.915168,1.273457,-0.1345213,,,
CV7,557.548,-1.915184,1.273498,-0.1344631,,,
CV7,557.555,-1.915253,1.273562,-0.1344677,,,
CV7,557.5618,-1.915285,1.2736,-0.1344405,,,
CV7,557.5687,-1.915307,1.273643,-0.1343855,,,
CV7,557.5762,-1.915294,1.273687,-0.1343527,,,
CV7,557.5829,-1.915309,1.273695,-0.1343368,,,
CV7,557.5896,-1.91533,1.273709,-0.1343271,,,
CV7,557.5966,-1.915284,1.273678,-0.1342484,,,
CV7,557.6032,-1.915284,1.273697,-0.1342401,,,
CV7,557.6103,-1.915263,1.273731,-0.1341833,,,
CV7,557.6174,-1.91525,1.273749,-0.134154,,,
CV7,557.624,-1.915224,1.273754,-0.1340983,,,
CV7,557.6315,-1.915222,1.273808,-0.1340557,,,
CV7,557.6379,-1.915172,1.273831,-0.1340103,,,
CV7,557.6452,-1.91516,1.273866,-0.1339427,,,
CV7,557.6525,-1.915145,1.273884,-0.1339034,,,
CV7,557.6592,-1.915089,1.273928,-0.1339314,,,
CV7,557.6658,-1.915082,1.273929,-0.1339499,,,
CV7,557.6731,-1.915025,1.273885,-0.1339663,,,
CV7,557.68,-1.915012,1.273891,-0.1339735,,,
CV7,557.6868,-1.915011,1.273894,-0.1339793,,,
CV7,557.6938,-1.915023,1.273856,-0.1339852,,,
CV7,557.7005,-1.915021,1.273873,-0.1339932,,,
CV7,557.7075,-1.915015,1.273888,-0.1339965,,,
CV7,557.7146,-1.91509,1.27391,-0.1339929,,,
CV7,557.7213,-1.915062,1.273878,-0.1339834,,,
CV7,557.7286,-1.915052,1.273885,-0.1339797,,,
CV7,557.7358,-1.915104,1.273873,-0.1340193,,,
CV7,557.7421,-1.915076,1.273842,-0.1340042,,,
CV7,557.749,-1.915062,1.273828,-0.1340237,,,
CV7,557.756,-1.915089,1.273827,-0.1340122,,,
CV7,557.7632,-1.915051,1.273785,-0.1340368,,,
CV7,557.7701,-1.915034,1.273773,-0.1340619,,,
CV7,557.7776,-1.91504,1.2738,-0.1340604,,,
CV7,557.7845,-1.915024,1.273799,-0.1340849,,,
CV7,557.7908,-1.914993,1.273803,-0.1341091,,,
CV7,557.7983,-1.91495,1.273802,-0.1341132,,,
CV7,557.8053,-1.91493,1.273798,-0.1341533,,,
CV7,557.8124,-1.914879,1.273889,-0.1341296,,,
CV7,557.8195,-1.914863,1.273913,-0.1341756,,,
CV7,557.8265,-1.914837,1.273928,-0.1341702,,,
CV7,557.8337,-1.914741,1.273924,-0.1342279,,,
CV7,557.8402,-1.914698,1.273929,-0.1342326,,,
CV7,557.8475,-1.914657,1.273936,-0.1342766,,,
CV7,557.8542,-1.914587,1.273902,-0.1343327,,,
CV7,557.8614,-1.914533,1.273894,-0.1343698,,,
CV7,557.8684,-1.914487,1.273885,-0.1344016,,,
CV7,557.8755,-1.914495,1.273867,-0.1343759,,,
CV7,557.8824,-1.914455,1.273882,-0.1343924,,,
CV7,557.8895,-1.91442,1.273895,-0.1343962,,,
CV7,557.8962,-1.914385,1.273868,-0.1343978,,,
CV7,557.9027,-1.914364,1.273908,-0.1344134,,,
CV7,557.9102,-1.91432,1.273904,-0.1344075,,,
CV7,557.9171,-1.914314,1.273946,-0.134437,,,
CV7,557.9238,-1.914278,1.273962,-0.1344521,,,
CV7,557.9306,-1.914251,1.273971,-0.134473,,,
CV7,557.9376,-1.914261,1.273989,-0.1345493,,,
CV7,557.945,-1.914237,1.274012,-0.1345758,,,
CV7,557.9512,-1.914175,1.274015,-0.1346062,,,
CV7,557.9586,-1.914179,1.273954,-0.1346214,,,
CV7,557.9658,-1.914155,1.274021,-0.1346193,,,
CV7,557.9725,-1.914102,1.273999,-0.1346299,,,
CV7,557.9797,-1.914116,1.273939,-0.1346151,,,
CV7,557.9867,-1.914097,1.273959,-0.1346099,,,
