Object Name,Time,PosX,PosY,PosZ,,,
L1,2.420974,-2.696304,0.7291915,1.822698,,,
L1,2.431628,-2.696303,0.7291912,1.822681,,,
L1,2.436951,-2.696297,0.7291919,1.822673,,,
L1,2.442745,-2.696331,0.729184,1.822602,,,
L1,2.449803,-2.696331,0.7291828,1.822593,,,
L1,2.45669,-2.696336,0.7291803,1.822576,,,
L1,2.463906,-2.696309,0.7291821,1.822527,,,
L1,2.470587,-2.696308,0.7291808,1.822512,,,
L1,2.477501,-2.696277,0.7291999,1.822781,,,
L1,2.484476,-2.696264,0.729202,1.822766,,,
L1,2.491794,-2.696254,0.7292033,1.822751,,,
L1,2.49859,-2.696263,0.7292087,1.822853,,,
L1,2.505446,-2.696269,0.7292075,1.822855,,,
L1,2.512255,-2.696265,0.7292081,1.822846,,,
L1,2.519138,-2.69627,0.7292046,1.822798,,,
L1,2.526142,-2.696268,0.729205,1.822793,,,
L1,2.533237,-2.696281,0.7292024,1.822803,,,
L1,2.540161,-2.696281,0.7292057,1.822882,,,
L1,2.547226,-2.696264,0.7292088,1.822861,,,
L1,2.554156,-2.696275,0.7292061,1.822868,,,
L1,2.560786,-2.696298,0.729189,1.822603,,,
L1,2.568126,-2.696299,0.7291882,1.822591,,,
L1,2.575074,-2.696302,0.7291865,1.822573,,,
L1,2.581688,-2.696284,0.7291822,1.822452,,,
L1,2.588729,-2.696274,0.7291833,1.82243,,,
L1,2.595992,-2.696268,0.7291837,1.822419,,,
L1,2.603966,-2.696235,0.7291991,1.822592,,,
L1,2.609659,-2.696239,0.7291974,1.822592,,,
L1,2.616956,-2.696241,0.7291963,1.822587,,,
L1,2.623576,-2.696274,0.7291893,1.822567,,,
L1,2.630427,-2.696264,0.7291911,1.822546,,,
L1,2.637254,-2.696262,0.7291906,1.822537,,,
L1,2.644089,-2.696296,0.7291921,1.822649,,,
L1,2.651183,-2.696297,0.7291921,1.822645,,,
L1,2.658067,-2.696296,0.7291919,1.822636,,,
L1,2.66519,-2.696302,0.7291901,1.82263,,,
L1,2.672753,-2.696311,0.729188,1.822626,,,
L1,2.679307,-2.696266,0.7291919,1.822561,,,
L1,2.685909,-2.696268,0.7291904,1.822546,,,
L1,2.692966,-2.696275,0.7291889,1.822545,,,
L1,2.699754,-2.696277,0.7292039,1.822795,,,
L1,2.70678,-2.696272,0.7292045,1.822783,,,
L1,2.713658,-2.696267,0.729205,1.822777,,,
L1,2.720514,-2.696244,0.7291995,1.822626,,,
L1,2.727593,-2.69625,0.7291973,1.822628,,,
L1,2.734432,-2.696245,0.7291982,1.822608,,,
L1,2.741449,-2.696234,0.7292025,1.822658,,,
L1,2.748368,-2.69623,0.7292029,1.822646,,,
L1,2.755377,-2.696234,0.7292005,1.822639,,,
L1,2.762276,-2.696236,0.7291995,1.822634,,,
L1,2.769321,-2.696229,0.7292,1.822614,,,
L1,2.776436,-2.69625,0.729211,1.822851,,,
L1,2.783467,-2.69625,0.7292105,1.822844,,,
L1,2.790784,-2.696242,0.7292116,1.822826,,,
