Object Name,Time,PosX,PosY,PosZ,,,
LAH,557.0787,-1.821021,1.497086,-0.0563727,,,
LAH,557.0893,-1.820962,1.497084,-0.0564298,,,
LAH,557.0967,-1.820916,1.49707,-0.05653149,,,
LAH,557.1038,-1.82078,1.497168,-0.05657452,,,
LAH,557.1115,-1.820757,1.497135,-0.05665237,,,
LAH,557.1173,-1.820753,1.4971,-0.05667919,,,
LAH,557.1248,-1.820691,1.49706,-0.05672449,,,
LAH,557.1312,-1.82067,1.497037,-0.05675608,,,
LAH,557.1381,-1.820741,1.497097,-0.05671388,,,
LAH,557.1455,-1.820745,1.497111,-0.05674356,,,
LAH,557.1517,-1.820706,1.497092,-0.05673474,,,
LAH,557.1589,-1.82066,1.497026,-0.05678958,,,
LAH,557.166,-1.820633,1.497016,-0.05676419,,,
LAH,557.1734,-1.820615,1.496993,-0.05674332,,,
LAH,557.1799,-1.820653,1.496953,-0.05669171,,,
LAH,557.1867,-1.820655,1.496924,-0.0566625,,,
LAH,557.1944,-1.820775,1.496893,-0.05654794,,,
LAH,557.2004,-1.820809,1.496876,-0.05650681,,,
LAH,557.2078,-1.820859,1.496863,-0.05646771,,,
LAH,557.2147,-1.820857,1.496776,-0.05640191,,,
LAH,557.2213,-1.820922,1.496768,-0.05635124,,,
LAH,557.2288,-1.820965,1.496736,-0.05628592,,,
LAH,557.2364,-1.821021,1.496796,-0.05620724,,,
LAH,557.2432,-1.821089,1.496773,-0.05615789,,,
LAH,557.2493,-1.82111,1.496748,-0.05606669,,,
LAH,557.2563,-1.821034,1.49669,-0.05601209,,,
LAH,557.2634,-1.821038,1.496642,-0.05593163,,,
LAH,557.2703,-1.821073,1.496612,-0.05586308,,,
LAH,557.2773,-1.821034,1.496569,-0.05579644,,,
LAH,557.285,-1.821027,1.496503,-0.05572301,,,
LAH,557.2906,-1.821037,1.49649,-0.05562931,,,
LAH,557.2979,-1.821082,1.496452,-0.05553895,,,
LAH,557.3121,-1.821111,1.496443,-0.05547303,,,
LAH,557.3188,-1.82112,1.496409,-0.05537885,,,
LAH,557.3259,-1.821142,1.496316,-0.05528229,,,
LAH,557.3329,-1.821107,1.496243,-0.05517405,,,
LAH,557.3393,-1.821152,1.496291,-0.05499786,,,
LAH,557.347,-1.82117,1.496264,-0.05489868,,,
LAH,557.3533,-1.821172,1.496234,-0.05479926,,,
LAH,557.3602,-1.821208,1.496232,-0.05466455,,,
LAH,557.3676,-1.821234,1.496221,-0.05458075,,,
LAH,557.3743,-1.821297,1.496185,-0.05446428,,,
LAH,557.3813,-1.821302,1.496192,-0.05435687,,,
LAH,557.3879,-1.821314,1.496199,-0.05425566,,,
LAH,557.3953,-1.821355,1.496184,-0.05413848,,,
LAH,557.402,-1.821375,1.49622,-0.05404192,,,
LAH,557.4095,-1.82134,1.496235,-0.05391055,,,
LAH,557.4164,-1.821347,1.496256,-0.05386263,,,
LAH,557.4226,-1.821361,1.496268,-0.05377764,,,
LAH,557.4299,-1.821326,1.496229,-0.05367416,,,
LAH,557.4366,-1.821298,1.496247,-0.05351466,,,
LAH,557.4443,-1.821264,1.496226,-0.05340689,,,
LAH,557.4507,-1.821243,1.496224,-0.05331057,,,
LAH,557.4579,-1.821192,1.496238,-0.05319518,,,
LAH,557.4649,-1.821175,1.496238,-0.05310696,,,
LAH,557.4715,-1.821133,1.496213,-0.05299288,,,
LAH,557.4785,-1.821083,1.496191,-0.05297369,,,
LAH,557.4854,-1.821057,1.496166,-0.05289,,,
LAH,557.4922,-1.821032,1.496159,-0.05272728,,,
LAH,557.4994,-1.821049,1.496124,-0.05266446,,,
LAH,557.5062,-1.821028,1.496112,-0.05259234,,,
LAH,557.5131,-1.821064,1.496162,-0.05251867,,,
LAH,557.5228,-1.821115,1.496084,-0.05245453,,,
LAH,557.5294,-1.821113,1.496081,-0.05242306,,,
LAH,557.5349,-1.821175,1.496085,-0.05237895,,,
LAH,557.5405,-1.821179,1.496113,-0.05233377,,,
LAH,557.548,-1.821191,1.496153,-0.05227977,,,
LAH,557.555,-1.821287,1.496229,-0.05228859,,,
LAH,557.5618,-1.821327,1.496273,-0.05226928,,,
LAH,557.5687,-1.821343,1.496312,-0.05221063,,,
LAH,557.5762,-1.821317,1.496352,-0.05218834,,,
LAH,557.5829,-1.821336,1.496358,-0.05215722,,,
LAH,557.5896,-1.821356,1.496369,-0.05213863,,,
LAH,557.5966,-1.821279,1.496328,-0.05206531,,,
LAH,557.6032,-1.821289,1.496351,-0.0520578,,,
LAH,557.6103,-1.821277,1.496396,-0.05202085,,,
LAH,557.6174,-1.821272,1.496423,-0.05200702,,,
LAH,557.624,-1.821249,1.496451,-0.05201346,,,
LAH,557.6315,-1.82127,1.496536,-0.05204004,,,
LAH,557.6379,-1.821222,1.496578,-0.05204219,,,
LAH,557.6452,-1.821215,1.496638,-0.05204111,,,
LAH,557.6525,-1.821212,1.49668,-0.05205983,,,
LAH,557.6592,-1.821156,1.496725,-0.05208772,,,
