Object Name,Time,PosX,PosY,PosZ,,,
LCAJ,2.420974,-2.609396,0.616393,2.15473,,,
LCAJ,2.431628,-2.6094,0.6163942,2.154713,,,
LCAJ,2.436951,-2.609398,0.6163957,2.154705,,,
LCAJ,2.442745,-2.609437,0.6163923,2.154638,,,
LCAJ,2.449803,-2.609433,0.6163909,2.154629,,,
LCAJ,2.45669,-2.609439,0.6163898,2.154613,,,
LCAJ,2.463906,-2.609416,0.6163934,2.154563,,,
LCAJ,2.470587,-2.609415,0.6163933,2.154549,,,
LCAJ,2.477501,-2.609366,0.616396,2.154809,,,
LCAJ,2.484476,-2.609358,0.616399,2.154794,,,
LCAJ,2.491794,-2.609351,0.6164007,2.154779,,,
LCAJ,2.49859,-2.60936,0.6164019,2.154879,,,
LCAJ,2.505446,-2.609367,0.6164014,2.154881,,,
LCAJ,2.512255,-2.609367,0.6164029,2.154872,,,
LCAJ,2.519138,-2.609371,0.6164013,2.154824,,,
LCAJ,2.526142,-2.609371,0.6164023,2.154821,,,
LCAJ,2.533237,-2.609379,0.6163993,2.15483,,,
LCAJ,2.540161,-2.60937,0.616398,2.154908,,,
LCAJ,2.547226,-2.609361,0.6164023,2.154887,,,
LCAJ,2.554156,-2.609368,0.6163999,2.154895,,,
LCAJ,2.560786,-2.609405,0.6163962,2.154637,,,
LCAJ,2.568126,-2.609411,0.6163974,2.154625,,,
LCAJ,2.575074,-2.609414,0.6163967,2.154608,,,
LCAJ,2.581688,-2.6094,0.6163977,2.154489,,,
LCAJ,2.588729,-2.609389,0.6163981,2.154467,,,
LCAJ,2.595992,-2.609388,0.6163998,2.154457,,,
LCAJ,2.603966,-2.609349,0.6164052,2.154624,,,
LCAJ,2.609659,-2.609347,0.6164031,2.154624,,,
LCAJ,2.616956,-2.609349,0.6164025,2.154619,,,
LCAJ,2.623576,-2.60938,0.6163978,2.154601,,,
LCAJ,2.630427,-2.609378,0.6164008,2.15458,,,
LCAJ,2.637254,-2.609379,0.616402,2.154571,,,
LCAJ,2.644089,-2.609403,0.6163977,2.154682,,,
LCAJ,2.651183,-2.609406,0.6163977,2.154678,,,
LCAJ,2.658067,-2.609403,0.6163973,2.154669,,,
LCAJ,2.66519,-2.609407,0.6163962,2.154663,,,
LCAJ,2.672753,-2.609417,0.6163952,2.15466,,,
LCAJ,2.679307,-2.609379,0.6164008,2.154595,,,
LCAJ,2.685909,-2.609382,0.6164008,2.154579,,,
LCAJ,2.692966,-2.609389,0.6163995,2.154579,,,
LCAJ,2.699754,-2.609378,0.6164008,2.154823,,,
LCAJ,2.70678,-2.609375,0.6164017,2.154811,,,
LCAJ,2.713658,-2.609371,0.6164021,2.154805,,,
LCAJ,2.720514,-2.609352,0.6164035,2.154657,,,
LCAJ,2.727593,-2.609354,0.6164011,2.154659,,,
LCAJ,2.734432,-2.609358,0.6164038,2.154639,,,
LCAJ,2.741449,-2.609344,0.6164055,2.154688,,,
LCAJ,2.748368,-2.609344,0.6164067,2.154675,,,
LCAJ,2.755377,-2.609342,0.6164047,2.154669,,,
LCAJ,2.762276,-2.60934,0.6164029,2.154664,,,
LCAJ,2.769321,-2.609338,0.6164048,2.154645,,,
LCAJ,2.776436,-2.609349,0.616404,2.154876,,,
LCAJ,2.783467,-2.60935,0.6164041,2.15487,,,
LCAJ,2.790784,-2.609347,0.616406,2.154852,,,
LCAJ,2.797891,-2.609361,0.616404,2.154755,,,
LCAJ,2.804767,-2.609366,0.6164036,2.154739,,,
LCAJ,2.811703,-2.609368,0.6164023,2.154732,,,
LCAJ,2.818737,-2.609421,0.6163926,2.154634,,,
LCAJ,2.826211,-2.609423,0.6163924,2.15462,,,
LCAJ,2.832619,-2.609423,0.6163927,2.15461,,,
LCAJ,2.839905,-2.609428,0.6163923,2.154358,,,
LCAJ,2.84645,-2.609432,0.616392,2.154348,,,
LCAJ,2.853245,-2.609427,0.6163905,2.15434,,,
LCAJ,2.860538,-2.609428,0.6163932,2.154404,,,
LCAJ,2.867272,-2.609428,0.6163934,2.154396,,,
LCAJ,2.874249,-2.609427,0.6163964,2.154373,,,
LCAJ,2.881278,-2.60941,0.616397,2.154643,,,
LCAJ,2.888227,-2.609412,0.6163966,2.154638,,,
LCAJ,2.894965,-2.609415,0.6163959,2.154633,,,
LCAJ,2.902031,-2.609406,0.6163961,2.154465,,,
LCAJ,2.908931,-2.609411,0.6163957,2.154453,,,
LCAJ,2.915966,-2.609414,0.616395,2.154442,,,
LCAJ,2.92302,-2.609391,0.6163998,2.154586,,,
LCAJ,2.929796,-2.609386,0.6163978,2.154576,,,
LCAJ,2.936748,-2.609385,0.6163979,2.154638,,,
LCAJ,2.943689,-2.60939,0.6163999,2.154617,,,
LCAJ,2.950568,-2.609398,0.6163981,2.154613,,,
LCAJ,2.957631,-2.60941,0.6163961,2.154747,,,
LCAJ,2.964496,-2.609401,0.6163962,2.154733,,,
LCAJ,2.971441,-2.609404,0.6163958,2.154733,,,
LCAJ,2.978847,-2.609432,0.6163951,2.154713,,,
LCAJ,2.985551,-2.609432,0.6163951,2.154706,,,
LCAJ,2.992272,-2.609435,0.6163953,2.154701,,,
LCAJ,2.999219,-2.609469,0.6163918,2.154826,,,
LCAJ,3.006225,-2.609478,0.6163926,2.15482,,,
LCAJ,3.013097,-2.609487,0.6163912,2.15482,,,
LCAJ,3.020053,-2.609489,0.6163898,2.154816,,,
LCAJ,3.027069,-2.609496,0.6163874,2.154812,,,
LCAJ,3.033854,-2.609502,0.6163891,2.154796,,,
LCAJ,3.040962,-2.609452,0.6163927,2.154868,,,
LCAJ,3.047923,-2.609461,0.6163926,2.154862,,,
LCAJ,3.054775,-2.609475,0.6163917,2.154824,,,
LCAJ,3.061702,-2.609481,0.6163897,2.154824,,,
LCAJ,3.068681,-2.609488,0.6163914,2.154813,,,
LCAJ,3.075851,-2.609494,0.6163911,2.154807,,,
LCAJ,3.082618,-2.609459,0.6163938,2.154757,,,
LCAJ,3.089543,-2.609461,0.6163936,2.154759,,,
LCAJ,3.096555,-2.609421,0.6163988,2.154737,,,
LCAJ,3.103326,-2.609412,0.6163985,2.154733,,,
LCAJ,3.110597,-2.609409,0.6163976,2.154729,,,
LCAJ,3.117232,-2.609399,0.6164026,2.154899,,,
LCAJ,3.124188,-2.609393,0.6164013,2.1549,,,
LCAJ,3.131128,-2.609387,0.6164027,2.154888,,,
LCAJ,3.138248,-2.609392,0.6164014,2.154997,,,
LCAJ,3.144972,-2.609389,0.6164038,2.15498,,,
LCAJ,3.152028,-2.609382,0.6164053,2.154969,,,
LCAJ,3.158906,-2.609365,0.6164046,2.155008,,,
LCAJ,3.165848,-2.609365,0.6164068,2.155,,,
LCAJ,3.172896,-2.60937,0.6164036,2.155011,,,
LCAJ,3.179819,-2.609416,0.616401,2.154906,,,
LCAJ,3.186677,-2.609417,0.6164002,2.154906,,,
LCAJ,3.193666,-2.609419,0.6163992,2.15491,,,
LCAJ,3.20106,-2.60942,0.6164008,2.154905,,,
LCAJ,3.207923,-2.609458,0.616396,2.154806,,,
LCAJ,3.214563,-2.609458,0.6163948,2.154805,,,
LCAJ,3.221451,-2.609459,0.6163964,2.154792,,,
LCAJ,3.228619,-2.609465,0.6163962,2.154785,,,
LCAJ,3.237859,-2.609467,0.6163961,2.154773,,,
LCAJ,3.242196,-2.609462,0.616396,2.154755,,,
LCAJ,3.249029,-2.609379,0.6164065,2.15495,,,
LCAJ,3.25611,-2.609377,0.6164057,2.154946,,,
LCAJ,3.263007,-2.609364,0.6164067,2.154932,,,
LCAJ,3.269776,-2.609365,0.6164068,2.154931,,,
LCAJ,3.27681,-2.609363,0.6164039,2.154927,,,
LCAJ,3.283679,-2.609358,0.6164061,2.154915,,,
LCAJ,3.290806,-2.609364,0.6164052,2.154921,,,
LCAJ,3.297816,-2.609392,0.6164004,2.154752,,,
LCAJ,3.304637,-2.609393,0.6164032,2.154731,,,
LCAJ,3.311532,-2.609396,0.6164016,2.154729,,,
LCAJ,3.318444,-2.609382,0.6164048,2.154659,,,
LCAJ,3.325547,-2.609389,0.6164026,2.154659,,,
LCAJ,3.332608,-2.609385,0.6164056,2.15463,,,
LCAJ,3.339391,-2.60933,0.6164066,2.154814,,,
LCAJ,3.346312,-2.609333,0.6164075,2.1548,,,
LCAJ,3.353067,-2.609332,0.6164091,2.154783,,,
LCAJ,3.360134,-2.609302,0.6164146,2.155048,,,
LCAJ,3.367046,-2.609293,0.6164144,2.155043,,,
LCAJ,3.374126,-2.609285,0.616414,2.155038,,,
LCAJ,3.38111,-2.609263,0.6164195,2.154989,,,
LCAJ,3.388238,-2.609261,0.6164171,2.154995,,,
LCAJ,3.394827,-2.609286,0.6164113,2.155078,,,
LCAJ,3.401735,-2.609288,0.6164176,2.155056,,,
LCAJ,3.408911,-2.609288,0.616415,2.155062,,,
LCAJ,3.415822,-2.609353,0.6164073,2.155119,,,
LCAJ,3.423173,-2.609354,0.6164079,2.155113,,,
LCAJ,3.430099,-2.60936,0.6164069,2.15511,,,
LCAJ,3.436479,-2.609357,0.616405,2.155107,,,
LCAJ,3.443435,-2.609371,0.6164037,2.155109,,,
LCAJ,3.450369,-2.609366,0.6164062,2.155093,,,
LCAJ,3.457527,-2.609371,0.6164025,2.155102,,,
LCAJ,3.464354,-2.609373,0.6164045,2.155092,,,
LCAJ,3.471501,-2.609373,0.6164036,2.15509,,,
LCAJ,3.478459,-2.609442,0.6163965,2.155039,,,
LCAJ,3.485285,-2.609455,0.6163967,2.155037,,,
LCAJ,3.492383,-2.609457,0.6163965,2.15503,,,
LCAJ,3.499221,-2.609429,0.6163996,2.155128,,,
LCAJ,3.506344,-2.609434,0.6163988,2.155126,,,
LCAJ,3.513098,-2.609436,0.6163991,2.155117,,,
LCAJ,3.520001,-2.609438,0.6163996,2.155099,,,
LCAJ,3.527361,-2.609446,0.6164005,2.155088,,,
LCAJ,3.534142,-2.60944,0.6164014,2.155075,,,
LCAJ,3.541012,-2.609439,0.6163993,2.155079,,,
LCAJ,3.547856,-2.609445,0.6163977,2.155081,,,
LCAJ,3.55479,-2.609459,0.6163957,2.155091,,,
LCAJ,3.561612,-2.609449,0.6163986,2.154981,,,
LCAJ,3.568624,-2.60945,0.6163993,2.154969,,,
LCAJ,3.576177,-2.609443,0.6163993,2.155082,,,
LCAJ,3.582898,-2.609444,0.6164002,2.155076,,,
LCAJ,3.5898,-2.609449,0.6163979,2.155087,,,
LCAJ,3.596525,-2.609445,0.6163958,2.155089,,,
LCAJ,3.603379,-2.609444,0.6163995,2.15507,,,
LCAJ,3.610332,-2.609445,0.6163996,2.155064,,,
LCAJ,3.617702,-2.609447,0.6163995,2.155064,,,
LCAJ,3.624302,-2.60944,0.6163995,2.155057,,,
LCAJ,3.631051,-2.609437,0.6164,2.155054,,,
LCAJ,3.638153,-2.609434,0.616399,2.155053,,,
LCAJ,3.644971,-2.60944,0.6163973,2.155058,,,
LCAJ,3.652086,-2.609434,0.6164004,2.155042,,,
LCAJ,3.658947,-2.609352,0.6164087,2.155063,,,
LCAJ,3.666026,-2.609351,0.616411,2.155047,,,
LCAJ,3.672797,-2.609351,0.6164076,2.155057,,,
LCAJ,3.679776,-2.609382,0.6164063,2.154552,,,
LCAJ,3.687328,-2.609379,0.616407,2.154539,,,
