Object Name,Time,PosX,PosY,PosZ,,,
LFA,557.0787,-1.575537,0.8752913,0.1274323,,,
LFA,557.0893,-1.575479,0.8753722,0.1275473,,,
LFA,557.0967,-1.575598,0.8752925,0.1276994,,,
LFA,557.1038,-1.575614,0.8754202,0.1279221,,,
LFA,557.1115,-1.575642,0.8754125,0.1280158,,,
LFA,557.1173,-1.575785,0.8753306,0.1281397,,,
LFA,557.1248,-1.575802,0.8753111,0.128213,,,
LFA,557.1312,-1.575836,0.8752984,0.128271,,,
LFA,557.1381,-1.575929,0.8752946,0.1283138,,,
LFA,557.1455,-1.575992,0.8753098,0.1283638,,,
LFA,557.1517,-1.576029,0.8752948,0.1284243,,,
LFA,557.1589,-1.575982,0.8752314,0.1283802,,,
LFA,557.166,-1.575972,0.8751658,0.1284181,,,
LFA,557.1734,-1.576006,0.8751301,0.1284518,,,
LFA,557.1799,-1.576113,0.8750685,0.1284953,,,
LFA,557.1867,-1.576144,0.8750167,0.1285219,,,
LFA,557.1944,-1.576237,0.8749776,0.1285449,,,
LFA,557.2004,-1.576299,0.874961,0.1286014,,,
LFA,557.2078,-1.57637,0.8749568,0.1286195,,,
LFA,557.2147,-1.576376,0.8748975,0.1286281,,,
LFA,557.2213,-1.576409,0.8748222,0.1285705,,,
LFA,557.2288,-1.576445,0.874804,0.128566,,,
LFA,557.2364,-1.576467,0.8748478,0.1285531,,,
LFA,557.2432,-1.576457,0.8749043,0.1285551,,,
LFA,557.2493,-1.576464,0.8748879,0.1285165,,,
LFA,557.2563,-1.576405,0.8748432,0.1284897,,,
LFA,557.2634,-1.57633,0.8748494,0.1284787,,,
LFA,557.2703,-1.576319,0.8748382,0.1284297,,,
LFA,557.2773,-1.576254,0.874771,0.1283948,,,
LFA,557.285,-1.57621,0.8747219,0.1283918,,,
LFA,557.2906,-1.576196,0.8746997,0.1283626,,,
LFA,557.2979,-1.576198,0.8746388,0.1283291,,,
LFA,557.3121,-1.576264,0.8746253,0.1283757,,,
LFA,557.3188,-1.57628,0.8745255,0.1283552,,,
LFA,557.3259,-1.57632,0.8744022,0.1282929,,,
LFA,557.3329,-1.576303,0.874328,0.1283007,,,
LFA,557.3393,-1.576276,0.8743733,0.1283551,,,
LFA,557.347,-1.576296,0.874398,0.1283681,,,
LFA,557.3533,-1.576336,0.8744153,0.1284568,,,
LFA,557.3602,-1.576384,0.8744287,0.1284922,,,
LFA,557.3676,-1.576426,0.8744339,0.1285226,,,
LFA,557.3743,-1.576466,0.8744304,0.128574,,,
LFA,557.3813,-1.576605,0.8743467,0.128612,,,
LFA,557.3879,-1.576668,0.874351,0.1286774,,,
LFA,557.3953,-1.576725,0.8743358,0.1287454,,,
LFA,557.402,-1.576814,0.8743287,0.1288223,,,
LFA,557.4095,-1.576866,0.8742933,0.1289671,,,
LFA,557.4164,-1.57692,0.8743393,0.1290788,,,
LFA,557.4226,-1.576952,0.8743208,0.1292235,,,
LFA,557.4299,-1.577005,0.8742741,0.1293682,,,
LFA,557.4366,-1.577023,0.8742498,0.1295311,,,
LFA,557.4443,-1.577093,0.8742023,0.1296981,,,
LFA,557.4507,-1.577172,0.8741789,0.1298962,,,
LFA,557.4579,-1.577205,0.8741599,0.1300699,,,
LFA,557.4649,-1.577256,0.8741376,0.1302417,,,
LFA,557.4715,-1.577303,0.8740975,0.1304027,,,
LFA,557.4785,-1.577328,0.8740674,0.1305472,,,
LFA,557.4854,-1.577378,0.8739876,0.1306437,,,
LFA,557.4922,-1.577428,0.8739459,0.1308228,,,
LFA,557.4994,-1.577532,0.8739573,0.131137,,,
LFA,557.5062,-1.577596,0.8739262,0.131301,,,
LFA,557.5131,-1.577673,0.873924,0.1314678,,,
LFA,557.5228,-1.577781,0.8737863,0.1315866,,,
LFA,557.5294,-1.57785,0.8737427,0.1317477,,,
LFA,557.5349,-1.578016,0.8736699,0.1319038,,,
LFA,557.5405,-1.578057,0.8736401,0.1320302,,,
LFA,557.548,-1.578143,0.8736238,0.1321648,,,
LFA,557.555,-1.57822,0.873731,0.1323398,,,
LFA,557.5618,-1.578318,0.8737258,0.1324767,,,
LFA,557.5687,-1.578446,0.873659,0.1325259,,,
LFA,557.5762,-1.578439,0.8736995,0.1326413,,,
LFA,557.5829,-1.578512,0.8736669,0.132747,,,
LFA,557.5896,-1.578596,0.8736612,0.1328432,,,
LFA,557.5966,-1.578639,0.8735707,0.1330196,,,
LFA,557.6032,-1.578696,0.8735591,0.1331105,,,
LFA,557.6103,-1.578709,0.8735368,0.1331996,,,
LFA,557.6174,-1.578749,0.8735,0.1332923,,,
LFA,557.624,-1.578753,0.8734629,0.1333855,,,
LFA,557.6315,-1.578771,0.8734466,0.1334487,,,
LFA,557.6379,-1.578759,0.8733872,0.1334686,,,
LFA,557.6452,-1.578764,0.8733584,0.1335314,,,
LFA,557.6525,-1.578745,0.8733483,0.1336039,,,
LFA,557.6592,-1.578763,0.8733882,0.1336951,,,
LFA,557.6658,-1.578798,0.8733668,0.1337315,,,
LFA,557.6731,-1.578794,0.8733095,0.1337779,,,
LFA,557.68,-1.57885,0.8733041,0.1338745,,,
LFA,557.6868,-1.578893,0.873294,0.1339001,,,
LFA,557.6938,-1.578966,0.8732302,0.1339143,,,
LFA,557.7005,-1.579062,0.8732146,0.1339955,,,
LFA,557.7075,-1.579109,0.8732141,0.1340316,,,
LFA,557.7146,-1.579195,0.8732315,0.1340594,,,
LFA,557.7213,-1.579251,0.8731486,0.1340747,,,
LFA,557.7286,-1.579284,0.8731388,0.1341004,,,
LFA,557.7358,-1.579367,0.8731147,0.1340869,,,
LFA,557.7421,-1.579352,0.8730232,0.1340325,,,
LFA,557.749,-1.579362,0.8730059,0.1340405,,,
LFA,557.756,-1.579356,0.8730232,0.1340526,,,
LFA,557.7632,-1.579322,0.8729853,0.1340565,,,
LFA,557.7701,-1.579319,0.8729722,0.1340579,,,
LFA,557.7776,-1.579309,0.8730007,0.1341171,,,
LFA,557.7845,-1.579293,0.8729951,0.1341211,,,
LFA,557.7908,-1.579226,0.8730451,0.1341495,,,
LFA,557.7983,-1.579167,0.8729944,0.1341082,,,
LFA,557.8053,-1.579151,0.8729883,0.134105,,,
LFA,557.8124,-1.579129,0.8730156,0.1341066,,,
LFA,557.8195,-1.579031,0.8730888,0.1340711,,,
LFA,557.8265,-1.578982,0.8730986,0.1340644,,,
LFA,557.8337,-1.578892,0.8730738,0.1340452,,,
LFA,557.8402,-1.578823,0.8731404,0.1341091,,,
LFA,557.8475,-1.578762,0.8731588,0.1340958,,,
LFA,557.8542,-1.578671,0.8731426,0.1340767,,,
LFA,557.8614,-1.578647,0.8731297,0.1340784,,,
LFA,557.8684,-1.578586,0.8731114,0.1340366,,,
LFA,557.8755,-1.578527,0.8731017,0.1340222,,,
LFA,557.8824,-1.578456,0.873149,0.1340387,,,
LFA,557.8895,-1.578379,0.8731608,0.1340194,,,
LFA,557.8962,-1.57829,0.873117,0.1339708,,,
LFA,557.9027,-1.578228,0.8731287,0.1339174,,,
LFA,557.9102,-1.578128,0.8731256,0.1338822,,,
LFA,557.9171,-1.578056,0.8731952,0.1338336,,,
LFA,557.9238,-1.577969,0.8732159,0.1337748,,,
LFA,557.9306,-1.577892,0.8732467,0.133724,,,
LFA,557.9376,-1.577896,0.873211,0.1335641,,,
LFA,557.945,-1.577817,0.8732517,0.1334745,,,
LFA,557.9512,-1.577702,0.8732775,0.1333699,,,
LFA,557.9586,-1.577599,0.8733014,0.1333185,,,
LFA,557.9658,-1.577491,0.8733693,0.1332082,,,
LFA,557.9725,-1.577311,0.8734074,0.1330625,,,
LFA,557.9797,-1.57717,0.8734376,0.132988,,,
LFA,557.9867,-1.577001,0.8734982,0.1328203,,,
LFA,557.9931,-1.576805,0.8735889,0.1326705,,,
LFA,558.0001,-1.576565,0.8736659,0.1325007,,,
LFA,558.0071,-1.576324,0.8737304,0.1323199,,,
