Object Name,Time,PosX,PosY,PosZ,,,
LHA,557.0787,-1.40475,0.7677917,0.04800898,,,
LHA,557.0893,-1.404636,0.7678837,0.04822952,,,
LHA,557.0967,-1.404723,0.7677397,0.04854172,,,
LHA,557.1038,-1.404739,0.7677935,0.04887134,,,
LHA,557.1115,-1.404744,0.7677659,0.04904801,,,
LHA,557.1173,-1.404873,0.7676476,0.04926604,,,
LHA,557.1248,-1.404877,0.767614,0.04939479,,,
LHA,557.1312,-1.404887,0.7675978,0.0495165,,,
LHA,557.1381,-1.404975,0.7675722,0.04960293,,,
LHA,557.1455,-1.405026,0.7675837,0.04969472,,,
LHA,557.1517,-1.405056,0.7675611,0.04978877,,,
LHA,557.1589,-1.405007,0.7674813,0.04977113,,,
LHA,557.166,-1.404984,0.7674232,0.04984003,,,
LHA,557.1734,-1.405,0.7673948,0.04991144,,,
LHA,557.1799,-1.405078,0.7673452,0.05001193,,,
LHA,557.1867,-1.405089,0.7673022,0.05007976,,,
LHA,557.1944,-1.405164,0.7672716,0.05013067,,,
LHA,557.2004,-1.405205,0.7672634,0.05023199,,,
LHA,557.2078,-1.405265,0.7672597,0.05028242,,,
LHA,557.2147,-1.405255,0.7672057,0.05031973,,,
LHA,557.2213,-1.405303,0.767101,0.05026883,,,
LHA,557.2288,-1.405333,0.7670811,0.05027777,,,
LHA,557.2364,-1.405366,0.7671049,0.05026728,,,
LHA,557.2432,-1.405351,0.7671606,0.05028123,,,
LHA,557.2493,-1.405366,0.7671433,0.05022413,,,
LHA,557.2563,-1.40532,0.7670897,0.05018228,,,
LHA,557.2634,-1.405252,0.7671088,0.05013925,,,
LHA,557.2703,-1.405258,0.7670928,0.05006117,,,
LHA,557.2773,-1.405209,0.7670226,0.04999524,,,
LHA,557.285,-1.405181,0.7669653,0.04996997,,,
LHA,557.2906,-1.405179,0.7669411,0.04991359,,,
LHA,557.2979,-1.40519,0.7668806,0.04985934,,,
LHA,557.3121,-1.405265,0.7668586,0.04990369,,,
LHA,557.3188,-1.405267,0.7667528,0.04991752,,,
LHA,557.3259,-1.405321,0.7666031,0.04985243,,,
LHA,557.3329,-1.405299,0.7665267,0.04986578,,,
LHA,557.3393,-1.405273,0.7665561,0.04992443,,,
LHA,557.347,-1.405304,0.7665445,0.04994613,,,
LHA,557.3533,-1.405344,0.7665473,0.05004722,,,
LHA,557.3602,-1.405399,0.7665507,0.05007321,,,
LHA,557.3676,-1.405453,0.7665359,0.0501017,,,
LHA,557.3743,-1.405492,0.7665274,0.0501532,,,
LHA,557.3813,-1.405655,0.7664012,0.05019504,,,
LHA,557.3879,-1.405724,0.7663815,0.05027777,,,
LHA,557.3953,-1.40578,0.7663547,0.05035573,,,
LHA,557.402,-1.405875,0.7663138,0.05046064,,,
LHA,557.4095,-1.405912,0.7662616,0.05065769,,,
LHA,557.4164,-1.405953,0.7662873,0.05082363,,,
LHA,557.4226,-1.405965,0.7662587,0.05103165,,,
LHA,557.4299,-1.405996,0.7661982,0.05124229,,,
LHA,557.4366,-1.40599,0.7661662,0.05146748,,,
LHA,557.4443,-1.406029,0.7661062,0.05171889,,,
LHA,557.4507,-1.406075,0.7660725,0.05201095,,,
LHA,557.4579,-1.406099,0.7660241,0.05224437,,,
LHA,557.4649,-1.406132,0.7659706,0.05250067,,,
LHA,557.4715,-1.406162,0.7659102,0.05273038,,,
LHA,557.4785,-1.406173,0.765852,0.05295092,,,
LHA,557.4854,-1.406212,0.7657505,0.05310518,,,
LHA,557.4922,-1.406257,0.7656902,0.05332655,,,
LHA,557.4994,-1.406336,0.765698,0.05372089,,,
LHA,557.5062,-1.406387,0.7656493,0.05394667,,,
LHA,557.5131,-1.406458,0.7656206,0.05417329,,,
LHA,557.5228,-1.406559,0.7654504,0.0543614,,,
LHA,557.5294,-1.40661,0.7654034,0.05458051,,,
LHA,557.5349,-1.406761,0.765312,0.05480772,,,
LHA,557.5405,-1.406798,0.7652683,0.05497283,,,
LHA,557.548,-1.406871,0.7652501,0.05514783,,,
LHA,557.555,-1.406909,0.7653822,0.05539519,,,
LHA,557.5618,-1.406984,0.7653763,0.05559355,,,
LHA,557.5687,-1.407117,0.7652941,0.05565923,,,
LHA,557.5762,-1.407079,0.7653513,0.05582815,,,
LHA,557.5829,-1.407126,0.765326,0.05599457,,,
LHA,557.5896,-1.407187,0.7653288,0.05613786,,,
LHA,557.5966,-1.407213,0.7652472,0.05635506,,,
LHA,557.6032,-1.407256,0.7652404,0.05648404,,,
LHA,557.6103,-1.407259,0.7652264,0.05659598,,,
LHA,557.6174,-1.407293,0.7651931,0.05671138,,,
LHA,557.624,-1.407291,0.7651609,0.05682415,,,
LHA,557.6315,-1.407305,0.7651502,0.05690306,,,
LHA,557.6379,-1.407301,0.7650895,0.05691749,,,
LHA,557.6452,-1.407297,0.7650743,0.05699211,,,
LHA,557.6525,-1.407267,0.765076,0.05708164,,,
LHA,557.6592,-1.407276,0.7651309,0.05719,,,
LHA,557.6658,-1.407295,0.7651308,0.05724651,,,
LHA,557.6731,-1.407274,0.765094,0.05731159,,,
LHA,557.68,-1.407306,0.7651232,0.05743545,,,
LHA,557.6868,-1.407332,0.7651427,0.05746859,,,
LHA,557.6938,-1.407398,0.7650974,0.05748242,,,
LHA,557.7005,-1.407488,0.7651007,0.05757314,,,
LHA,557.7075,-1.407526,0.7651197,0.05761105,,,
LHA,557.7146,-1.407596,0.7651644,0.05764705,,,
LHA,557.7213,-1.407642,0.765103,0.05766791,,,
LHA,557.7286,-1.407668,0.765111,0.05769426,,,
LHA,557.7358,-1.407746,0.7650965,0.05768639,,,
