Object Name,Time,PosX,PosY,PosZ,,,
LHGT,2.420974,-2.715563,0.6722101,2.127164,,,
LHGT,2.431628,-2.715566,0.6722113,2.127146,,,
LHGT,2.436951,-2.715562,0.6722134,2.127138,,,
LHGT,2.442745,-2.715601,0.6722096,2.127068,,,
LHGT,2.449803,-2.715599,0.6722081,2.127059,,,
LHGT,2.45669,-2.715605,0.6722062,2.127042,,,
LHGT,2.463906,-2.71558,0.6722112,2.126993,,,
LHGT,2.470587,-2.715579,0.672211,2.126978,,,
LHGT,2.477501,-2.715532,0.6722138,2.127245,,,
LHGT,2.484476,-2.715523,0.6722176,2.12723,,,
LHGT,2.491794,-2.715515,0.6722203,2.127214,,,
LHGT,2.49859,-2.715523,0.6722212,2.127316,,,
LHGT,2.505446,-2.71553,0.6722202,2.127317,,,
LHGT,2.512255,-2.715529,0.6722219,2.127309,,,
LHGT,2.519138,-2.715534,0.6722206,2.127261,,,
LHGT,2.526142,-2.715533,0.6722216,2.127257,,,
LHGT,2.533237,-2.715543,0.6722175,2.127266,,,
LHGT,2.540161,-2.715536,0.6722159,2.127345,,,
LHGT,2.547226,-2.715523,0.6722221,2.127324,,,
LHGT,2.554156,-2.715532,0.6722186,2.127332,,,
LHGT,2.560786,-2.715568,0.6722147,2.127069,,,
LHGT,2.568126,-2.715573,0.672216,2.127056,,,
LHGT,2.575074,-2.715576,0.6722156,2.127038,,,
LHGT,2.581688,-2.715561,0.6722174,2.126918,,,
LHGT,2.588729,-2.71555,0.6722189,2.126897,,,
LHGT,2.595992,-2.715548,0.6722208,2.126886,,,
LHGT,2.603966,-2.715508,0.6722274,2.127058,,,
LHGT,2.609659,-2.715508,0.6722247,2.127058,,,
LHGT,2.616956,-2.71551,0.6722236,2.127052,,,
LHGT,2.623576,-2.715543,0.6722171,2.127032,,,
LHGT,2.630427,-2.715539,0.6722212,2.127012,,,
LHGT,2.637254,-2.715539,0.6722224,2.127003,,,
LHGT,2.644089,-2.715566,0.6722165,2.127114,,,
LHGT,2.651183,-2.715568,0.6722168,2.12711,,,
LHGT,2.658067,-2.715566,0.6722165,2.127101,,,
LHGT,2.66519,-2.71557,0.6722155,2.127096,,,
LHGT,2.672753,-2.715581,0.6722135,2.127092,,,
LHGT,2.679307,-2.715539,0.6722217,2.127027,,,
LHGT,2.685909,-2.715542,0.6722217,2.127012,,,
LHGT,2.692966,-2.71555,0.6722194,2.12701,,,
LHGT,2.699754,-2.71554,0.6722208,2.127259,,,
LHGT,2.70678,-2.715537,0.6722221,2.127247,,,
LHGT,2.713658,-2.715532,0.6722226,2.12724,,,
LHGT,2.720514,-2.715513,0.6722258,2.127091,,,
LHGT,2.727593,-2.715517,0.6722224,2.127094,,,
LHGT,2.734432,-2.715518,0.6722252,2.127072,,,
LHGT,2.741449,-2.715504,0.6722274,2.127123,,,
LHGT,2.748368,-2.715502,0.6722289,2.12711,,,
LHGT,2.755377,-2.715502,0.6722266,2.127104,,,
LHGT,2.762276,-2.715502,0.6722245,2.127099,,,
LHGT,2.769321,-2.715498,0.6722266,2.127079,,,
LHGT,2.776436,-2.71551,0.672225,2.127314,,,
LHGT,2.783467,-2.715511,0.6722247,2.127307,,,
LHGT,2.790784,-2.715507,0.6722277,2.12729,,,
LHGT,2.797891,-2.715521,0.6722257,2.127191,,,
LHGT,2.804767,-2.715526,0.6722252,2.127174,,,
LHGT,2.811703,-2.715529,0.6722234,2.127167,,,
LHGT,2.818737,-2.715586,0.672211,2.127065,,,
LHGT,2.826211,-2.715588,0.6722101,2.127051,,,
LHGT,2.832619,-2.715587,0.6722106,2.127041,,,
LHGT,2.839905,-2.71559,0.6722116,2.126784,,,
LHGT,2.84645,-2.715594,0.6722111,2.126774,,,
LHGT,2.853245,-2.71559,0.6722099,2.126766,,,
LHGT,2.860538,-2.71559,0.6722125,2.126831,,,
LHGT,2.867272,-2.71559,0.6722125,2.126822,,,
LHGT,2.874249,-2.715587,0.6722169,2.1268,,,
LHGT,2.881278,-2.715572,0.6722161,2.127075,,,
LHGT,2.888227,-2.715574,0.6722156,2.127069,,,
LHGT,2.894965,-2.715577,0.6722147,2.127064,,,
LHGT,2.902031,-2.715567,0.672216,2.126894,,,
LHGT,2.908931,-2.715572,0.6722153,2.126881,,,
LHGT,2.915966,-2.715575,0.6722149,2.12687,,,
LHGT,2.92302,-2.715552,0.6722202,2.127017,,,
LHGT,2.929796,-2.715548,0.6722188,2.127007,,,
LHGT,2.936748,-2.715548,0.6722183,2.12707,,,
LHGT,2.943689,-2.71555,0.6722211,2.127049,,,
LHGT,2.950568,-2.715559,0.6722182,2.127045,,,
LHGT,2.957631,-2.715573,0.6722143,2.127181,,,
LHGT,2.964496,-2.715564,0.6722159,2.127167,,,
LHGT,2.971441,-2.715567,0.6722152,2.127167,,,
LHGT,2.978847,-2.715595,0.6722139,2.127146,,,
LHGT,2.985551,-2.715594,0.6722142,2.127139,,,
LHGT,2.992272,-2.715598,0.6722139,2.127133,,,
LHGT,2.999219,-2.715633,0.6722091,2.127259,,,
LHGT,3.006225,-2.715641,0.6722097,2.127252,,,
LHGT,3.013097,-2.715651,0.6722078,2.127252,,,
LHGT,3.020053,-2.715654,0.672206,2.127248,,,
LHGT,3.027069,-2.715662,0.6722034,2.127244,,,
LHGT,3.033854,-2.715666,0.6722054,2.127227,,,
LHGT,3.040962,-2.715616,0.6722104,2.127302,,,
LHGT,3.047923,-2.715626,0.6722099,2.127296,,,
LHGT,3.054775,-2.715639,0.6722091,2.127256,,,
LHGT,3.061702,-2.715647,0.6722062,2.127257,,,
LHGT,3.068681,-2.715651,0.672208,2.127244,,,
LHGT,3.075851,-2.715658,0.6722077,2.127238,,,
LHGT,3.082618,-2.715622,0.6722112,2.127189,,,
LHGT,3.089543,-2.715623,0.6722108,2.127191,,,
LHGT,3.096555,-2.715582,0.6722167,2.127169,,,
LHGT,3.103326,-2.715574,0.6722169,2.127166,,,
LHGT,3.110597,-2.715571,0.6722162,2.127162,,,
LHGT,3.117232,-2.715559,0.6722215,2.127335,,,
LHGT,3.124188,-2.715556,0.6722199,2.127336,,,
LHGT,3.131128,-2.715549,0.6722221,2.127325,,,
LHGT,3.138248,-2.715555,0.6722198,2.127435,,,
LHGT,3.144972,-2.71555,0.6722234,2.127418,,,
LHGT,3.152028,-2.715542,0.672226,2.127407,,,
LHGT,3.158906,-2.715527,0.6722249,2.127448,,,
LHGT,3.165848,-2.715525,0.6722275,2.127439,,,
LHGT,3.172896,-2.715532,0.6722234,2.127451,,,
LHGT,3.179819,-2.715577,0.67222,2.127341,,,
LHGT,3.186677,-2.715579,0.6722192,2.127342,,,
LHGT,3.193666,-2.715581,0.6722175,2.127346,,,
LHGT,3.20106,-2.715581,0.6722197,2.127341,,,
LHGT,3.207923,-2.715619,0.6722147,2.127239,,,
LHGT,3.214563,-2.715621,0.6722129,2.127238,,,
LHGT,3.221451,-2.71562,0.6722151,2.127224,,,
LHGT,3.228619,-2.715626,0.6722146,2.127217,,,
LHGT,3.237859,-2.715628,0.6722143,2.127205,,,
LHGT,3.242196,-2.715623,0.6722146,2.127187,,,
LHGT,3.249029,-2.715538,0.6722273,2.127388,,,
LHGT,3.25611,-2.715538,0.6722261,2.127384,,,
LHGT,3.263007,-2.715523,0.6722286,2.127371,,,
LHGT,3.269776,-2.715524,0.6722283,2.12737,,,
LHGT,3.27681,-2.715525,0.6722244,2.127366,,,
LHGT,3.283679,-2.715518,0.6722277,2.127353,,,
LHGT,3.290806,-2.715524,0.6722257,2.127359,,,
LHGT,3.297816,-2.715554,0.6722203,2.127186,,,
LHGT,3.304637,-2.715552,0.672224,2.127164,,,
LHGT,3.311532,-2.715556,0.6722218,2.127163,,,
LHGT,3.318444,-2.71554,0.6722261,2.127091,,,
LHGT,3.325547,-2.715549,0.6722226,2.127091,,,
LHGT,3.332608,-2.715542,0.6722274,2.127063,,,
LHGT,3.339391,-2.715491,0.6722286,2.127251,,,
LHGT,3.346312,-2.715493,0.6722297,2.127237,,,
LHGT,3.353067,-2.71549,0.6722316,2.127219,,,
LHGT,3.360134,-2.71546,0.6722374,2.12749,,,
LHGT,3.367046,-2.715452,0.6722375,2.127486,,,
LHGT,3.374126,-2.715444,0.6722375,2.127481,,,
LHGT,3.38111,-2.715419,0.6722443,2.127432,,,
LHGT,3.388238,-2.715418,0.6722415,2.127438,,,
LHGT,3.394827,-2.715447,0.6722343,2.127522,,,
LHGT,3.401735,-2.715444,0.6722417,2.127499,,,
LHGT,3.408911,-2.715447,0.6722382,2.127506,,,
LHGT,3.415822,-2.715514,0.6722279,2.12756,,,
LHGT,3.423173,-2.715515,0.6722285,2.127554,,,
LHGT,3.430099,-2.715521,0.6722273,2.127552,,,
LHGT,3.436479,-2.715519,0.6722255,2.127548,,,
LHGT,3.443435,-2.715534,0.672223,2.12755,,,
LHGT,3.450369,-2.715528,0.6722268,2.127534,,,
LHGT,3.457527,-2.715534,0.6722223,2.127543,,,
LHGT,3.464354,-2.715535,0.6722246,2.127533,,,
LHGT,3.471501,-2.715535,0.6722236,2.12753,,,
LHGT,3.478459,-2.715606,0.6722147,2.127476,,,
LHGT,3.485285,-2.715618,0.6722138,2.127473,,,
LHGT,3.492383,-2.715621,0.6722141,2.127466,,,
LHGT,3.499221,-2.715592,0.6722174,2.127567,,,
LHGT,3.506344,-2.715597,0.6722163,2.127565,,,
LHGT,3.513098,-2.715599,0.6722169,2.127556,,,
LHGT,3.520001,-2.7156,0.6722178,2.127538,,,
LHGT,3.527361,-2.715607,0.6722187,2.127526,,,
LHGT,3.534142,-2.715601,0.6722206,2.127513,,,
LHGT,3.541012,-2.7156,0.6722182,2.127517,,,
LHGT,3.547856,-2.715608,0.672216,2.127519,,,
LHGT,3.55479,-2.715623,0.6722122,2.127528,,,
LHGT,3.561612,-2.715611,0.672216,2.127417,,,
LHGT,3.568624,-2.715611,0.6722172,2.127404,,,
LHGT,3.576177,-2.715605,0.6722167,2.12752,,,
LHGT,3.582898,-2.715605,0.6722181,2.127514,,,
LHGT,3.5898,-2.715612,0.6722145,2.127524,,,
LHGT,3.596525,-2.715611,0.6722122,2.127527,,,
LHGT,3.603379,-2.715606,0.6722174,2.127507,,,
LHGT,3.610332,-2.715606,0.6722175,2.127502,,,
LHGT,3.617702,-2.715609,0.6722169,2.127501,,,
LHGT,3.624302,-2.715602,0.6722177,2.127495,,,
LHGT,3.631051,-2.715599,0.6722186,2.127492,,,
LHGT,3.638153,-2.715596,0.6722173,2.127491,,,
LHGT,3.644971,-2.715604,0.6722152,2.127495,,,
LHGT,3.652086,-2.715596,0.6722196,2.127479,,,
LHGT,3.658947,-2.715513,0.6722296,2.127504,,,
LHGT,3.666026,-2.715509,0.6722332,2.127488,,,
LHGT,3.672797,-2.715512,0.6722288,2.127498,,,
LHGT,3.679776,-2.715539,0.6722283,2.126983,,,
LHGT,3.687328,-2.715535,0.6722301,2.12697,,,
LHGT,3.693737,-2.715538,0.6722282,2.126966,,,
LHGT,3.700801,-2.715529,0.6722296,2.127128,,,
LHGT,3.708055,-2.715532,0.6722267,2.127128,,,
LHGT,3.714673,-2.715487,0.6722378,2.127165,,,
LHGT,3.721466,-2.715474,0.6722414,2.127149,,,
LHGT,3.728604,-2.715475,0.6722423,2.127141,,,
LHGT,3.73531,-2.715471,0.6722419,2.127137,,,
LHGT,3.742238,-2.715467,0.6722395,2.127137,,,
LHGT,3.749159,-2.715462,0.6722396,2.127133,,,
LHGT,3.756152,-2.715459,0.6722391,2.127353,,,
LHGT,3.763075,-2.715447,0.6722422,2.127344,,,
LHGT,3.770089,-2.715453,0.6722422,2.127343,,,
LHGT,3.777104,-2.715504,0.6722355,2.127226,,,
LHGT,3.78402,-2.715508,0.672235,2.127224,,,
LHGT,3.79089,-2.715501,0.6722364,2.127216,,,
LHGT,3.797867,-2.715559,0.6722295,2.126765,,,
LHGT,3.804753,-2.715559,0.6722281,2.12676,,,
LHGT,3.811741,-2.715565,0.6722283,2.126748,,,
LHGT,3.818664,-2.715546,0.6722295,2.127199,,,
LHGT,3.825631,-2.715548,0.6722308,2.127189,,,
LHGT,3.832985,-2.715554,0.6722279,2.127191,,,
LHGT,3.839768,-2.715549,0.6722316,2.127243,,,
LHGT,3.846678,-2.715551,0.6722313,2.127239,,,
LHGT,3.85378,-2.715554,0.6722313,2.127239,,,
LHGT,3.860356,-2.715537,0.6722331,2.127299,,,
LHGT,3.867308,-2.715532,0.6722337,2.127298,,,
LHGT,3.874198,-2.715533,0.6722327,2.127301,,,
LHGT,3.881085,-2.715495,0.6722407,2.127349,,,
LHGT,3.888361,-2.715498,0.672236,2.127362,,,
LHGT,3.895015,-2.71548,0.6722407,2.12739,,,
LHGT,3.902277,-2.715479,0.6722412,2.127388,,,
LHGT,3.909038,-2.715472,0.6722425,2.127386,,,
LHGT,3.916318,-2.715503,0.6722373,2.127129,,,
LHGT,3.922785,-2.715513,0.6722349,2.127138,,,
LHGT,3.929907,-2.715502,0.6722366,2.127128,,,
LHGT,3.936734,-2.715517,0.6722346,2.127116,,,
LHGT,3.943612,-2.715514,0.6722341,2.12711,,,
LHGT,3.950557,-2.715516,0.6722315,2.127113,,,
LHGT,3.957578,-2.715533,0.6722312,2.127199,,,
LHGT,3.964617,-2.715526,0.6722324,2.127193,,,
LHGT,3.971467,-2.715526,0.6722315,2.127193,,,
LHGT,3.978386,-2.715542,0.6722296,2.12748,,,
LHGT,3.985456,-2.71554,0.6722304,2.127477,,,
LHGT,3.992838,-2.715541,0.6722279,2.127483,,,
LHGT,3.999183,-2.715525,0.6722277,2.127575,,,
LHGT,4.006363,-2.715515,0.6722318,2.127563,,,
LHGT,4.013152,-2.715516,0.672233,2.127564,,,
LHGT,4.01995,-2.715494,0.6722365,2.127444,,,
LHGT,4.027039,-2.715489,0.6722355,2.127443,,,
LHGT,4.034031,-2.715482,0.6722362,2.12744,,,
LHGT,4.041185,-2.715499,0.672237,2.127259,,,
LHGT,4.047956,-2.715502,0.6722342,2.127262,,,
LHGT,4.054779,-2.715502,0.6722347,2.127247,,,
LHGT,4.06162,-2.715495,0.6722348,2.127244,,,
LHGT,4.068588,-2.715496,0.6722342,2.127239,,,
LHGT,4.0757,-2.715473,0.6722381,2.127416,,,
LHGT,4.082411,-2.715474,0.6722381,2.127415,,,
LHGT,4.08954,-2.715472,0.672237,2.127416,,,
LHGT,4.09655,-2.715459,0.6722394,2.127407,,,

