Object Name,Time,PosX,PosY,PosZ,,,
LHLE,557.0787,-1.662146,0.9593706,0.1142003,,,
LHLE,557.0893,-1.662097,0.959429,0.1142711,,,
LHLE,557.0967,-1.662181,0.9593711,0.1143665,,,
LHLE,557.1038,-1.66217,0.9595087,0.1145166,,,
LHLE,557.1115,-1.662188,0.9595008,0.1145658,,,
LHLE,557.1173,-1.662303,0.9594353,0.114639,,,
LHLE,557.1248,-1.662311,0.9594173,0.1146793,,,
LHLE,557.1312,-1.662336,0.9594081,0.1147051,,,
LHLE,557.1381,-1.662416,0.9594184,0.1147415,,,
LHLE,557.1455,-1.662467,0.9594387,0.1147606,,,
LHLE,557.1517,-1.66249,0.9594287,0.1147999,,,
LHLE,557.1589,-1.662442,0.959372,0.1147453,,,
LHLE,557.166,-1.662421,0.9593229,0.1147737,,,
LHLE,557.1734,-1.662444,0.9592942,0.1147926,,,
LHLE,557.1799,-1.662537,0.9592412,0.114819,,,
LHLE,557.1867,-1.662561,0.9591997,0.1148339,,,
LHLE,557.1944,-1.662651,0.959165,0.1148584,,,
LHLE,557.2004,-1.662704,0.9591562,0.114897,,,
LHLE,557.2078,-1.662765,0.9591586,0.1149005,,,
LHLE,557.2147,-1.662771,0.9591,0.1149033,,,
LHLE,557.2213,-1.662799,0.9590443,0.1148548,,,
LHLE,557.2288,-1.662832,0.9590291,0.1148465,,,
LHLE,557.2364,-1.662849,0.9590843,0.1148395,,,
LHLE,557.2432,-1.662855,0.9591244,0.114825,,,
LHLE,557.2493,-1.662861,0.959111,0.1147969,,,
LHLE,557.2563,-1.662802,0.9590703,0.1147723,,,
LHLE,557.2634,-1.662741,0.9590651,0.1147643,,,
LHLE,557.2703,-1.662738,0.9590533,0.1147202,,,
LHLE,557.2773,-1.66268,0.9589916,0.1146999,,,
LHLE,557.285,-1.662643,0.9589425,0.1146975,,,
LHLE,557.2906,-1.66263,0.9589252,0.1146851,,,
LHLE,557.2979,-1.662637,0.9588712,0.1146709,,,
LHLE,557.3121,-1.662691,0.9588654,0.1147111,,,
LHLE,557.3188,-1.662699,0.9587824,0.1147093,,,
LHLE,557.3259,-1.66273,0.9586762,0.1146712,,,
LHLE,557.3329,-1.662712,0.9586038,0.114698,,,
LHLE,557.3393,-1.662696,0.9586457,0.1147702,,,
LHLE,557.347,-1.662714,0.9586662,0.1147882,,,
LHLE,557.3533,-1.662753,0.9586693,0.114872,,,
LHLE,557.3602,-1.662795,0.9586825,0.1149237,,,
LHLE,557.3676,-1.662833,0.9586864,0.1149533,,,
LHLE,557.3743,-1.662876,0.9586738,0.1150122,,,
LHLE,557.3813,-1.66298,0.9586195,0.1150654,,,
LHLE,557.3879,-1.663032,0.958629,0.1151302,,,
