Object Name,Time,PosX,PosY,PosZ,,,
LIAS,557.0787,-1.828509,0.7985796,-0.04130393,,,
LIAS,557.0893,-1.828421,0.7985891,-0.04138619,,,
LIAS,557.0967,-1.828364,0.7985823,-0.04144329,,,
LIAS,557.1038,-1.82822,0.7987169,-0.0413633,,,
LIAS,557.1115,-1.828179,0.7987022,-0.04137725,,,
LIAS,557.1173,-1.828209,0.7986789,-0.04148239,,,
LIAS,557.1248,-1.828248,0.7986477,-0.04145843,,,
LIAS,557.1312,-1.828248,0.7986395,-0.04149514,,,
LIAS,557.1381,-1.828286,0.7986885,-0.04151028,,,
LIAS,557.1455,-1.828336,0.7987112,-0.04153043,,,
LIAS,557.1517,-1.828327,0.7987056,-0.04152888,,,
LIAS,557.1589,-1.828296,0.7986549,-0.04154021,,,
LIAS,557.166,-1.828182,0.7986531,-0.04158753,,,
LIAS,557.1734,-1.828176,0.7986394,-0.04161662,,,
LIAS,557.1799,-1.828259,0.798606,-0.041668,,,
LIAS,557.1867,-1.828279,0.798584,-0.04167861,,,
LIAS,557.1944,-1.828322,0.7985674,-0.04168314,,,
LIAS,557.2004,-1.828352,0.7985678,-0.04165071,,,
LIAS,557.2078,-1.828358,0.7985814,-0.0416562,,,
LIAS,557.2147,-1.82835,0.7985218,-0.04166144,,,
LIAS,557.2213,-1.82831,0.7985247,-0.04172927,,,
LIAS,557.2288,-1.828314,0.7985148,-0.04173964,,,
LIAS,557.2364,-1.828262,0.7985949,-0.04169112,,,
LIAS,557.2432,-1.828267,0.798596,-0.04173225,,,
LIAS,557.2493,-1.82827,0.7985895,-0.04173225,,,
LIAS,557.2563,-1.828267,0.7985458,-0.04171056,,,
LIAS,557.2634,-1.828176,0.7985166,-0.0417214,,,
LIAS,557.2703,-1.828212,0.7985005,-0.0417307,,,
LIAS,557.2773,-1.828195,0.7984541,-0.04173249,,,
LIAS,557.285,-1.82818,0.7984031,-0.04172391,,,
LIAS,557.2906,-1.828146,0.7984021,-0.04171711,,,
LIAS,557.2979,-1.828149,0.7983714,-0.04170662,,,
LIAS,557.3121,-1.828142,0.7983807,-0.04165691,,,
LIAS,557.3188,-1.828085,0.7983569,-0.04171449,,,
