Object Name,Time,PosX,PosY,PosZ,,,
LIPS,2.420974,-2.668969,0.6507712,1.717686,,,
LIPS,2.431628,-2.668969,0.6507704,1.717669,,,
LIPS,2.436951,-2.668963,0.6507703,1.717661,,,
LIPS,2.442745,-2.668994,0.6507615,1.717592,,,
LIPS,2.449803,-2.668994,0.6507605,1.717582,,,
LIPS,2.45669,-2.668999,0.6507587,1.717566,,,
LIPS,2.463906,-2.668973,0.6507588,1.717517,,,
LIPS,2.470587,-2.668973,0.6507573,1.717502,,,
LIPS,2.477501,-2.668945,0.6507803,1.717767,,,
LIPS,2.484476,-2.668933,0.6507812,1.717752,,,
LIPS,2.491794,-2.668924,0.6507815,1.717737,,,
LIPS,2.49859,-2.668933,0.6507882,1.717838,,,
LIPS,2.505446,-2.668939,0.6507875,1.71784,,,
LIPS,2.512255,-2.668935,0.6507876,1.717832,,,
LIPS,2.519138,-2.668939,0.6507832,1.717784,,,
LIPS,2.526142,-2.668937,0.6507833,1.71778,,,
LIPS,2.533237,-2.668949,0.6507824,1.717789,,,
LIPS,2.540161,-2.668949,0.6507872,1.717867,,,
LIPS,2.547226,-2.668933,0.6507877,1.717846,,,
LIPS,2.554156,-2.668943,0.6507865,1.717854,,,
LIPS,2.560786,-2.668964,0.6507656,1.717592,,,
LIPS,2.568126,-2.668966,0.6507649,1.71758,,,
LIPS,2.575074,-2.668967,0.6507627,1.717562,,,
LIPS,2.581688,-2.668951,0.6507562,1.717442,,,
LIPS,2.588729,-2.668941,0.6507561,1.71742,,,
LIPS,2.595992,-2.668936,0.6507564,1.71741,,,
LIPS,2.603966,-2.668906,0.650773,1.71758,,,
LIPS,2.609659,-2.66891,0.650772,1.71758,,,
LIPS,2.616956,-2.668911,0.6507711,1.717575,,,
LIPS,2.623576,-2.668942,0.6507655,1.717556,,,
LIPS,2.630427,-2.668933,0.6507658,1.717536,,,
LIPS,2.637254,-2.668931,0.6507653,1.717526,,,
LIPS,2.644089,-2.668962,0.650769,1.717638,,,
LIPS,2.651183,-2.668963,0.6507686,1.717633,,,
LIPS,2.658067,-2.668962,0.6507682,1.717624,,,
LIPS,2.66519,-2.668967,0.6507663,1.717618,,,
LIPS,2.672753,-2.668976,0.6507652,1.717615,,,
LIPS,2.679307,-2.668934,0.6507663,1.71755,,,
LIPS,2.685909,-2.668936,0.6507646,1.717534,,,
LIPS,2.692966,-2.668943,0.650764,1.717534,,,
LIPS,2.699754,-2.668945,0.6507816,1.71778,,,
LIPS,2.70678,-2.66894,0.6507816,1.717768,,,
