Object Name,Time,PosX,PosY,PosZ,,,
LPH,557.0787,-1.908619,1.513872,-0.06243986,,,
LPH,557.0893,-1.908558,1.51388,-0.06251305,,,
LPH,557.0967,-1.908509,1.513875,-0.06264329,,,
LPH,557.1038,-1.908366,1.513993,-0.06272668,,,
LPH,557.1115,-1.908341,1.513967,-0.06282908,,,
LPH,557.1173,-1.908334,1.513941,-0.06288415,,,
LPH,557.1248,-1.908269,1.513909,-0.06294709,,,
LPH,557.1312,-1.908246,1.513891,-0.06299782,,,
LPH,557.1381,-1.908318,1.513941,-0.06297296,,,
LPH,557.1455,-1.908321,1.513955,-0.06302553,,,
LPH,557.1517,-1.90828,1.513939,-0.06302273,,,
LPH,557.1589,-1.908232,1.513877,-0.06310207,,,
LPH,557.166,-1.908205,1.513867,-0.06308478,,,
LPH,557.1734,-1.908186,1.513845,-0.06307727,,,
LPH,557.1799,-1.908224,1.513804,-0.06304866,,,
LPH,557.1867,-1.908225,1.513774,-0.06303918,,,
LPH,557.1944,-1.908345,1.513733,-0.0629406,,,
LPH,557.2004,-1.908379,1.513715,-0.06292164,,,
LPH,557.2078,-1.908427,1.5137,-0.06290364,,,
LPH,557.2147,-1.908423,1.51362,-0.06285876,,,
LPH,557.2213,-1.908488,1.513608,-0.06283581,,,
LPH,557.2288,-1.90853,1.513574,-0.06278771,,,
LPH,557.2364,-1.908587,1.513626,-0.06273097,,,
LPH,557.2432,-1.908653,1.513597,-0.06271225,,,
LPH,557.2493,-1.908674,1.513569,-0.06262928,,,
LPH,557.2563,-1.908596,1.513518,-0.06259269,,,
LPH,557.2634,-1.9086,1.513467,-0.06252509,,,
LPH,557.2703,-1.908634,1.513434,-0.06247962,,,
LPH,557.2773,-1.908594,1.513394,-0.062433,,,
LPH,557.285,-1.908585,1.51333,-0.0623737,,,
LPH,557.2906,-1.908595,1.513317,-0.06228369,,,
LPH,557.2979,-1.908641,1.513278,-0.06220114,,,
LPH,557.3121,-1.908669,1.513268,-0.06214339,,,
LPH,557.3188,-1.908677,1.513237,-0.06204057,,,
LPH,557.3259,-1.908699,1.513149,-0.0619449,,,
LPH,557.3329,-1.908663,1.513082,-0.06181616,,,
LPH,557.3393,-1.908711,1.513123,-0.0616203,,,
LPH,557.347,-1.908729,1.513098,-0.06150377,,,
LPH,557.3533,-1.908732,1.51307,-0.06138474,,,
LPH,557.3602,-1.90877,1.513068,-0.06122857,,,
LPH,557.3676,-1.908796,1.513059,-0.06113052,,,
LPH,557.3743,-1.908861,1.513021,-0.06098568,,,
LPH,557.3813,-1.908867,1.513032,-0.06085104,,,
LPH,557.3879,-1.90888,1.513042,-0.06072932,,,
LPH,557.3953,-1.908921,1.51303,-0.06058878,,,
LPH,557.402,-1.908942,1.51307,-0.06046695,,,
LPH,557.4095,-1.908907,1.513091,-0.06030321,,,
LPH,557.4164,-1.908914,1.513118,-0.06023633,,,
LPH,557.4226,-1.908928,1.513133,-0.06013942,,,
LPH,557.4299,-1.908894,1.5131,-0.0600071,,,
LPH,557.4366,-1.908866,1.513123,-0.05982894,,,
LPH,557.4443,-1.908832,1.513107,-0.05969888,,,
LPH,557.4507,-1.908811,1.513107,-0.05959046,,,
LPH,557.4579,-1.908759,1.513126,-0.05946106,,,
LPH,557.4649,-1.908743,1.51313,-0.05936944,,,
LPH,557.4715,-1.9087,1.51311,-0.05924404,,,
LPH,557.4785,-1.908648,1.513097,-0.05923921,,,
LPH,557.4854,-1.908621,1.513078,-0.05916202,,,
LPH,557.4922,-1.908594,1.513077,-0.05900264,,,
LPH,557.4994,-1.908608,1.513047,-0.05895907,,,
LPH,557.5062,-1.908586,1.513042,-0.05889666,,,
LPH,557.5131,-1.90862,1.513093,-0.05884808,,,
LPH,557.5228,-1.908669,1.513019,-0.05881429,,,
LPH,557.5294,-1.908665,1.513022,-0.05879629,,,
LPH,557.5349,-1.908726,1.513027,-0.05876768,,,
LPH,557.5405,-1.908729,1.513059,-0.05873418,,,
LPH,557.548,-1.908739,1.513103,-0.05868518,,,
LPH,557.555,-1.908836,1.513174,-0.05871028,,,
LPH,557.5618,-1.908875,1.513219,-0.05870891,,,
LPH,557.5687,-1.90889,1.513261,-0.05865085,,,
LPH,557.5762,-1.908862,1.513309,-0.05863911,,,
LPH,557.5829,-1.908879,1.513318,-0.05862582,,,
LPH,557.5896,-1.908898,1.513332,-0.05861849,,,
LPH,557.5966,-1.908818,1.513306,-0.05855191,,,
LPH,557.6032,-1.908826,1.513332,-0.0585658,,,
LPH,557.6103,-1.908812,1.513379,-0.05855507,,,
LPH,557.6174,-1.908805,1.513409,-0.05856436,,,
LPH,557.624,-1.90878,1.513439,-0.05859482,,,
LPH,557.6315,-1.9088,1.513523,-0.05865902,,,
LPH,557.6379,-1.908748,1.51357,-0.05868912,,,
LPH,557.6452,-1.90874,1.513632,-0.05871236,,,
LPH,557.6525,-1.908735,1.513675,-0.05876392,,,
LPH,557.6592,-1.908676,1.513728,-0.0588215,,,
LPH,557.6658,-1.908684,1.513739,-0.05887604,,,
LPH,557.6731,-1.908605,1.513698,-0.05890244,,,
LPH,557.68,-1.908598,1.5137,-0.05889738,,,
LPH,557.6868,-1.908605,1.513706,-0.05891043,,,
LPH,557.6938,-1.908626,1.513663,-0.05889946,,,
LPH,557.7005,-1.908636,1.513677,-0.058891,,,
LPH,557.7075,-1.908638,1.513686,-0.0588699,,,
LPH,557.7146,-1.908758,1.513707,-0.05885744,,,
LPH,557.7213,-1.908735,1.513673,-0.0588367,,,
LPH,557.7286,-1.908734,1.51368,-0.0588274,,,
LPH,557.7358,-1.908826,1.513672,-0.05888087,,,
LPH,557.7421,-1.908805,1.513637,-0.05885285,,,
LPH,557.749,-1.908806,1.513618,-0.05885857,,,
LPH,557.756,-1.908874,1.51362,-0.05886334,,,
LPH,557.7632,-1.908852,1.513575,-0.05887961,,,
LPH,557.7701,-1.908852,1.513555,-0.05888367,,,
LPH,557.7776,-1.908898,1.513581,-0.05888784,,,
LPH,557.7845,-1.908904,1.513576,-0.05890375,,,
LPH,557.7908,-1.908898,1.51357,-0.05889863,,,
LPH,557.7983,-1.908867,1.513563,-0.05888915,,,
LPH,557.8053,-1.90887,1.51355,-0.05890507,,,
LPH,557.8124,-1.908833,1.513637,-0.0588721,,,
LPH,557.8195,-1.908849,1.513654,-0.05889916,,,
LPH,557.8265,-1.908832,1.513665,-0.05888468,,,
LPH,557.8337,-1.908745,1.513654,-0.05893058,,,
LPH,557.8402,-1.908703,1.513651,-0.05890608,,,
LPH,557.8475,-1.908679,1.513649,-0.05892998,,,
LPH,557.8542,-1.908601,1.51361,-0.0589835,,,
LPH,557.8614,-1.908555,1.513596,-0.05900806,,,
LPH,557.8684,-1.908513,1.513581,-0.05902982,,,
LPH,557.8755,-1.908543,1.513558,-0.05899101,,,
LPH,557.8824,-1.908507,1.513573,-0.05901891,,,
LPH,557.8895,-1.908472,1.513592,-0.05905461,,,
LPH,557.8962,-1.908435,1.513565,-0.05906481,,,
LPH,557.9027,-1.908419,1.513603,-0.05907953,,,
LPH,557.9102,-1.908369,1.5136,-0.05908662,,,
LPH,557.9171,-1.908374,1.513635,-0.059102,,,
LPH,557.9238,-1.90833,1.513642,-0.05909741,,,
LPH,557.9306,-1.908295,1.513644,-0.05910027,,,
LPH,557.9376,-1.908325,1.513653,-0.05915529,,,
LPH,557.945,-1.908298,1.513665,-0.05915403,,,
LPH,557.9512,-1.908217,1.51366,-0.05916274,,,
LPH,557.9586,-1.908217,1.513587,-0.05914259,,,
LPH,557.9658,-1.908196,1.513645,-0.05911952,,,
LPH,557.9725,-1.908122,1.513631,-0.05916387,,,
LPH,557.9797,-1.908133,1.513566,-0.05913836,,,
LPH,557.9867,-1.908104,1.513587,-0.05914587,,,
LPH,557.9931,-1.908053,1.51361,-0.05912989,,,
LPH,558.0001,-1.908026,1.513624,-0.05916578,,,
LPH,558.0071,-1.907979,1.513614,-0.05920005,,,
LPH,558.0141,-1.907878,1.51362,-0.05913609,,,
LPH,558.0209,-1.907825,1.513617,-0.05914479,,,
LPH,558.0281,-1.907779,1.513617,-0.05917108,,,
LPH,558.035,-1.907701,1.513707,-0.0591206,,,
LPH,558.0418,-1.907661,1.51372,-0.0591408,,,
LPH,558.049,-1.907612,1.513714,-0.05914313,,,
LPH,558.056,-1.907504,1.513737,-0.05909109,,,
LPH,558.0629,-1.907442,1.513738,-0.0590924,,,
LPH,558.0697,-1.907386,1.513699,-0.05911064,,,
LPH,558.0768,-1.907422,1.513757,-0.05904657,,,
LPH,558.0847,-1.907359,1.513775,-0.05902356,,,
LPH,558.0904,-1.907295,1.513765,-0.05902046,,,
LPH,558.098,-1.907219,1.513743,-0.05902642,,,
LPH,558.1044,-1.907142,1.513746,-0.05900764,,,
LPH,558.111,-1.907049,1.513793,-0.05895239,,,
LPH,558.1185,-1.906966,1.513741,-0.05895603,,,
LPH,558.1256,-1.906866,1.513708,-0.05893534,,,
LPH,558.1321,-1.906753,1.513698,-0.05888474,,,
LPH,558.1389,-1.906653,1.513731,-0.05882162,,,
LPH,558.1463,-1.906546,1.513733,-0.05877411,,,
LPH,558.1528,-1.90648,1.513734,-0.05874008,,,
LPH,558.1605,-1.906358,1.513721,-0.05865359,,,
LPH,558.1669,-1.906262,1.51374,-0.05858302,,,
LPH,558.1735,-1.906141,1.513774,-0.05850482,,,
LPH,558.1809,-1.906008,1.513739,-0.05842721,,,
LPH,558.1875,-1.905876,1.513758,-0.05830282,,,
LPH,558.1952,-1.90572,1.513756,-0.0580942,,,
LPH,558.2016,-1.905605,1.513746,-0.05801803,,,
LPH,558.2085,-1.905464,1.513713,-0.05792493,,,
LPH,558.2158,-1.905287,1.513721,-0.05779147,,,
LPH,558.2224,-1.905159,1.513722,-0.05769068,,,
LPH,558.2293,-1.905026,1.513711,-0.05759269,,,
LPH,558.2362,-1.904884,1.513774,-0.05738187,,,
LPH,558.244,-1.904761,1.513791,-0.0572769,,,
LPH,558.2501,-1.904636,1.513768,-0.05717909,,,
LPH,558.257,-1.904537,1.51379,-0.05699635,,,
LPH,558.2645,-1.90441,1.513789,-0.05689496,,,
LPH,558.2709,-1.904344,1.513789,-0.056889,,,
LPH,558.278,-1.904297,1.513751,-0.05675763,,,
LPH,558.2855,-1.904216,1.51379,-0.05671281,,,
LPH,558.2916,-1.904167,1.513822,-0.05666351,,,
LPH,558.2987,-1.90407,1.513836,-0.0566048,,,
LPH,558.306,-1.904023,1.513879,-0.05661589,,,
LPH,558.3126,-1.903918,1.513883,-0.05656135,,,
LPH,558.3195,-1.903848,1.513904,-0.05656821,,,
LPH,558.3265,-1.903779,1.513953,-0.05656809,,,
LPH,558.334,-1.903706,1.513984,-0.05651259,,,
LPH,558.3401,-1.90364,1.514012,-0.05652404,,,
LPH,558.3478,-1.903588,1.514047,-0.05653137,,,
LPH,558.3546,-1.903504,1.514031,-0.05656308,,,
LPH,558.3616,-1.903447,1.514061,-0.05660534,,,
LPH,558.3681,-1.903388,1.514056,-0.05664176,,,
LPH,558.3754,-1.903339,1.514061,-0.05666202,,,
LPH,558.3823,-1.903267,1.514084,-0.05672854,,,
LPH,558.3887,-1.903204,1.514093,-0.05680829,,,
LPH,558.3965,-1.903116,1.514168,-0.05691314,,,
LPH,558.4031,-1.903034,1.51421,-0.05695707,,,
