Object Name,Time,PosX,PosY,PosZ,,,
LRSP,557.0787,-1.465658,0.8249303,0.07108253,,,
LRSP,557.0893,-1.46556,0.8250336,0.07126647,,,
LRSP,557.0967,-1.465654,0.8249258,0.07150811,,,
LRSP,557.1038,-1.465657,0.825009,0.07180804,,,
LRSP,557.1115,-1.465667,0.8249885,0.07195646,,,
LRSP,557.1173,-1.465791,0.824877,0.07215816,,,
LRSP,557.1248,-1.465799,0.8248438,0.07226723,,,
LRSP,557.1312,-1.46582,0.8248196,0.07236844,,,
LRSP,557.1381,-1.465911,0.8248035,0.07243079,,,
LRSP,557.1455,-1.465965,0.8248019,0.07251722,,,
LRSP,557.1517,-1.465996,0.8247757,0.07260638,,,
LRSP,557.1589,-1.465951,0.8247,0.07256883,,,
LRSP,557.166,-1.465937,0.8246202,0.07263285,,,
LRSP,557.1734,-1.465962,0.8245777,0.07269365,,,
LRSP,557.1799,-1.466054,0.8245134,0.07277614,,,
LRSP,557.1867,-1.466078,0.8244551,0.07282692,,,
LRSP,557.1944,-1.466163,0.824421,0.07286268,,,
LRSP,557.2004,-1.466218,0.8243967,0.07294661,,,
LRSP,557.2078,-1.466283,0.8243843,0.0729863,,,
LRSP,557.2147,-1.466282,0.8243275,0.07300764,,,
LRSP,557.2213,-1.466325,0.8242353,0.07294816,,,
LRSP,557.2288,-1.466358,0.8242146,0.07295126,,,
LRSP,557.2364,-1.46639,0.8242459,0.07292849,,,
LRSP,557.2432,-1.466372,0.8243089,0.07294375,,,
LRSP,557.2493,-1.466386,0.8242896,0.07289034,,,
LRSP,557.2563,-1.466337,0.8242335,0.07285172,,,
LRSP,557.2634,-1.466264,0.8242449,0.07283014,,,
LRSP,557.2703,-1.466265,0.8242247,0.07276422,,,
LRSP,557.2773,-1.466211,0.8241506,0.0727089,,,
LRSP,557.285,-1.466176,0.8240919,0.0726971,,,
LRSP,557.2906,-1.466171,0.8240666,0.07264715,,,
LRSP,557.2979,-1.466184,0.8240033,0.0725922,,,
LRSP,557.3121,-1.466256,0.8239736,0.07264167,,,
LRSP,557.3188,-1.466272,0.8238737,0.07262081,,,
LRSP,557.3259,-1.466326,0.8237431,0.07253426,,,
LRSP,557.3329,-1.466309,0.8236802,0.07252878,,,
