Object Name,Time,PosX,PosY,PosZ,,,
LUA,557.0787,-1.767737,1.076105,0.1205044,,,
LUA,557.0893,-1.767721,1.076138,0.1205012,,,
LUA,557.0967,-1.767779,1.076108,0.1205127,,,
LUA,557.1038,-1.76774,1.076274,0.1205646,,,
LUA,557.1115,-1.767754,1.076274,0.1205527,,,
LUA,557.1173,-1.767849,1.07623,0.120541,,,
LUA,557.1248,-1.76785,1.076221,0.120539,,,
LUA,557.1312,-1.767868,1.076219,0.120518,,,
LUA,557.1381,-1.767933,1.076245,0.1205412,,,
LUA,557.1455,-1.767973,1.076277,0.1205173,,,
LUA,557.1517,-1.767987,1.076276,0.1205269,,,
LUA,557.1589,-1.767927,1.076231,0.1204665,,,
LUA,557.166,-1.767888,1.076198,0.1204749,,,
LUA,557.1734,-1.767903,1.076178,0.1204713,,,
LUA,557.1799,-1.767988,1.076133,0.1204699,,,
LUA,557.1867,-1.768,1.076103,0.1204699,,,
LUA,557.1944,-1.768088,1.076071,0.1204948,,,
LUA,557.2004,-1.76813,1.076073,0.1205137,,,
LUA,557.2078,-1.76818,1.076085,0.1205007,,,
LUA,557.2147,-1.768185,1.076028,0.1204972,,,
LUA,557.2213,-1.76819,1.075992,0.1204577,,,
LUA,557.2288,-1.768219,1.075981,0.1204457,,,
LUA,557.2364,-1.768217,1.076053,0.1204554,,,
LUA,557.2432,-1.76824,1.076078,0.1204136,,,
LUA,557.2493,-1.768242,1.076069,0.120402,,,
LUA,557.2563,-1.768173,1.076037,0.1203844,,,
LUA,557.2634,-1.768124,1.076021,0.1203761,,,
LUA,557.2703,-1.768116,1.076012,0.120339,,,
LUA,557.2773,-1.768051,1.075956,0.1203368,,,
LUA,557.285,-1.768011,1.075911,0.1203328,,,
LUA,557.2906,-1.767992,1.075898,0.1203424,,,
LUA,557.2979,-1.767991,1.075849,0.1203544,,,
LUA,557.3121,-1.768031,1.075857,0.1203883,,,
LUA,557.3188,-1.768027,1.075784,0.1204049,,,
LUA,557.3259,-1.768036,1.075695,0.120407,,,
LUA,557.3329,-1.768021,1.075619,0.1204591,,,
LUA,557.3393,-1.768016,1.07565,0.1205446,,,
LUA,557.347,-1.768036,1.075669,0.1205742,,,
LUA,557.3533,-1.768094,1.075656,0.120638,,,
LUA,557.3602,-1.768137,1.075668,0.1207134,,,
LUA,557.3676,-1.768174,1.075672,0.120734,,,
LUA,557.3743,-1.768231,1.075647,0.1207947,,,
LUA,557.3813,-1.768297,1.075626,0.1208696,,,
LUA,557.3879,-1.768341,1.075643,0.1209287,,,
LUA,557.3953,-1.768398,1.075624,0.1210077,,,
LUA,557.402,-1.768469,1.075633,0.1210769,,,
LUA,557.4095,-1.768498,1.075616,0.1212099,,,
LUA,557.4164,-1.768543,1.075663,0.1212733,,,
LUA,557.4226,-1.768571,1.07565,0.1213472,,,
LUA,557.4299,-1.768607,1.075611,0.1214513,,,
LUA,557.4366,-1.768615,1.075598,0.1215885,,,
LUA,557.4443,-1.768664,1.075561,0.1217065,,,
LUA,557.4507,-1.768718,1.075555,0.1218225,,,
LUA,557.4579,-1.768718,1.075564,0.1219524,,,
LUA,557.4649,-1.768748,1.07556,0.1220461,,,
LUA,557.4715,-1.768773,1.075535,0.1221489,,,
LUA,557.4785,-1.768777,1.075522,0.1221926,,,
LUA,557.4854,-1.768799,1.075472,0.1222464,,,
LUA,557.4922,-1.768828,1.075451,0.1223748,,,
LUA,557.4994,-1.768922,1.075458,0.1225196,,,
LUA,557.5062,-1.768962,1.075446,0.1225992,,,
LUA,557.5131,-1.769009,1.075477,0.1226904,,,
LUA,557.5228,-1.769076,1.075381,0.1227358,,,
LUA,557.5294,-1.769119,1.075361,0.1228186,,,
LUA,557.5349,-1.769238,1.075326,0.1228932,,,
LUA,557.5405,-1.769252,1.075328,0.1229724,,,
LUA,557.548,-1.769308,1.075338,0.1230553,,,
LUA,557.555,-1.769397,1.075428,0.1231185,,,
LUA,557.5618,-1.769467,1.07545,0.1231862,,,
LUA,557.5687,-1.769537,1.075439,0.1232429,,,
LUA,557.5762,-1.76954,1.075473,0.1233005,,,
LUA,557.5829,-1.769608,1.075445,0.1233389,,,
LUA,557.5896,-1.769683,1.075445,0.1233836,,,
LUA,557.5966,-1.769697,1.075378,0.1234918,,,
LUA,557.6032,-1.76973,1.075389,0.1235349,,,
LUA,557.6103,-1.769721,1.075394,0.1235968,,,
LUA,557.6174,-1.769733,1.075387,0.1236439,,,
