Object Name,Time,PosX,PosY,PosZ,,,
LUSP,2.420974,-2.565795,0.4720973,1.668708,,,
LUSP,2.431628,-2.565798,0.4720967,1.668693,,,
LUSP,2.436951,-2.565795,0.4720971,1.668684,,,
LUSP,2.442745,-2.565825,0.4720914,1.668619,,,
LUSP,2.449803,-2.565822,0.4720902,1.668609,,,
LUSP,2.45669,-2.565826,0.4720886,1.668593,,,
LUSP,2.463906,-2.565807,0.4720883,1.668545,,,
LUSP,2.470587,-2.565805,0.4720875,1.668531,,,
LUSP,2.477501,-2.565773,0.472103,1.668785,,,
LUSP,2.484476,-2.565766,0.4721038,1.668772,,,
LUSP,2.491794,-2.56576,0.4721043,1.668756,,,
LUSP,2.49859,-2.565769,0.4721098,1.668855,,,
LUSP,2.505446,-2.565774,0.4721091,1.668856,,,
LUSP,2.512255,-2.565773,0.4721099,1.668849,,,
LUSP,2.519138,-2.565777,0.4721065,1.668802,,,
LUSP,2.526142,-2.565776,0.4721068,1.668799,,,
LUSP,2.533237,-2.565783,0.4721056,1.668808,,,
LUSP,2.540161,-2.565778,0.472109,1.668883,,,
LUSP,2.547226,-2.56577,0.4721105,1.668863,,,
LUSP,2.554156,-2.565776,0.4721096,1.66887,,,
LUSP,2.560786,-2.565799,0.4720941,1.668618,,,
LUSP,2.568126,-2.565803,0.4720936,1.668607,,,
LUSP,2.575074,-2.565805,0.4720922,1.668589,,,
LUSP,2.581688,-2.565791,0.4720873,1.668473,,,
LUSP,2.588729,-2.565783,0.4720867,1.668452,,,
LUSP,2.595992,-2.565782,0.4720865,1.668441,,,
LUSP,2.603966,-2.565754,0.4720989,1.668605,,,
LUSP,2.609659,-2.565753,0.472098,1.668605,,,
LUSP,2.616956,-2.565754,0.4720971,1.6686,,,
LUSP,2.623576,-2.565779,0.4720933,1.668582,,,
LUSP,2.630427,-2.565776,0.4720941,1.668563,,,
LUSP,2.637254,-2.565776,0.4720938,1.668554,,,
LUSP,2.644089,-2.565799,0.4720966,1.668663,,,
LUSP,2.651183,-2.565801,0.4720967,1.668658,,,
LUSP,2.658067,-2.565799,0.4720963,1.66865,,,
LUSP,2.66519,-2.565802,0.4720952,1.668644,,,
LUSP,2.672753,-2.565809,0.4720948,1.668641,,,
LUSP,2.679307,-2.565777,0.4720947,1.668577,,,
LUSP,2.685909,-2.565779,0.4720938,1.668562,,,
LUSP,2.692966,-2.565784,0.4720927,1.668561,,,
LUSP,2.699754,-2.565782,0.4721063,1.668801,,,
LUSP,2.70678,-2.565779,0.4721061,1.668789,,,
LUSP,2.713658,-2.565777,0.4721058,1.668782,,,
LUSP,2.720514,-2.565758,0.4720999,1.668637,,,
LUSP,2.727593,-2.56576,0.4720989,1.668639,,,
LUSP,2.734432,-2.565761,0.4720985,1.66862,,,
LUSP,2.741449,-2.565752,0.4721024,1.668668,,,
LUSP,2.748368,-2.565751,0.4721022,1.668656,,,
LUSP,2.755377,-2.56575,0.472101,1.668649,,,
LUSP,2.762276,-2.565748,0.4720998,1.668644,,,
LUSP,2.769321,-2.565746,0.4721,1.668625,,,
LUSP,2.776436,-2.56576,0.4721109,1.668853,,,
LUSP,2.783467,-2.565761,0.4721107,1.668847,,,
LUSP,2.790784,-2.565757,0.4721109,1.668829,,,
LUSP,2.797891,-2.565767,0.4721044,1.668734,,,
LUSP,2.804767,-2.56577,0.4721037,1.668718,,,
LUSP,2.811703,-2.565772,0.4721025,1.668711,,,
LUSP,2.818737,-2.565813,0.4720914,1.668614,,,
LUSP,2.826211,-2.565814,0.4720906,1.668601,,,
LUSP,2.832619,-2.565813,0.4720903,1.668592,,,
LUSP,2.839905,-2.565812,0.4720776,1.668344,,,
LUSP,2.84645,-2.565814,0.4720766,1.668334,,,
