Object Name,Time,PosX,PosY,PosZ,,,
RAH,2.420974,-2.571985,1.061766,2.270657,,,
RAH,2.431628,-2.571979,1.061761,2.270647,,,
RAH,2.436951,-2.571975,1.061759,2.27065,,,
RAH,2.442745,-2.572025,1.061758,2.270582,,,
RAH,2.449803,-2.572037,1.061765,2.270563,,,
RAH,2.45669,-2.572031,1.061761,2.270542,,,
RAH,2.463906,-2.571997,1.06176,2.270499,,,
RAH,2.470587,-2.571999,1.061761,2.270485,,,
RAH,2.477501,-2.571947,1.061767,2.270737,,,
RAH,2.484476,-2.571937,1.061767,2.270734,,,
RAH,2.491794,-2.571929,1.061768,2.270722,,,
RAH,2.49859,-2.571929,1.061761,2.27084,,,
RAH,2.505446,-2.571927,1.061755,2.270844,,,
RAH,2.512255,-2.571918,1.061751,2.270845,,,
RAH,2.519138,-2.571939,1.061758,2.27079,,,
RAH,2.526142,-2.571936,1.061756,2.270791,,,
RAH,2.533237,-2.571943,1.061756,2.270786,,,
RAH,2.540161,-2.57194,1.061759,2.270859,,,
RAH,2.547226,-2.571939,1.06176,2.270863,,,
RAH,2.554156,-2.571939,1.061756,2.270862,,,
RAH,2.560786,-2.571988,1.061761,2.270586,,,
RAH,2.568126,-2.571978,1.061753,2.270584,,,
RAH,2.575074,-2.571988,1.061755,2.270569,,,
RAH,2.581688,-2.57198,1.061761,2.270441,,,
RAH,2.588729,-2.571981,1.061769,2.270411,,,
RAH,2.595992,-2.571966,1.061763,2.27041,,,
RAH,2.603966,-2.571921,1.061765,2.270591,,,
RAH,2.609659,-2.571926,1.061769,2.270578,,,
RAH,2.616956,-2.571922,1.061766,2.270571,,,
RAH,2.623576,-2.571956,1.061762,2.270545,,,
RAH,2.630427,-2.571944,1.061758,2.27054,,,
RAH,2.637254,-2.571938,1.061755,2.270538,,,
RAH,2.644089,-2.571984,1.061758,2.270644,,,
RAH,2.651183,-2.571987,1.061758,2.270642,,,
RAH,2.658067,-2.571993,1.061763,2.270627,,,
RAH,2.66519,-2.572006,1.061764,2.270624,,,
RAH,2.672753,-2.572002,1.061757,2.270618,,,
RAH,2.679307,-2.571961,1.061764,2.270558,,,
RAH,2.685909,-2.57196,1.06176,2.27055,,,
RAH,2.692966,-2.571956,1.061756,2.27054,,,
RAH,2.699754,-2.571964,1.061761,2.270797,,,
RAH,2.70678,-2.57196,1.061762,2.270787,,,
