Object Name,Time,PosX,PosY,PosZ,,,
RCAJ,557.0787,-1.860842,1.191324,-0.3665243,,,
RCAJ,557.0893,-1.860749,1.191342,-0.3665861,,,
RCAJ,557.0967,-1.860688,1.191318,-0.3666694,,,
RCAJ,557.1038,-1.860552,1.191379,-0.3667213,,,
RCAJ,557.1115,-1.860525,1.191325,-0.3667993,,,
RCAJ,557.1173,-1.860496,1.191314,-0.3668825,,,
RCAJ,557.1248,-1.860444,1.191241,-0.3669286,,,
RCAJ,557.1312,-1.860426,1.191214,-0.3669996,,,
RCAJ,557.1381,-1.860472,1.191278,-0.3669948,,,
RCAJ,557.1455,-1.860456,1.191273,-0.3670614,,,
RCAJ,557.1517,-1.860408,1.191252,-0.3670856,,,
RCAJ,557.1589,-1.860379,1.191164,-0.367165,,,
RCAJ,557.166,-1.860398,1.191186,-0.3671903,,,
RCAJ,557.1734,-1.860365,1.191172,-0.3672222,,,
RCAJ,557.1799,-1.860368,1.191149,-0.3672584,,,
RCAJ,557.1867,-1.860371,1.191121,-0.3672866,,,
RCAJ,557.1944,-1.860437,1.191115,-0.3672723,,,
RCAJ,557.2004,-1.860455,1.191086,-0.3672907,,,
RCAJ,557.2078,-1.860465,1.191077,-0.3673335,,,
RCAJ,557.2147,-1.860453,1.19101,-0.3673531,,,
RCAJ,557.2213,-1.86051,1.191038,-0.3673914,,,
RCAJ,557.2288,-1.860515,1.19102,-0.3674137,,,
RCAJ,557.2364,-1.860533,1.191079,-0.3674065,,,
RCAJ,557.2432,-1.860517,1.191069,-0.3674582,,,
RCAJ,557.2493,-1.860506,1.191065,-0.3674549,,,
RCAJ,557.2563,-1.860437,1.191008,-0.3674647,,,
RCAJ,557.2634,-1.860398,1.190989,-0.3674616,,,
RCAJ,557.2703,-1.860396,1.190968,-0.3674811,,,
RCAJ,557.2773,-1.860369,1.190944,-0.367458,,,
RCAJ,557.285,-1.860353,1.190894,-0.367453,,,
RCAJ,557.2906,-1.860356,1.190911,-0.3674207,,,
RCAJ,557.2979,-1.860391,1.190899,-0.3673831,,,
RCAJ,557.3121,-1.860387,1.190891,-0.3673585,,,
RCAJ,557.3188,-1.860427,1.190923,-0.3673334,,,
RCAJ,557.3259,-1.860443,1.190862,-0.3673106,,,
