Object Name,Time,PosX,PosY,PosZ,,,
RFA,557.0787,-1.584772,0.9107481,-0.3915049,,,
RFA,557.0893,-1.584617,0.9108334,-0.3915501,,,
RFA,557.0967,-1.584508,0.9108827,-0.3917164,,,
RFA,557.1038,-1.584388,0.91092,-0.3917436,,,
RFA,557.1115,-1.584339,0.9109001,-0.3918515,,,
RFA,557.1173,-1.584303,0.9109114,-0.3919777,,,
RFA,557.1248,-1.584245,0.9108731,-0.3920617,,,
RFA,557.1312,-1.58424,0.9108474,-0.392195,,,
RFA,557.1381,-1.584297,0.9109176,-0.3922884,,,
RFA,557.1455,-1.584292,0.9109228,-0.3924057,,,
RFA,557.1517,-1.584249,0.9109091,-0.3925009,,,
RFA,557.1589,-1.584204,0.9108598,-0.3926132,,,
RFA,557.166,-1.584223,0.9109051,-0.3928022,,,
RFA,557.1734,-1.584192,0.9109035,-0.3928912,,,
RFA,557.1799,-1.584218,0.9108813,-0.3930252,,,
RFA,557.1867,-1.584239,0.9108478,-0.393086,,,
RFA,557.1944,-1.58428,0.910884,-0.3931537,,,
RFA,557.2004,-1.584292,0.9108746,-0.3931696,,,
RFA,557.2078,-1.58429,0.9108876,-0.3932494,,,
RFA,557.2147,-1.584255,0.9108664,-0.3933263,,,
RFA,557.2213,-1.584322,0.910892,-0.393454,,,
RFA,557.2288,-1.584305,0.9109126,-0.393519,,,
RFA,557.2364,-1.584293,0.9110108,-0.3935546,,,
RFA,557.2432,-1.584189,0.9111158,-0.3935931,,,
RFA,557.2493,-1.584149,0.9111582,-0.3936355,,,
RFA,557.2563,-1.58406,0.9111521,-0.3936731,,,
RFA,557.2634,-1.583966,0.9112001,-0.3937267,,,
RFA,557.2703,-1.583918,0.9112575,-0.3937734,,,
RFA,557.2773,-1.583864,0.9112861,-0.3937827,,,
RFA,557.285,-1.583798,0.9113154,-0.3938147,,,
RFA,557.2906,-1.583763,0.9113912,-0.3938513,,,
RFA,557.2979,-1.583733,0.9114695,-0.3938453,,,
RFA,557.3121,-1.583677,0.9115355,-0.3938745,,,
RFA,557.3188,-1.583661,0.9116626,-0.3940246,,,
RFA,557.3259,-1.583614,0.9116903,-0.3940709,,,
RFA,557.3329,-1.583553,0.91173,-0.3941053,,,
