Object Name,Time,PosX,PosY,PosZ,,,
RHA,557.0787,-1.439508,0.7653576,-0.3168253,,,
RHA,557.0893,-1.439326,0.7654536,-0.3168716,,,
RHA,557.0967,-1.439211,0.7655052,-0.3170529,,,
RHA,557.1038,-1.439086,0.7655434,-0.3170798,,,
RHA,557.1115,-1.439009,0.7655393,-0.3172061,,,
RHA,557.1173,-1.438957,0.7655558,-0.3173491,,,
RHA,557.1248,-1.438875,0.765529,-0.3174545,,,
RHA,557.1312,-1.438852,0.7655118,-0.3176114,,,
RHA,557.1381,-1.438898,0.7655777,-0.3177422,,,
RHA,557.1455,-1.438878,0.7655876,-0.3178789,,,
RHA,557.1517,-1.438817,0.7655707,-0.318013,,,
RHA,557.1589,-1.438748,0.7655326,-0.318141,,,
RHA,557.166,-1.438748,0.7655754,-0.3183905,,,
RHA,557.1734,-1.438698,0.7655737,-0.3185118,,,
RHA,557.1799,-1.438711,0.7655447,-0.3186889,,,
RHA,557.1867,-1.438723,0.7655076,-0.318769,,,
RHA,557.1944,-1.438743,0.7655488,-0.3188742,,,
RHA,557.2004,-1.438737,0.7655489,-0.3188954,,,
RHA,557.2078,-1.438718,0.7655632,-0.3189985,,,
RHA,557.2147,-1.438666,0.7655414,-0.3191037,,,
RHA,557.2213,-1.438728,0.7655534,-0.3192667,,,
RHA,557.2288,-1.438695,0.7655669,-0.3193608,,,
RHA,557.2364,-1.438667,0.7656642,-0.3194223,,,
RHA,557.2432,-1.438526,0.7657957,-0.3194593,,,
RHA,557.2493,-1.438464,0.765838,-0.3195334,,,
RHA,557.2563,-1.438364,0.7658263,-0.3195905,,,
RHA,557.2634,-1.438247,0.7658818,-0.3196717,,,
RHA,557.2703,-1.438185,0.7659458,-0.3197277,,,
RHA,557.2773,-1.438117,0.7659725,-0.3197549,,,
RHA,557.285,-1.438025,0.7660076,-0.3198128,,,
RHA,557.2906,-1.437972,0.7660838,-0.3198798,,,
RHA,557.2979,-1.437912,0.7661748,-0.3198912,,,
RHA,557.3121,-1.437826,0.7662539,-0.3199518,,,
RHA,557.3188,-1.437771,0.7663817,-0.3201808,,,
RHA,557.3259,-1.437671,0.7664316,-0.3202732,,,
RHA,557.3329,-1.437565,0.7664835,-0.3203666,,,
RHA,557.3393,-1.437503,0.766713,-0.320442,,,
RHA,557.347,-1.437417,0.7667837,-0.3205413,,,
RHA,557.3533,-1.437325,0.7668439,-0.3206437,,,
RHA,557.3602,-1.437296,0.7668908,-0.3206524,,,
RHA,557.3676,-1.437256,0.7669662,-0.3207563,,,
RHA,557.3743,-1.437253,0.7670347,-0.3208559,,,
RHA,557.3813,-1.437323,0.7670174,-0.320935,,,
RHA,557.3879,-1.437363,0.7670417,-0.3210359,,,
RHA,557.3953,-1.437372,0.7671129,-0.321112,,,
RHA,557.402,-1.437537,0.7671143,-0.3211922,,,
RHA,557.4095,-1.437657,0.7671028,-0.3213076,,,
RHA,557.4164,-1.437754,0.7670843,-0.3214299,,,
RHA,557.4226,-1.437856,0.7671232,-0.3216407,,,
RHA,557.4299,-1.437958,0.7670407,-0.3217955,,,
RHA,557.4366,-1.438095,0.7670227,-0.3219426,,,
RHA,557.4443,-1.438149,0.7669867,-0.3220944,,,
RHA,557.4507,-1.438236,0.7669282,-0.3222647,,,
RHA,557.4579,-1.438302,0.766899,-0.3224024,,,
RHA,557.4649,-1.438327,0.766906,-0.3225697,,,
