Object Name,Time,PosX,PosY,PosZ,,,
RHGT,2.420974,-2.669588,0.9563742,2.022068,,,
RHGT,2.431628,-2.669586,0.9563742,2.02205,,,
RHGT,2.436951,-2.669576,0.9563752,2.022041,,,
RHGT,2.442745,-2.669614,0.9563702,2.021968,,,
RHGT,2.449803,-2.669616,0.9563693,2.021959,,,
RHGT,2.45669,-2.669625,0.9563676,2.021941,,,
RHGT,2.463906,-2.669589,0.9563699,2.02189,,,
RHGT,2.470587,-2.669589,0.9563695,2.021874,,,
RHGT,2.477501,-2.669557,0.9563791,2.022153,,,
RHGT,2.484476,-2.669537,0.9563814,2.022138,,,
RHGT,2.491794,-2.669523,0.9563827,2.022122,,,
RHGT,2.49859,-2.66953,0.9563853,2.022228,,,
RHGT,2.505446,-2.669539,0.9563845,2.022229,,,
RHGT,2.512255,-2.669532,0.956385,2.02222,,,
RHGT,2.519138,-2.669538,0.9563833,2.022171,,,
RHGT,2.526142,-2.669534,0.9563836,2.022166,,,
RHGT,2.533237,-2.669555,0.9563813,2.022175,,,
RHGT,2.540161,-2.669559,0.9563825,2.022258,,,
RHGT,2.547226,-2.669529,0.9563859,2.022237,,,
RHGT,2.554156,-2.669547,0.9563836,2.022243,,,
RHGT,2.560786,-2.669573,0.9563743,2.02197,,,
RHGT,2.568126,-2.669573,0.9563743,2.021956,,,
RHGT,2.575074,-2.669575,0.9563735,2.021937,,,
RHGT,2.581688,-2.669553,0.9563723,2.021812,,,
RHGT,2.588729,-2.66954,0.956373,2.02179,,,
RHGT,2.595992,-2.669532,0.9563738,2.021779,,,
RHGT,2.603966,-2.66949,0.956383,2.021958,,,
RHGT,2.609659,-2.669498,0.9563816,2.021958,,,
RHGT,2.616956,-2.669502,0.9563805,2.021952,,,
RHGT,2.623576,-2.669546,0.9563752,2.021931,,,
RHGT,2.630427,-2.669529,0.9563773,2.02191,,,
RHGT,2.637254,-2.669525,0.9563776,2.0219,,,
RHGT,2.644089,-2.669568,0.9563763,2.022017,,,
RHGT,2.651183,-2.669569,0.9563761,2.022013,,,
RHGT,2.658067,-2.669568,0.9563762,2.022004,,,
RHGT,2.66519,-2.669575,0.9563753,2.021997,,,
RHGT,2.672753,-2.669588,0.9563734,2.021993,,,
RHGT,2.679307,-2.669529,0.956378,2.021926,,,
RHGT,2.685909,-2.66953,0.9563774,2.021909,,,
RHGT,2.692966,-2.669543,0.9563758,2.021908,,,
RHGT,2.699754,-2.669543,0.9563829,2.022168,,,
RHGT,2.70678,-2.669536,0.9563836,2.022156,,,
RHGT,2.713658,-2.66953,0.9563839,2.022149,,,
RHGT,2.720514,-2.6695,0.9563829,2.021993,,,
RHGT,2.727593,-2.669513,0.9563807,2.021996,,,
RHGT,2.734432,-2.669504,0.9563819,2.021974,,,
RHGT,2.741449,-2.66949,0.9563846,2.022026,,,
RHGT,2.748368,-2.669483,0.9563853,2.022013,,,
RHGT,2.755377,-2.66949,0.9563838,2.022006,,,
RHGT,2.762276,-2.669496,0.9563825,2.022001,,,
RHGT,2.769321,-2.669485,0.9563833,2.02198,,,
RHGT,2.776436,-2.66951,0.9563877,2.022226,,,
RHGT,2.783467,-2.669511,0.9563874,2.022219,,,
RHGT,2.790784,-2.669498,0.9563889,2.022201,,,
RHGT,2.797891,-2.669512,0.9563848,2.022097,,,
RHGT,2.804767,-2.669515,0.956384,2.022079,,,
RHGT,2.811703,-2.669523,0.9563828,2.022072,,,
RHGT,2.818737,-2.669598,0.9563715,2.021965,,,
RHGT,2.826211,-2.669602,0.9563708,2.02195,,,
RHGT,2.832619,-2.6696,0.9563708,2.02194,,,
RHGT,2.839905,-2.669587,0.956365,2.021671,,,
RHGT,2.84645,-2.669591,0.9563642,2.021661,,,
RHGT,2.853245,-2.669592,0.9563637,2.021653,,,
RHGT,2.860538,-2.669586,0.9563665,2.021721,,,
RHGT,2.867272,-2.669585,0.9563662,2.021712,,,
RHGT,2.874249,-2.669569,0.9563681,2.021689,,,
RHGT,2.881278,-2.669572,0.9563749,2.021976,,,
RHGT,2.888227,-2.669575,0.9563743,2.02197,,,
RHGT,2.894965,-2.66958,0.9563736,2.021964,,,
RHGT,2.902031,-2.669562,0.9563706,2.021787,,,
RHGT,2.908931,-2.669566,0.9563696,2.021773,,,
RHGT,2.915966,-2.66957,0.956369,2.021761,,,
