Object Name,Time,PosX,PosY,PosZ,,,
RHLE,557.0787,-1.681221,0.9831617,-0.3920251,,,
RHLE,557.0893,-1.681087,0.983223,-0.3920752,,,
RHLE,557.0967,-1.680995,0.983251,-0.39222,,,
RHLE,557.1038,-1.680867,0.9832995,-0.3922578,,,
RHLE,557.1115,-1.680825,0.9832691,-0.3923593,,,
RHLE,557.1173,-1.680794,0.9832729,-0.3924731,,,
RHLE,557.1248,-1.680743,0.9832265,-0.3925487,,,
RHLE,557.1312,-1.680736,0.9832013,-0.3926652,,,
RHLE,557.1381,-1.680789,0.9832695,-0.3927299,,,
RHLE,557.1455,-1.680784,0.9832731,-0.3928345,,,
RHLE,557.1517,-1.680747,0.983259,-0.3929104,,,
RHLE,557.1589,-1.680704,0.9831982,-0.3930149,,,
RHLE,557.166,-1.680715,0.9832351,-0.3931561,,,
RHLE,557.1734,-1.680686,0.9832304,-0.3932291,,,
RHLE,557.1799,-1.680711,0.9832096,-0.3933352,,,
RHLE,557.1867,-1.680724,0.9831782,-0.3933866,,,
RHLE,557.1944,-1.680773,0.983202,-0.3934304,,,
RHLE,557.2004,-1.680785,0.9831873,-0.3934478,,,
RHLE,557.2078,-1.680785,0.9831951,-0.3935181,,,
RHLE,557.2147,-1.680757,0.9831609,-0.3935791,,,
RHLE,557.2213,-1.680812,0.983185,-0.3936798,,,
RHLE,557.2288,-1.680801,0.983195,-0.3937331,,,
RHLE,557.2364,-1.680793,0.9832819,-0.3937572,,,
RHLE,557.2432,-1.680714,0.9833508,-0.3938002,,,
RHLE,557.2493,-1.680684,0.9833798,-0.3938296,,,
RHLE,557.2563,-1.680601,0.9833609,-0.3938602,,,
RHLE,557.2634,-1.680522,0.9833879,-0.3938974,,,
RHLE,557.2703,-1.680486,0.9834225,-0.3939368,,,
RHLE,557.2773,-1.680436,0.9834341,-0.3939357,,,
RHLE,557.285,-1.680382,0.9834394,-0.3939573,,,
RHLE,557.2906,-1.680357,0.9834968,-0.3939736,,,
RHLE,557.2979,-1.680343,0.9835452,-0.3939576,,,
RHLE,557.3121,-1.680305,0.9835904,-0.3939726,,,
RHLE,557.3188,-1.680303,0.9836861,-0.3940707,,,
RHLE,557.3259,-1.680274,0.9836857,-0.3940971,,,
RHLE,557.3329,-1.680233,0.9837013,-0.3941,,,
RHLE,557.3393,-1.680232,0.9838834,-0.3940812,,,
RHLE,557.347,-1.680204,0.9839265,-0.394106,,,
RHLE,557.3533,-1.680159,0.9839749,-0.3941208,,,
RHLE,557.3602,-1.680156,0.9840211,-0.3940734,,,
RHLE,557.3676,-1.680152,0.9840816,-0.39411,,,
RHLE,557.3743,-1.680184,0.9841295,-0.394125,,,
RHLE,557.3813,-1.680248,0.9841385,-0.3941241,,,
RHLE,557.3879,-1.68029,0.9841737,-0.3941503,,,
RHLE,557.3953,-1.680332,0.9842255,-0.3941457,,,
RHLE,557.402,-1.680472,0.9842489,-0.3941587,,,
RHLE,557.4095,-1.680572,0.9842588,-0.3941675,,,
RHLE,557.4164,-1.680663,0.9842552,-0.3942184,,,
RHLE,557.4226,-1.680771,0.9842954,-0.3943102,,,
RHLE,557.4299,-1.680875,0.9842268,-0.3943574,,,
RHLE,557.4366,-1.681001,0.9842294,-0.3943782,,,
RHLE,557.4443,-1.681081,0.9841883,-0.3944157,,,
RHLE,557.4507,-1.681189,0.9841391,-0.3944675,,,
RHLE,557.4579,-1.681273,0.9841146,-0.394488,,,
RHLE,557.4649,-1.681348,0.9841065,-0.3945361,,,
RHLE,557.4715,-1.681412,0.9840636,-0.3945741,,,
RHLE,557.4785,-1.681425,0.9840452,-0.3946506,,,
RHLE,557.4854,-1.681456,0.9840431,-0.3946903,,,
RHLE,557.4922,-1.681515,0.9840507,-0.3946897,,,
RHLE,557.4994,-1.681553,0.9839864,-0.394679,,,
RHLE,557.5062,-1.681577,0.983982,-0.3947045,,,
RHLE,557.5131,-1.681641,0.9840332,-0.3947104,,,
RHLE,557.5228,-1.681678,0.9839801,-0.3947006,,,
RHLE,557.5294,-1.681712,0.9839814,-0.3947124,,,
RHLE,557.5349,-1.681786,0.9839836,-0.3947516,,,
RHLE,557.5405,-1.681856,0.9840078,-0.3947623,,,
RHLE,557.548,-1.68192,0.9840345,-0.3947593,,,
RHLE,557.555,-1.682023,0.9840621,-0.3947776,,,
RHLE,557.5618,-1.682107,0.9840683,-0.3947672,,,
RHLE,557.5687,-1.682179,0.9840883,-0.3947557,,,
RHLE,557.5762,-1.682244,0.9840961,-0.3947566,,,
RHLE,557.5829,-1.682301,0.9840949,-0.3947892,,,
RHLE,557.5896,-1.682334,0.9840856,-0.3947611,,,
RHLE,557.5966,-1.682303,0.9840618,-0.394702,,,
RHLE,557.6032,-1.682304,0.9840648,-0.3946663,,,
RHLE,557.6103,-1.682311,0.9840958,-0.3946069,,,
RHLE,557.6174,-1.682282,0.9841323,-0.3945445,,,
RHLE,557.624,-1.682255,0.9841484,-0.3944645,,,
RHLE,557.6315,-1.682258,0.9842184,-0.3943884,,,
RHLE,557.6379,-1.682186,0.9842643,-0.3943099,,,
RHLE,557.6452,-1.682157,0.9843389,-0.3942121,,,
RHLE,557.6525,-1.682132,0.9843785,-0.3941304,,,
RHLE,557.6592,-1.681983,0.984436,-0.3940096,,,
RHLE,557.6658,-1.68191,0.9844654,-0.393928,,,
RHLE,557.6731,-1.681784,0.9844487,-0.3938556,,,
RHLE,557.68,-1.681704,0.9844701,-0.3937689,,,
RHLE,557.6868,-1.681603,0.9845145,-0.3936664,,,
RHLE,557.6938,-1.681525,0.984503,-0.3935821,,,
RHLE,557.7005,-1.681488,0.9844849,-0.3934747,,,
RHLE,557.7075,-1.681391,0.9845216,-0.3933879,,,
RHLE,557.7146,-1.681389,0.9845757,-0.3933122,,,
RHLE,557.7213,-1.681324,0.9845287,-0.3932299,,,
RHLE,557.7286,-1.681256,0.9845484,-0.3931624,,,
RHLE,557.7358,-1.681205,0.984575,-0.3931043,,,
RHLE,557.7421,-1.681162,0.9846085,-0.3931236,,,
RHLE,557.749,-1.681106,0.9845989,-0.3930818,,,
RHLE,557.756,-1.68108,0.9846339,-0.3930197,,,
RHLE,557.7632,-1.681,0.9845939,-0.3929349,,,
RHLE,557.7701,-1.680954,0.9845883,-0.3929105,,,
RHLE,557.7776,-1.680958,0.9846286,-0.3928858,,,
RHLE,557.7845,-1.68094,0.9846208,-0.3928679,,,
RHLE,557.7908,-1.680898,0.9846209,-0.3928501,,,
RHLE,557.7983,-1.680868,0.9846362,-0.3928372,,,
RHLE,557.8053,-1.680814,0.9846668,-0.3928743,,,
RHLE,557.8124,-1.680809,0.9847391,-0.3928599,,,
RHLE,557.8195,-1.680764,0.9847941,-0.3928876,,,
RHLE,557.8265,-1.680754,0.9848105,-0.3928857,,,
RHLE,557.8337,-1.680698,0.9847889,-0.392933,,,
RHLE,557.8402,-1.680612,0.9848288,-0.392948,,,
RHLE,557.8475,-1.680598,0.9848248,-0.3929975,,,
RHLE,557.8542,-1.680568,0.9847726,-0.3930609,,,
RHLE,557.8614,-1.680542,0.984724,-0.3931015,,,
RHLE,557.8684,-1.680536,0.9847043,-0.3931538,,,
RHLE,557.8755,-1.680556,0.984722,-0.3931701,,,
RHLE,557.8824,-1.680578,0.9846989,-0.3931991,,,
RHLE,557.8895,-1.680602,0.9847016,-0.3932385,,,
RHLE,557.8962,-1.680665,0.9846554,-0.3933167,,,
RHLE,557.9027,-1.680714,0.9846824,-0.3933762,,,
RHLE,557.9102,-1.680735,0.9846696,-0.39342,,,
RHLE,557.9171,-1.680794,0.9846801,-0.3934802,,,
RHLE,557.9238,-1.680825,0.9846778,-0.3935412,,,
RHLE,557.9306,-1.680846,0.9846663,-0.3935978,,,
RHLE,557.9376,-1.680903,0.9846617,-0.3936831,,,
RHLE,557.945,-1.680923,0.9846678,-0.393737,,,
RHLE,557.9512,-1.680886,0.9846522,-0.3937793,,,
RHLE,557.9586,-1.680899,0.984611,-0.393868,,,
RHLE,557.9658,-1.680983,0.9846249,-0.3938957,,,
RHLE,557.9725,-1.68092,0.9846219,-0.3938967,,,
RHLE,557.9797,-1.680981,0.9845662,-0.3939438,,,
RHLE,557.9867,-1.681027,0.9845874,-0.3939824,,,
RHLE,557.9931,-1.681012,0.9846249,-0.3939891,,,
RHLE,558.0001,-1.681057,0.9846448,-0.3940349,,,
RHLE,558.0071,-1.681063,0.9846506,-0.394058,,,
RHLE,558.0141,-1.681072,0.9846599,-0.3940172,,,
RHLE,558.0209,-1.681097,0.9846609,-0.3940389,,,
RHLE,558.0281,-1.681142,0.9846493,-0.394062,,,
RHLE,558.035,-1.681177,0.984698,-0.3940002,,,
RHLE,558.0418,-1.681131,0.984754,-0.3940148,,,
RHLE,558.049,-1.681144,0.984756,-0.3940161,,,
RHLE,558.056,-1.681165,0.9847655,-0.3940164,,,
RHLE,558.0629,-1.681136,0.9847592,-0.3939745,,,
RHLE,558.0697,-1.681174,0.9846952,-0.3940054,,,
RHLE,558.0768,-1.681247,0.9847707,-0.3939645,,,
RHLE,558.0847,-1.681279,0.9847674,-0.3939075,,,
RHLE,558.0904,-1.681292,0.9847487,-0.3939,,,
RHLE,558.098,-1.681317,0.98472,-0.393926,,,
RHLE,558.1044,-1.681321,0.9847268,-0.3939127,,,
RHLE,558.111,-1.681331,0.9847677,-0.3938652,,,
RHLE,558.1185,-1.68133,0.9847367,-0.3939059,,,
RHLE,558.1256,-1.68132,0.9847199,-0.3938997,,,
RHLE,558.1321,-1.681284,0.9847235,-0.3938667,,,
RHLE,558.1389,-1.681312,0.9847603,-0.3938571,,,
RHLE,558.1463,-1.681308,0.9847724,-0.3938432,,,
RHLE,558.1528,-1.681284,0.9848093,-0.3937992,,,
RHLE,558.1605,-1.681313,0.9848081,-0.3938078,,,
RHLE,558.1669,-1.681336,0.9848396,-0.3937953,,,
RHLE,558.1735,-1.681346,0.9848746,-0.393784,,,
RHLE,558.1809,-1.681274,0.9848653,-0.3937044,,,
RHLE,558.1875,-1.681276,0.9848992,-0.3936701,,,
RHLE,558.1952,-1.681308,0.9849263,-0.3936363,,,
RHLE,558.2016,-1.68128,0.9849256,-0.3936154,,,
RHLE,558.2085,-1.68128,0.9849167,-0.3936195,,,
RHLE,558.2158,-1.681269,0.9849335,-0.3936303,,,
RHLE,558.2224,-1.681253,0.9849758,-0.3936502,,,
RHLE,558.2293,-1.681256,0.9849856,-0.393691,,,
RHLE,558.2362,-1.681248,0.9850537,-0.393629,,,
RHLE,558.244,-1.681251,0.9850919,-0.3936723,,,
RHLE,558.2501,-1.681291,0.9850785,-0.393757,,,
RHLE,558.257,-1.681328,0.9851213,-0.3937768,,,
RHLE,558.2645,-1.681337,0.9851322,-0.393806,,,
RHLE,558.2709,-1.681361,0.9851245,-0.3939044,,,
RHLE,558.278,-1.681456,0.9851115,-0.3939865,,,
RHLE,558.2855,-1.681567,0.9850979,-0.3941187,,,
RHLE,558.2916,-1.681629,0.9851286,-0.3942088,,,
RHLE,558.2987,-1.681679,0.9851223,-0.3942939,,,
RHLE,558.306,-1.68178,0.9851478,-0.3944451,,,
RHLE,558.3126,-1.681841,0.9851362,-0.3945509,,,
RHLE,558.3195,-1.68192,0.9851344,-0.394663,,,
RHLE,558.3265,-1.681979,0.9851633,-0.3947758,,,
RHLE,558.334,-1.682046,0.9851709,-0.3948678,,,
RHLE,558.3401,-1.682102,0.9851676,-0.394978,,,
RHLE,558.3478,-1.682132,0.9851854,-0.3950891,,,
RHLE,558.3546,-1.682151,0.9851377,-0.3952175,,,
RHLE,558.3616,-1.682178,0.985119,-0.395348,,,
RHLE,558.3681,-1.682207,0.9850785,-0.395467,,,
RHLE,558.3754,-1.682235,0.9850634,-0.3955642,,,
RHLE,558.3823,-1.682219,0.985033,-0.3955962,,,
RHLE,558.3887,-1.682215,0.9850021,-0.3956915,,,
RHLE,558.3965,-1.682201,0.9850135,-0.3957734,,,
RHLE,558.4031,-1.682117,0.985086,-0.3958184,,,
RHLE,558.4099,-1.682114,0.9850948,-0.3958851,,,
RHLE,558.4171,-1.682132,0.9851077,-0.3958828,,,
RHLE,558.4239,-1.68209,0.9851055,-0.3958392,,,
RHLE,558.4305,-1.682056,0.9851111,-0.3958583,,,
RHLE,558.4376,-1.682044,0.9851394,-0.3958616,,,
RHLE,558.4452,-1.68207,0.9851128,-0.3958706,,,
RHLE,558.4516,-1.682043,0.9851475,-0.395834,,,
RHLE,558.4586,-1.681982,0.9851529,-0.3957776,,,
RHLE,558.4656,-1.681897,0.9851065,-0.395772,,,
RHLE,558.4725,-1.681882,0.9850554,-0.3957588,,,
RHLE,558.4796,-1.681821,0.9850529,-0.395707,,,
RHLE,558.4863,-1.681728,0.98505,-0.3956583,,,
RHLE,558.4932,-1.681635,0.985067,-0.3956038,,,
RHLE,558.5001,-1.681578,0.98507,-0.3955379,,,
RHLE,558.507,-1.681507,0.9851434,-0.3955026,,,
RHLE,558.5142,-1.681421,0.985146,-0.3954231,,,
RHLE,558.5208,-1.681311,0.9851474,-0.3953133,,,
RHLE,558.5283,-1.681221,0.9851662,-0.3952409,,,
RHLE,558.5352,-1.68111,0.9851355,-0.3951671,,,
RHLE,558.5417,-1.681022,0.9851918,-0.3950189,,,
RHLE,558.5488,-1.680902,0.9852334,-0.3949251,,,
RHLE,558.5555,-1.680821,0.9852126,-0.3948699,,,
RHLE,558.5631,-1.680763,0.9852428,-0.3947799,,,
RHLE,558.5696,-1.680677,0.9852707,-0.3946844,,,
RHLE,558.5767,-1.680597,0.985312,-0.3946041,,,
RHLE,558.5839,-1.680475,0.9853723,-0.3945268,,,
RHLE,558.5902,-1.680428,0.985397,-0.3944452,,,
RHLE,558.5977,-1.680346,0.9853948,-0.394328,,,
RHLE,558.6043,-1.680259,0.9853989,-0.3942688,,,
RHLE,558.6113,-1.680217,0.9853988,-0.394191,,,
RHLE,558.6183,-1.68014,0.9854262,-0.3941869,,,
RHLE,558.6254,-1.680063,0.985395,-0.3941367,,,
RHLE,558.6324,-1.679977,0.9853594,-0.3940911,,,
RHLE,558.6389,-1.679919,0.9853054,-0.3940685,,,
RHLE,558.6465,-1.67986,0.9852928,-0.3940299,,,
RHLE,558.6529,-1.679795,0.9852436,-0.3940081,,,
RHLE,558.6601,-1.679799,0.9852402,-0.3939812,,,
RHLE,558.6667,-1.679775,0.9852493,-0.3939459,,,
RHLE,558.6738,-1.679771,0.9852568,-0.3939699,,,
RHLE,558.6806,-1.679748,0.9852729,-0.3939396,,,
RHLE,558.6875,-1.679745,0.9852718,-0.3939556,,,
