Object Name,Time,PosX,PosY,PosZ,,,
RIAS,557.0787,-1.834689,0.7999715,-0.2425062,,,
RIAS,557.0893,-1.834596,0.7999811,-0.2425887,,,
RIAS,557.0967,-1.834528,0.799958,-0.2426463,,,
RIAS,557.1038,-1.834358,0.8000513,-0.2425674,,,
RIAS,557.1115,-1.834303,0.8000116,-0.2425819,,,
RIAS,557.1173,-1.834326,0.7999909,-0.2426873,,,
RIAS,557.1248,-1.834351,0.7999351,-0.2426639,,,
RIAS,557.1312,-1.834342,0.7999144,-0.242701,,,
RIAS,557.1381,-1.834381,0.7999734,-0.2427161,,,
RIAS,557.1455,-1.834418,0.7999795,-0.2427367,,,
RIAS,557.1517,-1.8344,0.7999661,-0.2427354,,,
RIAS,557.1589,-1.83436,0.7998911,-0.2427472,,,
RIAS,557.166,-1.834254,0.7998995,-0.2427943,,,
RIAS,557.1734,-1.834242,0.7998857,-0.2428235,,,
RIAS,557.1799,-1.834318,0.7998603,-0.242875,,,
RIAS,557.1867,-1.834334,0.7998356,-0.2428859,,,
RIAS,557.1944,-1.834375,0.7998319,-0.2428903,,,
RIAS,557.2004,-1.834395,0.7998196,-0.2428582,,,
RIAS,557.2078,-1.834389,0.7998235,-0.2428643,,,
RIAS,557.2147,-1.834374,0.7997637,-0.2428697,,,
RIAS,557.2213,-1.834339,0.7997798,-0.2429373,,,
RIAS,557.2288,-1.834336,0.7997696,-0.2429479,,,
RIAS,557.2364,-1.834276,0.7998426,-0.2428997,,,
RIAS,557.2432,-1.83427,0.7998406,-0.2429411,,,
RIAS,557.2493,-1.834269,0.7998396,-0.2429411,,,
RIAS,557.2563,-1.83426,0.79979,-0.2429197,,,
RIAS,557.2634,-1.834166,0.7997696,-0.2429306,,,
RIAS,557.2703,-1.834196,0.7997535,-0.24294,,,
RIAS,557.2773,-1.834185,0.79972,-0.2429416,,,
RIAS,557.285,-1.834168,0.799672,-0.2429331,,,
RIAS,557.2906,-1.834138,0.7996844,-0.2429259,,,
RIAS,557.2979,-1.834146,0.799667,-0.2429152,,,
RIAS,557.3121,-1.834132,0.7996718,-0.2428657,,,
RIAS,557.3188,-1.834091,0.7996781,-0.2429226,,,
RIAS,557.3259,-1.834065,0.7996207,-0.242902,,,
RIAS,557.3329,-1.834061,0.7995772,-0.242874,,,
RIAS,557.3393,-1.834063,0.7996607,-0.2428473,,,
RIAS,557.347,-1.834055,0.7996652,-0.2427872,,,
RIAS,557.3533,-1.834044,0.7996693,-0.2427891,,,
RIAS,557.3602,-1.834027,0.7997,-0.2427167,,,
RIAS,557.3676,-1.834015,0.7997245,-0.2427288,,,
RIAS,557.3743,-1.834028,0.799726,-0.242709,,,
RIAS,557.3813,-1.834037,0.7997605,-0.2426524,,,
RIAS,557.3879,-1.834035,0.7997988,-0.2426189,,,
RIAS,557.3953,-1.834069,0.7998152,-0.2425812,,,
RIAS,557.402,-1.834191,0.7998719,-0.242575,,,
RIAS,557.4095,-1.834209,0.7999138,-0.2425265,,,
RIAS,557.4164,-1.834203,0.799956,-0.242483,,,
RIAS,557.4226,-1.834161,0.8000067,-0.2425361,,,
RIAS,557.4299,-1.834176,0.799996,-0.2424982,,,
RIAS,557.4366,-1.83417,0.8000491,-0.2424639,,,
RIAS,557.4443,-1.834205,0.8000509,-0.2424321,,,
RIAS,557.4507,-1.834237,0.8000655,-0.2423878,,,
RIAS,557.4579,-1.834224,0.8000948,-0.2422948,,,
RIAS,557.4649,-1.834244,0.8001117,-0.2422668,,,
RIAS,557.4715,-1.834264,0.8001089,-0.2422232,,,
RIAS,557.4785,-1.834258,0.8000942,-0.2422246,,,
RIAS,557.4854,-1.834267,0.8000935,-0.2422526,,,
RIAS,557.4922,-1.834323,0.8001099,-0.2421917,,,
RIAS,557.4994,-1.834369,0.8000723,-0.2420794,,,
RIAS,557.5062,-1.834388,0.8000745,-0.2420576,,,
RIAS,557.5131,-1.83441,0.8001276,-0.2420139,,,
RIAS,557.5228,-1.834383,0.8000767,-0.2420422,,,
RIAS,557.5294,-1.834386,0.8000771,-0.2420164,,,
RIAS,557.5349,-1.834377,0.8001001,-0.2420488,,,
RIAS,557.5405,-1.834376,0.8001301,-0.2420112,,,
RIAS,557.548,-1.834381,0.8001815,-0.2420004,,,
RIAS,557.555,-1.834384,0.8002536,-0.2419824,,,
RIAS,557.5618,-1.834427,0.8002928,-0.2419596,,,
RIAS,557.5687,-1.834477,0.8003408,-0.2419479,,,
RIAS,557.5762,-1.834545,0.8003757,-0.2419301,,,
RIAS,557.5829,-1.8346,0.8003923,-0.2419973,,,
RIAS,557.5896,-1.834674,0.8004026,-0.2419985,,,
RIAS,557.5966,-1.834684,0.8003743,-0.241973,,,
RIAS,557.6032,-1.834662,0.8003956,-0.2419593,,,
RIAS,557.6103,-1.834631,0.8004377,-0.2419443,,,
RIAS,557.6174,-1.834623,0.8004587,-0.2419423,,,
