Object Name,Time,PosX,PosY,PosZ,,,
RIPS,557.0787,-1.981307,0.7538991,-0.1919329,,,
RIPS,557.0893,-1.981213,0.7539011,-0.1920201,,,
RIPS,557.0967,-1.981147,0.7538799,-0.1920829,,,
RIPS,557.1038,-1.980985,0.7539862,-0.1920157,,,
RIPS,557.1115,-1.980932,0.7539485,-0.1920348,,,
RIPS,557.1173,-1.98096,0.7539368,-0.1921474,,,
RIPS,557.1248,-1.980996,0.7539119,-0.192129,,,
RIPS,557.1312,-1.980991,0.7539018,-0.1921708,,,
RIPS,557.1381,-1.98103,0.7539577,-0.1921876,,,
RIPS,557.1455,-1.981075,0.753983,-0.1922147,,,
RIPS,557.1517,-1.981061,0.7539805,-0.1922194,,,
RIPS,557.1589,-1.981026,0.7539189,-0.1922323,,,
RIPS,557.166,-1.980913,0.7539086,-0.1922752,,,
RIPS,557.1734,-1.980905,0.7539017,-0.1923093,,,
RIPS,557.1799,-1.980988,0.75389,-0.1923692,,,
RIPS,557.1867,-1.981007,0.753875,-0.1923827,,,
RIPS,557.1944,-1.981044,0.7538546,-0.1923929,,,
RIPS,557.2004,-1.981068,0.7538487,-0.192366,,,
RIPS,557.2078,-1.981063,0.7538489,-0.19238,,,
RIPS,557.2147,-1.98105,0.7537882,-0.1923915,,,
RIPS,557.2213,-1.981008,0.7537838,-0.192459,,,
RIPS,557.2288,-1.981006,0.7537688,-0.1924762,,,
RIPS,557.2364,-1.980942,0.7538258,-0.1924325,,,
RIPS,557.2432,-1.980936,0.7538162,-0.1924831,,,
RIPS,557.2493,-1.980936,0.753814,-0.1924883,,,
RIPS,557.2563,-1.980935,0.7537879,-0.1924708,,,
RIPS,557.2634,-1.980838,0.7537489,-0.1924864,,,
RIPS,557.2703,-1.980871,0.7537399,-0.1925006,,,
RIPS,557.2773,-1.980861,0.7537126,-0.1925011,,,
RIPS,557.285,-1.980846,0.7536656,-0.192494,,,
RIPS,557.2906,-1.980812,0.753666,-0.1924878,,,
RIPS,557.2979,-1.980816,0.7536363,-0.1924759,,,
RIPS,557.3121,-1.980801,0.753634,-0.1924323,,,
RIPS,557.3188,-1.980751,0.7536165,-0.1924842,,,
RIPS,557.3259,-1.980721,0.7535437,-0.192466,,,
RIPS,557.3329,-1.980716,0.753496,-0.1924371,,,
RIPS,557.3393,-1.980709,0.7535577,-0.1924047,,,
RIPS,557.347,-1.9807,0.7535534,-0.1923499,,,
RIPS,557.3533,-1.980686,0.7535431,-0.1923578,,,
RIPS,557.3602,-1.980664,0.7535541,-0.1922897,,,
RIPS,557.3676,-1.980648,0.7535623,-0.1923044,,,
RIPS,557.3743,-1.980653,0.7535383,-0.1922848,,,
RIPS,557.3813,-1.980659,0.753563,-0.1922291,,,
RIPS,557.3879,-1.980654,0.75359,-0.1921975,,,
RIPS,557.3953,-1.980683,0.7535901,-0.1921591,,,
RIPS,557.402,-1.980806,0.7536547,-0.1921491,,,
RIPS,557.4095,-1.980821,0.7536907,-0.1920956,,,
RIPS,557.4164,-1.980811,0.7537233,-0.1920524,,,
RIPS,557.4226,-1.980759,0.7537457,-0.1920997,,,
RIPS,557.4299,-1.980773,0.7537339,-0.1920603,,,
RIPS,557.4366,-1.980762,0.7537755,-0.1920202,,,
RIPS,557.4443,-1.980799,0.7537823,-0.1919879,,,
RIPS,557.4507,-1.980833,0.753804,-0.1919437,,,
RIPS,557.4579,-1.980821,0.7538366,-0.1918482,,,
RIPS,557.4649,-1.980841,0.7538579,-0.1918184,,,
RIPS,557.4715,-1.980864,0.7538636,-0.1917754,,,
RIPS,557.4785,-1.980862,0.7538599,-0.1917772,,,
RIPS,557.4854,-1.980871,0.7538618,-0.1918047,,,
RIPS,557.4922,-1.98093,0.7538894,-0.1917439,,,
RIPS,557.4994,-1.980982,0.753863,-0.1916382,,,
RIPS,557.5062,-1.981004,0.7538721,-0.1916184,,,
RIPS,557.5131,-1.981025,0.7539229,-0.191574,,,
RIPS,557.5228,-1.980992,0.7538513,-0.1916041,,,
RIPS,557.5294,-1.980994,0.7538484,-0.1915776,,,
RIPS,557.5349,-1.980979,0.7538496,-0.1916131,,,
RIPS,557.5405,-1.980975,0.753874,-0.1915708,,,
RIPS,557.548,-1.980977,0.7539169,-0.1915593,,,
RIPS,557.555,-1.980974,0.7539707,-0.1915428,,,
RIPS,557.5618,-1.981017,0.7540099,-0.1915196,,,
RIPS,557.5687,-1.981068,0.7540592,-0.1915076,,,
RIPS,557.5762,-1.98114,0.7541133,-0.1914867,,,
RIPS,557.5829,-1.981197,0.7541322,-0.1915551,,,
RIPS,557.5896,-1.981275,0.7541531,-0.1915594,,,
RIPS,557.5966,-1.981288,0.7541351,-0.1915337,,,
RIPS,557.6032,-1.981266,0.7541522,-0.1915224,,,
RIPS,557.6103,-1.981232,0.7541889,-0.1915053,,,
RIPS,557.6174,-1.981224,0.7542101,-0.1915025,,,
RIPS,557.624,-1.981189,0.7542156,-0.1914464,,,
RIPS,557.6315,-1.981138,0.7542654,-0.1914314,,,
RIPS,557.6379,-1.981021,0.7542874,-0.1914398,,,
RIPS,557.6452,-1.980998,0.7543265,-0.1914354,,,
RIPS,557.6525,-1.980986,0.754346,-0.1914132,,,
RIPS,557.6592,-1.980946,0.7543914,-0.1914174,,,
RIPS,557.6658,-1.980997,0.7543977,-0.1914274,,,
RIPS,557.6731,-1.980995,0.7543617,-0.1914561,,,
RIPS,557.68,-1.981025,0.7543743,-0.1914814,,,
RIPS,557.6868,-1.981047,0.754381,-0.1914867,,,
RIPS,557.6938,-1.98106,0.754341,-0.1914611,,,
RIPS,557.7005,-1.981071,0.75436,-0.1914573,,,
RIPS,557.7075,-1.980991,0.7543679,-0.191461,,,
RIPS,557.7146,-1.980997,0.7543825,-0.1914688,,,
RIPS,557.7213,-1.98095,0.754349,-0.1914505,,,
RIPS,557.7286,-1.98093,0.7543561,-0.1914357,,,
RIPS,557.7358,-1.98091,0.7543325,-0.1914539,,,
RIPS,557.7421,-1.980948,0.7543154,-0.1915172,,,
RIPS,557.749,-1.980942,0.7543012,-0.1915092,,,
RIPS,557.756,-1.980961,0.7542978,-0.1914892,,,
RIPS,557.7632,-1.98097,0.7542611,-0.191499,,,
RIPS,557.7701,-1.980995,0.7542532,-0.1915151,,,
RIPS,557.7776,-1.980995,0.754278,-0.1914957,,,
RIPS,557.7845,-1.981001,0.7542784,-0.1914986,,,
RIPS,557.7908,-1.980989,0.7542834,-0.1914917,,,
RIPS,557.7983,-1.980939,0.7542852,-0.1915265,,,
RIPS,557.8053,-1.980922,0.7542798,-0.1915398,,,
RIPS,557.8124,-1.980891,0.7543755,-0.1915274,,,
RIPS,557.8195,-1.980827,0.7543933,-0.1915567,,,
RIPS,557.8265,-1.980814,0.7544099,-0.1915385,,,
RIPS,557.8337,-1.980762,0.7544097,-0.1915626,,,
RIPS,557.8402,-1.980747,0.7544212,-0.1915796,,,
RIPS,557.8475,-1.980733,0.754429,-0.191587,,,
RIPS,557.8542,-1.980753,0.7544009,-0.1915918,,,
RIPS,557.8614,-1.980737,0.7543941,-0.1915678,,,
RIPS,557.8684,-1.980758,0.7543906,-0.1915633,,,
RIPS,557.8755,-1.980766,0.7543764,-0.1915829,,,
RIPS,557.8824,-1.9808,0.7543956,-0.191543,,,
RIPS,557.8895,-1.980821,0.7544132,-0.191526,,,
RIPS,557.8962,-1.980801,0.7543894,-0.1915422,,,
RIPS,557.9027,-1.980785,0.7544304,-0.1915663,,,
RIPS,557.9102,-1.980793,0.7544321,-0.1915585,,,
RIPS,557.9171,-1.980795,0.754471,-0.1915354,,,
RIPS,557.9238,-1.980832,0.7544955,-0.191559,,,
RIPS,557.9306,-1.98083,0.7545054,-0.1915531,,,
RIPS,557.9376,-1.980853,0.7545229,-0.1916258,,,
RIPS,557.945,-1.980885,0.7545503,-0.1916232,,,
RIPS,557.9512,-1.980834,0.7545514,-0.191596,,,
RIPS,557.9586,-1.980854,0.7544901,-0.1915843,,,
RIPS,557.9658,-1.98088,0.7545642,-0.1916002,,,
RIPS,557.9725,-1.98085,0.7545401,-0.1915414,,,
RIPS,557.9797,-1.98086,0.7544792,-0.1915212,,,
RIPS,557.9867,-1.980915,0.7545089,-0.1915443,,,
RIPS,557.9931,-1.980899,0.7545352,-0.1915168,,,
RIPS,558.0001,-1.980898,0.754545,-0.1915422,,,
RIPS,558.0071,-1.980898,0.7545296,-0.1915272,,,
RIPS,558.0141,-1.980897,0.7545372,-0.1914413,,,
RIPS,558.0209,-1.980869,0.7545292,-0.1914411,,,
RIPS,558.0281,-1.980876,0.7545199,-0.1914143,,,
RIPS,558.035,-1.980876,0.7546105,-0.1913466,,,
RIPS,558.0418,-1.980834,0.754615,-0.1913164,,,
RIPS,558.049,-1.980816,0.7546036,-0.1913038,,,
RIPS,558.056,-1.980777,0.7546363,-0.1912784,,,
RIPS,558.0629,-1.980695,0.7546276,-0.1912278,,,
RIPS,558.0697,-1.980675,0.7545875,-0.1912185,,,
RIPS,558.0768,-1.980688,0.7546377,-0.1911758,,,
RIPS,558.0847,-1.980739,0.7546631,-0.1911258,,,
