Object Name,Time,PosX,PosY,PosZ,,,
RPH,2.420974,-2.624714,1.081057,2.197421,,,
RPH,2.431628,-2.624706,1.081056,2.19741,,,
RPH,2.436951,-2.624697,1.081057,2.19741,,,
RPH,2.442745,-2.624744,1.081054,2.19734,,,
RPH,2.449803,-2.624758,1.081055,2.197321,,,
RPH,2.45669,-2.624756,1.081054,2.197303,,,
RPH,2.463906,-2.624717,1.081056,2.197257,,,
RPH,2.470587,-2.624719,1.081056,2.197243,,,
RPH,2.477501,-2.624677,1.081059,2.197501,,,
RPH,2.484476,-2.624661,1.08106,2.197495,,,
RPH,2.491794,-2.62465,1.081061,2.197481,,,
RPH,2.49859,-2.624648,1.081061,2.197599,,,
RPH,2.505446,-2.624647,1.08106,2.197605,,,
RPH,2.512255,-2.624635,1.08106,2.197605,,,
RPH,2.519138,-2.624656,1.08106,2.197549,,,
RPH,2.526142,-2.62465,1.08106,2.197548,,,
RPH,2.533237,-2.624665,1.081058,2.197547,,,
RPH,2.540161,-2.624667,1.081059,2.197624,,,
RPH,2.547226,-2.624653,1.081062,2.197619,,,
RPH,2.554156,-2.624659,1.08106,2.197623,,,
RPH,2.560786,-2.624704,1.081058,2.197342,,,
RPH,2.568126,-2.624692,1.081057,2.19734,,,
RPH,2.575074,-2.624701,1.081057,2.197324,,,
RPH,2.581688,-2.624691,1.081059,2.197193,,,
RPH,2.588729,-2.624691,1.08106,2.197161,,,
RPH,2.595992,-2.624674,1.08106,2.197159,,,
RPH,2.603966,-2.624628,1.081064,2.19734,,,
RPH,2.609659,-2.624638,1.081064,2.19733,,,
RPH,2.616956,-2.624634,1.081063,2.197325,,,
RPH,2.623576,-2.624674,1.081059,2.197302,,,
RPH,2.630427,-2.624655,1.08106,2.197294,,,
RPH,2.637254,-2.624647,1.08106,2.197291,,,
RPH,2.644089,-2.624698,1.081058,2.197399,,,
RPH,2.651183,-2.6247,1.081058,2.197396,,,
RPH,2.658067,-2.624706,1.081059,2.197381,,,
RPH,2.66519,-2.624719,1.081059,2.197377,,,
RPH,2.672753,-2.624717,1.081057,2.197374,,,
RPH,2.679307,-2.62467,1.081062,2.197309,,,
RPH,2.685909,-2.624667,1.081061,2.1973,,,
RPH,2.692966,-2.624668,1.081059,2.197294,,,
RPH,2.699754,-2.624677,1.081061,2.19755,,,
RPH,2.70678,-2.624671,1.081062,2.197539,,,
RPH,2.713658,-2.624665,1.081062,2.197529,,,
RPH,2.720514,-2.624655,1.081065,2.197373,,,
RPH,2.727593,-2.624659,1.081063,2.197365,,,
RPH,2.734432,-2.624638,1.081062,2.197352,,,
RPH,2.741449,-2.624624,1.081064,2.197411,,,
RPH,2.748368,-2.624615,1.081064,2.197401,,,
RPH,2.755377,-2.624624,1.081064,2.197391,,,
RPH,2.762276,-2.624633,1.081064,2.197371,,,
RPH,2.769321,-2.624623,1.081065,2.197359,,,
RPH,2.776436,-2.624645,1.081064,2.197608,,,
RPH,2.783467,-2.624642,1.081063,2.197601,,,
RPH,2.790784,-2.624628,1.081064,2.197589,,,
RPH,2.797891,-2.62465,1.081064,2.19749,,,
RPH,2.804767,-2.624654,1.081064,2.197473,,,
RPH,2.811703,-2.624663,1.081063,2.197459,,,
RPH,2.818737,-2.624744,1.081057,2.197333,,,
RPH,2.826211,-2.624745,1.081056,2.197313,,,
RPH,2.832619,-2.624744,1.081057,2.197304,,,
RPH,2.839905,-2.624747,1.081058,2.197042,,,
RPH,2.84645,-2.624744,1.081056,2.197031,,,
RPH,2.853245,-2.624761,1.081057,2.19701,,,
RPH,2.860538,-2.624739,1.081057,2.197099,,,
RPH,2.867272,-2.624732,1.081057,2.19709,,,
RPH,2.874249,-2.624721,1.081058,2.197084,,,
RPH,2.881278,-2.624707,1.081058,2.19736,,,
RPH,2.888227,-2.62471,1.081058,2.197358,,,
RPH,2.894965,-2.624715,1.081058,2.197353,,,
RPH,2.902031,-2.624703,1.081059,2.197172,,,
RPH,2.908931,-2.624704,1.081058,2.197158,,,
RPH,2.915966,-2.624714,1.081058,2.197145,,,
RPH,2.92302,-2.624682,1.08106,2.197301,,,
RPH,2.929796,-2.624705,1.081062,2.197277,,,
RPH,2.936748,-2.624704,1.081061,2.197341,,,
RPH,2.943689,-2.624693,1.081062,2.197336,,,
RPH,2.950568,-2.624699,1.08106,2.197326,,,
RPH,2.957631,-2.624717,1.081058,2.197461,,,
RPH,2.964496,-2.624726,1.08106,2.197445,,,
RPH,2.971441,-2.624727,1.08106,2.197443,,,
RPH,2.978847,-2.624748,1.081058,2.197433,,,
RPH,2.985551,-2.624748,1.081058,2.197429,,,
RPH,2.992272,-2.624745,1.081057,2.197424,,,
RPH,2.999219,-2.624796,1.081055,2.19756,,,
RPH,3.006225,-2.624794,1.081054,2.19756,,,
RPH,3.013097,-2.624801,1.081053,2.19756,,,
RPH,3.020053,-2.624817,1.081053,2.197546,,,
RPH,3.027069,-2.624835,1.081052,2.197532,,,
RPH,3.033854,-2.624833,1.081052,2.197526,,,
RPH,3.040962,-2.624787,1.081056,2.197593,,,
RPH,3.047923,-2.624788,1.081055,2.197589,,,
RPH,3.054775,-2.624808,1.081055,2.197553,,,
RPH,3.061702,-2.624815,1.081053,2.197544,,,
RPH,3.068681,-2.624806,1.081053,2.197541,,,
RPH,3.075851,-2.624817,1.081053,2.197541,,,
RPH,3.082618,-2.624767,1.081055,2.197484,,,
RPH,3.089543,-2.624766,1.081054,2.197487,,,
RPH,3.096555,-2.624693,1.081056,2.19747,,,
RPH,3.103326,-2.624695,1.081057,2.197463,,,
RPH,3.110597,-2.624694,1.081057,2.197453,,,
RPH,3.117232,-2.624665,1.081059,2.197654,,,
RPH,3.124188,-2.624669,1.081059,2.197646,,,
RPH,3.131128,-2.624661,1.08106,2.197638,,,
RPH,3.138248,-2.624675,1.081059,2.197742,,,
RPH,3.144972,-2.624669,1.081061,2.197738,,,
RPH,3.152028,-2.624666,1.081062,2.197727,,,
RPH,3.158906,-2.624655,1.081063,2.197759,,,
RPH,3.165848,-2.624642,1.081063,2.197758,,,
RPH,3.172896,-2.624657,1.081062,2.197761,,,
RPH,3.179819,-2.624694,1.081058,2.197658,,,
RPH,3.186677,-2.624707,1.081059,2.197658,,,
RPH,3.193666,-2.624712,1.081058,2.197659,,,
RPH,3.20106,-2.624703,1.081059,2.197661,,,
RPH,3.207923,-2.624763,1.081056,2.197549,,,
RPH,3.214563,-2.624776,1.081056,2.197537,,,
RPH,3.221451,-2.624761,1.081056,2.197531,,,
RPH,3.228619,-2.624762,1.081055,2.197531,,,
RPH,3.237859,-2.624762,1.081055,2.197518,,,
RPH,3.242196,-2.624768,1.081056,2.197489,,,
RPH,3.249029,-2.624649,1.081062,2.197708,,,
RPH,3.25611,-2.62465,1.081061,2.197699,,,
RPH,3.263007,-2.624652,1.081064,2.197685,,,
RPH,3.269776,-2.624646,1.081064,2.197683,,,
RPH,3.27681,-2.624654,1.081062,2.197665,,,
RPH,3.283679,-2.624645,1.081064,2.197661,,,
RPH,3.290806,-2.624643,1.081063,2.197669,,,
RPH,3.297816,-2.624683,1.08106,2.19748,,,
RPH,3.304637,-2.624669,1.081061,2.197474,,,
RPH,3.311532,-2.624682,1.081061,2.197462,,,
RPH,3.318444,-2.624647,1.081062,2.197398,,,
RPH,3.325547,-2.624658,1.08106,2.197388,,,
RPH,3.332608,-2.624645,1.081062,2.19737,,,
RPH,3.339391,-2.624615,1.081066,2.197545,,,
RPH,3.346312,-2.624606,1.081065,2.197536,,,
RPH,3.353067,-2.624595,1.081065,2.197521,,,
RPH,3.360134,-2.624548,1.081068,2.197821,,,
RPH,3.367046,-2.624545,1.081069,2.197807,,,
RPH,3.374126,-2.624551,1.08107,2.197799,,,
RPH,3.38111,-2.624496,1.081071,2.197761,,,
RPH,3.388238,-2.624508,1.081071,2.197758,,,
RPH,3.394827,-2.624572,1.081069,2.197825,,,
RPH,3.401735,-2.624531,1.08107,2.197834,,,
RPH,3.408911,-2.624544,1.081069,2.197829,,,
RPH,3.415822,-2.624636,1.081064,2.197879,,,
RPH,3.423173,-2.624633,1.081064,2.197873,,,
RPH,3.430099,-2.624641,1.081063,2.197869,,,
RPH,3.436479,-2.624661,1.081064,2.197857,,,
RPH,3.443435,-2.624661,1.081061,2.197859,,,
RPH,3.450369,-2.624657,1.081063,2.197851,,,
RPH,3.457527,-2.624679,1.081062,2.197845,,,
RPH,3.464354,-2.624667,1.081062,2.197849,,,
RPH,3.471501,-2.624672,1.081062,2.19784,,,
RPH,3.478459,-2.624767,1.081058,2.19779,,,
RPH,3.485285,-2.624762,1.081056,2.197793,,,
RPH,3.492383,-2.624769,1.081056,2.197778,,,
RPH,3.499221,-2.624735,1.081058,2.197884,,,
RPH,3.506344,-2.624744,1.081058,2.197879,,,
RPH,3.513098,-2.624742,1.081057,2.197874,,,
RPH,3.520001,-2.624742,1.081058,2.197859,,,
RPH,3.527361,-2.624736,1.081057,2.197854,,,
RPH,3.534142,-2.624743,1.081059,2.197841,,,
RPH,3.541012,-2.624757,1.081059,2.197833,,,
RPH,3.547856,-2.624766,1.081058,2.197832,,,
RPH,3.55479,-2.624773,1.081055,2.197839,,,
RPH,3.561612,-2.62474,1.081055,2.197731,,,
RPH,3.568624,-2.624741,1.081056,2.197721,,,
RPH,3.576177,-2.624739,1.081057,2.19784,,,
RPH,3.582898,-2.624736,1.081057,2.197839,,,
RPH,3.5898,-2.624743,1.081055,2.197839,,,
RPH,3.596525,-2.624756,1.081055,2.197834,,,
RPH,3.603379,-2.624737,1.081057,2.197835,,,
RPH,3.610332,-2.624732,1.081056,2.197829,,,
RPH,3.617702,-2.624731,1.081056,2.197825,,,
RPH,3.624302,-2.624739,1.081057,2.197815,,,
RPH,3.631051,-2.624734,1.081058,2.197813,,,
RPH,3.638153,-2.624746,1.081058,2.197801,,,
RPH,3.644971,-2.624754,1.081057,2.197805,,,
RPH,3.652086,-2.624739,1.081059,2.1978,,,
RPH,3.658947,-2.624629,1.081064,2.197812,,,
RPH,3.666026,-2.62462,1.081065,2.197814,,,
RPH,3.672797,-2.624634,1.081064,2.197805,,,
RPH,3.679776,-2.624643,1.081062,2.197281,,,
RPH,3.687328,-2.624644,1.081063,2.197271,,,
RPH,3.693737,-2.624647,1.081063,2.197262,,,
RPH,3.700801,-2.624631,1.081063,2.197434,,,
RPH,3.708055,-2.624643,1.081062,2.197427,,,
RPH,3.714673,-2.624555,1.081066,2.197491,,,
RPH,3.721466,-2.624551,1.081068,2.197477,,,
RPH,3.728604,-2.624542,1.081068,2.197474,,,
RPH,3.73531,-2.62454,1.081068,2.197469,,,
RPH,3.742238,-2.624544,1.081067,2.197452,,,
RPH,3.749159,-2.624538,1.081068,2.197446,,,
RPH,3.756152,-2.624555,1.081069,2.197672,,,
RPH,3.763075,-2.624548,1.081071,2.197665,,,
RPH,3.770089,-2.62453,1.081069,2.197672,,,
RPH,3.777104,-2.624599,1.081066,2.197554,,,
RPH,3.78402,-2.624593,1.081065,2.197554,,,
RPH,3.79089,-2.624587,1.081066,2.197541,,,
RPH,3.797867,-2.624659,1.081062,2.197075,,,
RPH,3.804753,-2.624674,1.081063,2.197061,,,
RPH,3.811741,-2.624666,1.081061,2.197053,,,
RPH,3.818664,-2.624665,1.081064,2.197519,,,
RPH,3.825631,-2.624657,1.081063,2.197517,,,
RPH,3.832985,-2.624672,1.081063,2.197513,,,
RPH,3.839768,-2.624652,1.081063,2.197581,,,
RPH,3.846678,-2.624656,1.081063,2.197573,,,
RPH,3.85378,-2.62466,1.081063,2.197573,,,
RPH,3.860356,-2.624635,1.081064,2.197634,,,
RPH,3.867308,-2.624639,1.081065,2.197633,,,
RPH,3.874198,-2.62464,1.081064,2.197632,,,
RPH,3.881085,-2.624576,1.081067,2.197693,,,
RPH,3.888361,-2.624599,1.081067,2.197694,,,
RPH,3.895015,-2.624561,1.081068,2.197729,,,
RPH,3.902277,-2.624559,1.081068,2.197727,,,
RPH,3.909038,-2.624553,1.081069,2.197726,,,
RPH,3.916318,-2.624593,1.081066,2.197455,,,
RPH,3.922785,-2.624595,1.081065,2.197466,,,
RPH,3.929907,-2.624597,1.081066,2.197451,,,
RPH,3.936734,-2.624611,1.081065,2.197437,,,
RPH,3.943612,-2.624616,1.081066,2.197426,,,
RPH,3.950557,-2.624632,1.081066,2.197423,,,
RPH,3.957578,-2.624634,1.081064,2.197521,,,
RPH,3.964617,-2.624634,1.081065,2.197519,,,
RPH,3.971467,-2.624637,1.081065,2.197512,,,
