Object Name,Time,PosX,PosY,PosZ,,,
RRSP,557.0787,-1.521629,0.786954,-0.3889081,,,
RRSP,557.0893,-1.521444,0.7870547,-0.3889434,,,
RRSP,557.0967,-1.521305,0.7871189,-0.3891457,,,
RRSP,557.1038,-1.521189,0.787154,-0.3891578,,,
RRSP,557.1115,-1.521123,0.787143,-0.3892687,,,
RRSP,557.1173,-1.521077,0.7871591,-0.3894022,,,
RRSP,557.1248,-1.521003,0.7871289,-0.3894955,,,
RRSP,557.1312,-1.520996,0.7871042,-0.3896392,,,
RRSP,557.1381,-1.521051,0.7871752,-0.3897583,,,
RRSP,557.1455,-1.521039,0.7871834,-0.3898853,,,
RRSP,557.1517,-1.520993,0.7871715,-0.3899978,,,
RRSP,557.1589,-1.520929,0.7871319,-0.3901146,,,
RRSP,557.166,-1.520939,0.7871807,-0.3903552,,,
RRSP,557.1734,-1.520902,0.7871818,-0.390458,,,
RRSP,557.1799,-1.520929,0.787159,-0.390621,,,
RRSP,557.1867,-1.520951,0.7871245,-0.3906866,,,
RRSP,557.1944,-1.520976,0.7871689,-0.3907853,,,
RRSP,557.2004,-1.520977,0.787165,-0.3907945,,,
RRSP,557.2078,-1.520964,0.7871835,-0.3908857,,,
RRSP,557.2147,-1.52091,0.7871717,-0.3909841,,,
RRSP,557.2213,-1.520978,0.7871966,-0.391135,,,
RRSP,557.2288,-1.520945,0.7872251,-0.3912169,,,
RRSP,557.2364,-1.520916,0.7873322,-0.3912708,,,
RRSP,557.2432,-1.520762,0.7874627,-0.391311,,,
RRSP,557.2493,-1.520703,0.7875146,-0.3913738,,,
RRSP,557.2563,-1.520593,0.7875185,-0.3914314,,,
RRSP,557.2634,-1.520473,0.7875801,-0.3915125,,,
RRSP,557.2703,-1.520392,0.7876536,-0.3915806,,,
RRSP,557.2773,-1.520318,0.7876928,-0.3916044,,,
RRSP,557.285,-1.52022,0.7877384,-0.3916575,,,
RRSP,557.2906,-1.520162,0.7878256,-0.3917251,,,
RRSP,557.2979,-1.520094,0.7879229,-0.391735,,,
RRSP,557.3121,-1.520008,0.7880042,-0.3917921,,,
RRSP,557.3188,-1.519958,0.7881485,-0.3920122,,,
RRSP,557.3259,-1.519872,0.7881953,-0.3920835,,,
RRSP,557.3329,-1.519782,0.7882496,-0.3921551,,,
RRSP,557.3393,-1.519714,0.7884926,-0.3922296,,,
RRSP,557.347,-1.519634,0.7885716,-0.3923157,,,
RRSP,557.3533,-1.519551,0.7886424,-0.3924072,,,
RRSP,557.3602,-1.519526,0.7886997,-0.3924093,,,
RRSP,557.3676,-1.519491,0.7887821,-0.392505,,,
RRSP,557.3743,-1.519487,0.7888569,-0.3926104,,,
RRSP,557.3813,-1.519577,0.7888399,-0.3926811,,,
RRSP,557.3879,-1.519625,0.7888669,-0.3927823,,,
RRSP,557.3953,-1.519642,0.7889378,-0.3928575,,,
RRSP,557.402,-1.519832,0.7889206,-0.3929371,,,
RRSP,557.4095,-1.519984,0.7888906,-0.3930466,,,
RRSP,557.4164,-1.520112,0.7888552,-0.3931557,,,
RRSP,557.4226,-1.52026,0.7888734,-0.3933372,,,
RRSP,557.4299,-1.520421,0.7887574,-0.3934568,,,
RRSP,557.4366,-1.52062,0.7887101,-0.393565,,,
RRSP,557.4443,-1.520743,0.7886323,-0.3936689,,,
RRSP,557.4507,-1.520909,0.7885375,-0.3937735,,,
RRSP,557.4579,-1.521043,0.7884756,-0.393858,,,
RRSP,557.4649,-1.521145,0.7884517,-0.3939485,,,
RRSP,557.4715,-1.521249,0.7883774,-0.3940445,,,
RRSP,557.4785,-1.52127,0.7883581,-0.3941558,,,
RRSP,557.4854,-1.521321,0.788345,-0.3942385,,,
RRSP,557.4922,-1.521406,0.7883384,-0.3943123,,,
RRSP,557.4994,-1.52145,0.788267,-0.3943256,,,
RRSP,557.5062,-1.521487,0.7882558,-0.3943891,,,
RRSP,557.5131,-1.521566,0.7883041,-0.3944362,,,
RRSP,557.5228,-1.52161,0.7882543,-0.3943983,,,
RRSP,557.5294,-1.521653,0.788254,-0.3944461,,,
RRSP,557.5349,-1.521764,0.7882307,-0.3945345,,,
RRSP,557.5405,-1.521858,0.7882459,-0.3945938,,,
RRSP,557.548,-1.521959,0.7882468,-0.394623,,,
RRSP,557.555,-1.522096,0.7882498,-0.3946383,,,
RRSP,557.5618,-1.522214,0.7882346,-0.3946214,,,
RRSP,557.5687,-1.522323,0.788228,-0.3946288,,,
RRSP,557.5762,-1.522423,0.7882127,-0.3946366,,,
RRSP,557.5829,-1.522521,0.7881842,-0.394692,,,
RRSP,557.5896,-1.522572,0.7881587,-0.3946443,,,
RRSP,557.5966,-1.52255,0.78813,-0.3945923,,,
RRSP,557.6032,-1.522569,0.7881216,-0.3945307,,,
RRSP,557.6103,-1.522602,0.7881407,-0.394451,,,
RRSP,557.6174,-1.522569,0.7881859,-0.3943582,,,
RRSP,557.624,-1.522545,0.7882077,-0.3942603,,,
RRSP,557.6315,-1.522559,0.7882814,-0.3941419,,,
RRSP,557.6379,-1.522498,0.788327,-0.3940267,,,
RRSP,557.6452,-1.522468,0.7884122,-0.3939025,,,
RRSP,557.6525,-1.522439,0.7884655,-0.3937799,,,
RRSP,557.6592,-1.522261,0.7885426,-0.3935608,,,
RRSP,557.6658,-1.522156,0.7886001,-0.3934171,,,
RRSP,557.6731,-1.522002,0.7886043,-0.3932918,,,
RRSP,557.68,-1.521911,0.7886323,-0.3931562,,,
RRSP,557.6868,-1.521771,0.7887058,-0.3930021,,,
RRSP,557.6938,-1.521654,0.7887219,-0.3928761,,,
RRSP,557.7005,-1.521644,0.7886778,-0.3927007,,,
RRSP,557.7075,-1.52153,0.7887237,-0.3925697,,,
RRSP,557.7146,-1.521512,0.7887928,-0.3924565,,,
RRSP,557.7213,-1.521458,0.7887329,-0.3923374,,,
RRSP,557.7286,-1.521378,0.788761,-0.3922419,,,
RRSP,557.7358,-1.521289,0.7888177,-0.3921329,,,
RRSP,557.7421,-1.521224,0.7888766,-0.3921944,,,
RRSP,557.749,-1.521154,0.7888781,-0.3921173,,,
RRSP,557.756,-1.521097,0.7889429,-0.3920288,,,
RRSP,557.7632,-1.521002,0.7889177,-0.3918524,,,
RRSP,557.7701,-1.520946,0.7889232,-0.3917982,,,
RRSP,557.7776,-1.520941,0.7889794,-0.3917531,,,
RRSP,557.7845,-1.520924,0.7889774,-0.3916968,,,
RRSP,557.7908,-1.520877,0.7889851,-0.3916509,,,
RRSP,557.7983,-1.520854,0.7890074,-0.3916081,,,
RRSP,557.8053,-1.520763,0.7890732,-0.3916504,,,
RRSP,557.8124,-1.52079,0.7891294,-0.3916344,,,
RRSP,557.8195,-1.52072,0.7892129,-0.3916441,,,
RRSP,557.8265,-1.520711,0.7892357,-0.3916397,,,
RRSP,557.8337,-1.520668,0.7892157,-0.3916668,,,
RRSP,557.8402,-1.520552,0.7892793,-0.3917013,,,
