Object Name,Time,PosX,PosY,PosZ,,,
RUA,557.0787,-1.768267,1.078544,-0.3913477,,,
RUA,557.0893,-1.768155,1.078584,-0.3914071,,,
RUA,557.0967,-1.768086,1.078591,-0.3915168,,,
RUA,557.1038,-1.767954,1.078643,-0.3915585,,,
RUA,557.1115,-1.767925,1.078601,-0.391648,,,
RUA,557.1173,-1.767901,1.078598,-0.3917508,,,
RUA,557.1248,-1.767862,1.078541,-0.3918095,,,
RUA,557.1312,-1.767856,1.078514,-0.3919056,,,
RUA,557.1381,-1.76791,1.078581,-0.3919389,,,
RUA,557.1455,-1.767909,1.078581,-0.3920252,,,
RUA,557.1517,-1.767874,1.078565,-0.3920764,,,
RUA,557.1589,-1.767845,1.078491,-0.3921673,,,
RUA,557.166,-1.767862,1.078522,-0.3922513,,,
RUA,557.1734,-1.767837,1.078514,-0.3923056,,,
RUA,557.1799,-1.767859,1.078494,-0.3923785,,,
RUA,557.1867,-1.767872,1.078464,-0.3924196,,,
RUA,557.1944,-1.767932,1.078476,-0.3924332,,,
RUA,557.2004,-1.767952,1.078454,-0.3924507,,,
RUA,557.2078,-1.767961,1.078454,-0.3925058,,,
RUA,557.2147,-1.767946,1.078406,-0.3925442,,,
RUA,557.2213,-1.768,1.078431,-0.3926166,,,
RUA,557.2288,-1.768001,1.07843,-0.3926526,,,
RUA,557.2364,-1.768007,1.078505,-0.392657,,,
RUA,557.2432,-1.767967,1.078538,-0.3927018,,,
RUA,557.2493,-1.767951,1.078554,-0.3927128,,,
RUA,557.2563,-1.767883,1.078521,-0.3927267,,,
RUA,557.2634,-1.767825,1.078528,-0.3927407,,,
RUA,557.2703,-1.767813,1.07854,-0.3927646,,,
RUA,557.2773,-1.767779,1.078537,-0.3927517,,,
RUA,557.285,-1.767751,1.078519,-0.3927559,,,
RUA,557.2906,-1.767742,1.07856,-0.3927453,,,
RUA,557.2979,-1.767757,1.078582,-0.3927171,,,
RUA,557.3121,-1.767742,1.078605,-0.392707,,,
RUA,557.3188,-1.767766,1.078676,-0.3927416,,,
RUA,557.3259,-1.767766,1.078649,-0.3927423,,,
RUA,557.3329,-1.767746,1.078644,-0.3927084,,,
RUA,557.3393,-1.76778,1.078794,-0.3926432,,,
RUA,557.347,-1.767775,1.078815,-0.3926316,,,
RUA,557.3533,-1.767742,1.078851,-0.3926071,,,
RUA,557.3602,-1.767746,1.078891,-0.392534,,,
RUA,557.3676,-1.767754,1.07894,-0.3925392,,,
RUA,557.3743,-1.767801,1.078973,-0.3925073,,,
RUA,557.3813,-1.767848,1.078996,-0.3924663,,,
RUA,557.3879,-1.767885,1.079036,-0.3924509,,,
RUA,557.3953,-1.767937,1.079078,-0.3924039,,,
RUA,557.402,-1.76805,1.079125,-0.3923813,,,
RUA,557.4095,-1.768124,1.079158,-0.3923346,,,
RUA,557.4164,-1.768194,1.079172,-0.3923484,,,
RUA,557.4226,-1.768285,1.079228,-0.3923905,,,
RUA,557.4299,-1.768358,1.079186,-0.3923928,,,
RUA,557.4366,-1.768451,1.079219,-0.3923633,,,
RUA,557.4443,-1.768506,1.0792,-0.3923597,,,
RUA,557.4507,-1.768584,1.079177,-0.3923747,,,
RUA,557.4579,-1.768643,1.079173,-0.392352,,,
RUA,557.4649,-1.768708,1.079175,-0.3923703,,,
RUA,557.4715,-1.768751,1.07915,-0.392371,,,
RUA,557.4785,-1.768764,1.079132,-0.392423,,,
RUA,557.4854,-1.768785,1.079138,-0.392439,,,
RUA,557.4922,-1.768833,1.079154,-0.3923959,,,
RUA,557.4994,-1.76887,1.079091,-0.3923653,,,
RUA,557.5062,-1.768889,1.079091,-0.3923673,,,
RUA,557.5131,-1.76895,1.079144,-0.3923486,,,
RUA,557.5228,-1.768988,1.07909,-0.3923544,,,
RUA,557.5294,-1.76902,1.079092,-0.3923454,,,
RUA,557.5349,-1.769076,1.07911,-0.3923594,,,
RUA,557.5405,-1.76914,1.07914,-0.3923424,,,
RUA,557.548,-1.769187,1.079182,-0.3923222,,,
RUA,557.555,-1.769275,1.079223,-0.3923383,,,
RUA,557.5618,-1.769345,1.079242,-0.3923291,,,
RUA,557.5687,-1.769401,1.079277,-0.3923072,,,
RUA,557.5762,-1.76945,1.079298,-0.3923021,,,
RUA,557.5829,-1.769489,1.079314,-0.3923249,,,
RUA,557.5896,-1.769512,1.079314,-0.3923084,,,
RUA,557.5966,-1.769477,1.079294,-0.3922479,,,
RUA,557.6032,-1.769471,1.079303,-0.3922268,,,
RUA,557.6103,-1.76947,1.079342,-0.3921805,,,
RUA,557.6174,-1.769446,1.079374,-0.3921385,,,
RUA,557.624,-1.769423,1.079387,-0.3920704,,,
RUA,557.6315,-1.769428,1.079456,-0.3920209,,,
RUA,557.6379,-1.769354,1.079504,-0.3919678,,,
RUA,557.6452,-1.769331,1.079574,-0.3918918,,,
RUA,557.6525,-1.769315,1.079607,-0.3918361,,,
RUA,557.6592,-1.76918,1.079653,-0.3917749,,,
RUA,557.6658,-1.769125,1.079666,-0.3917328,,,
RUA,557.6731,-1.769013,1.079637,-0.3916956,,,
RUA,557.68,-1.768939,1.079654,-0.3916432,,,
RUA,557.6868,-1.768858,1.079682,-0.3915769,,,
RUA,557.6938,-1.768798,1.079653,-0.3915193,,,
RUA,557.7005,-1.768748,1.079648,-0.391455,,,
RUA,557.7075,-1.768657,1.079679,-0.3913983,,,
RUA,557.7146,-1.768667,1.079724,-0.3913491,,,
RUA,557.7213,-1.768595,1.079684,-0.3912912,,,
RUA,557.7286,-1.768534,1.079698,-0.3912428,,,
RUA,557.7358,-1.768503,1.079707,-0.3912177,,,
RUA,557.7421,-1.768474,1.079727,-0.391221,,,
RUA,557.749,-1.768427,1.07971,-0.3912,,,
RUA,557.756,-1.76842,1.079727,-0.3911558,,,
RUA,557.7632,-1.76835,1.079679,-0.3911237,,,
RUA,557.7701,-1.768313,1.079666,-0.3911177,,,
RUA,557.7776,-1.768327,1.079697,-0.3911044,,,
RUA,557.7845,-1.768314,1.079686,-0.3911073,,,
RUA,557.7908,-1.768278,1.07968,-0.3911048,,,
RUA,557.7983,-1.768252,1.079693,-0.3911107,,,
RUA,557.8053,-1.768219,1.079703,-0.3911439,,,
RUA,557.8124,-1.768205,1.079784,-0.3911308,,,
RUA,557.8195,-1.768178,1.079823,-0.3911678,,,
RUA,557.8265,-1.768172,1.079835,-0.3911661,,,
RUA,557.8337,-1.768118,1.079812,-0.3912216,,,
RUA,557.8402,-1.768047,1.079838,-0.3912271,,,
RUA,557.8475,-1.768038,1.07983,-0.391276,,,
RUA,557.8542,-1.768014,1.079771,-0.3913362,,,
RUA,557.8614,-1.767983,1.079728,-0.3913678,,,
RUA,557.8684,-1.767982,1.079703,-0.3914118,,,
RUA,557.8755,-1.768011,1.079712,-0.391418,,,
RUA,557.8824,-1.76803,1.079692,-0.3914413,,,
RUA,557.8895,-1.768055,1.079693,-0.3914697,,,
RUA,557.8962,-1.768106,1.079657,-0.3915251,,,
RUA,557.9027,-1.768149,1.07969,-0.3915767,,,
RUA,557.9102,-1.768168,1.079678,-0.3916054,,,
RUA,557.9171,-1.768225,1.079691,-0.3916553,,,
RUA,557.9238,-1.768251,1.079694,-0.3917059,,,
RUA,557.9306,-1.768269,1.079684,-0.3917496,,,
RUA,557.9376,-1.768319,1.079686,-0.3918405,,,
RUA,557.945,-1.768339,1.079691,-0.3918821,,,
RUA,557.9512,-1.768306,1.079672,-0.3919165,,,
RUA,557.9586,-1.768332,1.079619,-0.3919632,,,
RUA,557.9658,-1.768389,1.079656,-0.3919894,,,
RUA,557.9725,-1.76835,1.079632,-0.3919898,,,
RUA,557.9797,-1.768413,1.079574,-0.3920109,,,
RUA,557.9867,-1.768456,1.079597,-0.3920399,,,
RUA,557.9931,-1.768451,1.079626,-0.392039,,,
RUA,558.0001,-1.7685,1.079642,-0.3920796,,,
RUA,558.0071,-1.768521,1.079633,-0.3921007,,,
RUA,558.0141,-1.768535,1.079638,-0.3920449,,,
RUA,558.0209,-1.768562,1.079637,-0.3920591,,,
RUA,558.0281,-1.768609,1.079623,-0.3920714,,,
RUA,558.035,-1.768629,1.079686,-0.3920142,,,
RUA,558.0418,-1.768611,1.079715,-0.3920231,,,
RUA,558.049,-1.76863,1.079712,-0.3920237,,,
RUA,558.056,-1.76864,1.079732,-0.3920145,,,
RUA,558.0629,-1.768617,1.07972,-0.3919909,,,
RUA,558.0697,-1.768648,1.079663,-0.3920198,,,
RUA,558.0768,-1.76872,1.079738,-0.391965,,,
RUA,558.0847,-1.768749,1.079739,-0.3919231,,,
RUA,558.0904,-1.768761,1.079721,-0.3919209,,,
RUA,558.098,-1.768783,1.079695,-0.3919337,,,
RUA,558.1044,-1.768786,1.079703,-0.3919257,,,
RUA,558.111,-1.768791,1.079748,-0.3918694,,,
RUA,558.1185,-1.768792,1.079715,-0.3918927,,,
RUA,558.1256,-1.768786,1.079694,-0.3918875,,,
RUA,558.1321,-1.768756,1.079693,-0.3918447,,,
RUA,558.1389,-1.768775,1.079737,-0.3918111,,,
RUA,558.1463,-1.768767,1.079752,-0.3917915,,,
RUA,558.1528,-1.768759,1.079774,-0.3917409,,,
RUA,558.1605,-1.768776,1.079784,-0.3917189,,,
RUA,558.1669,-1.768793,1.07982,-0.3916904,,,
RUA,558.1735,-1.768791,1.079866,-0.3916579,,,
RUA,558.1809,-1.768721,1.079855,-0.391593,,,
RUA,558.1875,-1.768712,1.079898,-0.3915319,,,
RUA,558.1952,-1.76873,1.079937,-0.3914563,,,
RUA,558.2016,-1.768701,1.079938,-0.3914298,,,
RUA,558.2085,-1.768696,1.079932,-0.3914071,,,
RUA,558.2158,-1.76867,1.079962,-0.3913803,,,
RUA,558.2224,-1.768656,1.080002,-0.3913736,,,
RUA,558.2293,-1.768652,1.080017,-0.3913783,,,
RUA,558.2362,-1.768621,1.080105,-0.3912894,,,
RUA,558.244,-1.768617,1.08015,-0.3912937,,,
RUA,558.2501,-1.768637,1.080153,-0.3913367,,,
RUA,558.257,-1.768661,1.080207,-0.3913042,,,
RUA,558.2645,-1.768662,1.080224,-0.3913097,,,
RUA,558.2709,-1.76868,1.080222,-0.3913821,,,
RUA,558.278,-1.768762,1.08022,-0.3914081,,,
RUA,558.2855,-1.768845,1.080229,-0.3914753,,,
RUA,558.2916,-1.768902,1.080263,-0.3915183,,,
RUA,558.2987,-1.76894,1.080267,-0.3915545,,,
RUA,558.306,-1.76903,1.0803,-0.3916509,,,
RUA,558.3126,-1.769072,1.080305,-0.3917028,,,
RUA,558.3195,-1.769145,1.080306,-0.3917707,,,
RUA,558.3265,-1.769193,1.080344,-0.3918359,,,
RUA,558.334,-1.769245,1.080365,-0.391872,,,
RUA,558.3401,-1.76929,1.08037,-0.3919405,,,
RUA,558.3478,-1.769312,1.080394,-0.3920197,,,
RUA,558.3546,-1.769324,1.080352,-0.3921153,,,
RUA,558.3616,-1.769337,1.080344,-0.3922025,,,
RUA,558.3681,-1.769356,1.080312,-0.3922905,,,
RUA,558.3754,-1.769378,1.080302,-0.3923549,,,
RUA,558.3823,-1.769358,1.080275,-0.3923844,,,
RUA,558.3887,-1.769345,1.080251,-0.3924626,,,
RUA,558.3965,-1.769316,1.080275,-0.3925236,,,
RUA,558.4031,-1.769247,1.080334,-0.3925492,,,
RUA,558.4099,-1.769241,1.080345,-0.3926075,,,
RUA,558.4171,-1.769247,1.080368,-0.3925831,,,
RUA,558.4239,-1.769197,1.080375,-0.3925803,,,
RUA,558.4305,-1.769161,1.080383,-0.3926133,,,
RUA,558.4376,-1.769146,1.080413,-0.3926151,,,
RUA,558.4452,-1.769164,1.080395,-0.3926342,,,
