Object Name,Time,PosX,PosY,PosZ,,,
RUSP,557.0787,-1.487982,0.82232,-0.3425531,,,
RUSP,557.0893,-1.487807,0.8224311,-0.3425891,,,
RUSP,557.0967,-1.487669,0.8224959,-0.3427909,,,
RUSP,557.1038,-1.487545,0.8225381,-0.3428177,,,
RUSP,557.1115,-1.487474,0.8225356,-0.3429405,,,
RUSP,557.1173,-1.487425,0.8225551,-0.3430794,,,
RUSP,557.1248,-1.487347,0.8225308,-0.3431824,,,
RUSP,557.1312,-1.487327,0.8225098,-0.34334,,,
RUSP,557.1381,-1.487371,0.8225794,-0.3434678,,,
RUSP,557.1455,-1.48735,0.8225915,-0.3436064,,,
RUSP,557.1517,-1.487293,0.822581,-0.3437294,,,
RUSP,557.1589,-1.487225,0.8225501,-0.3438583,,,
RUSP,557.166,-1.487221,0.8225938,-0.3441076,,,
RUSP,557.1734,-1.487177,0.8225962,-0.3442174,,,
RUSP,557.1799,-1.487192,0.8225695,-0.3443862,,,
RUSP,557.1867,-1.487207,0.8225366,-0.3444597,,,
RUSP,557.1944,-1.487231,0.8225791,-0.3445579,,,
RUSP,557.2004,-1.487231,0.8225827,-0.3445756,,,
RUSP,557.2078,-1.487213,0.8226037,-0.3446724,,,
RUSP,557.2147,-1.487159,0.8225936,-0.3447729,,,
RUSP,557.2213,-1.487217,0.822616,-0.3449308,,,
RUSP,557.2288,-1.487183,0.8226459,-0.3450139,,,
RUSP,557.2364,-1.487154,0.8227552,-0.3450702,,,
RUSP,557.2432,-1.487017,0.8228971,-0.3451056,,,
RUSP,557.2493,-1.486961,0.8229491,-0.3451664,,,
RUSP,557.2563,-1.486856,0.8229528,-0.3452197,,,
RUSP,557.2634,-1.486741,0.8230145,-0.3452955,,,
RUSP,557.2703,-1.486671,0.8230894,-0.3453565,,,
RUSP,557.2773,-1.486602,0.8231301,-0.3453769,,,
RUSP,557.285,-1.486512,0.8231788,-0.3454255,,,
RUSP,557.2906,-1.486457,0.823264,-0.3454884,,,
RUSP,557.2979,-1.4864,0.8233664,-0.3454933,,,
RUSP,557.3121,-1.48632,0.8234491,-0.3455474,,,
RUSP,557.3188,-1.486269,0.8235862,-0.3457605,,,
RUSP,557.3259,-1.486188,0.8236388,-0.3458334,,,
RUSP,557.3329,-1.486098,0.8236936,-0.3459052,,,
RUSP,557.3393,-1.486038,0.8239343,-0.3459709,,,
RUSP,557.347,-1.485959,0.8240137,-0.3460562,,,
RUSP,557.3533,-1.485876,0.8240777,-0.3461412,,,
RUSP,557.3602,-1.485851,0.8241295,-0.3461381,,,
RUSP,557.3676,-1.485816,0.8242081,-0.3462306,,,
RUSP,557.3743,-1.485811,0.8242748,-0.3463288,,,
RUSP,557.3813,-1.485886,0.8242454,-0.3464021,,,
RUSP,557.3879,-1.485923,0.8242623,-0.3465036,,,
RUSP,557.3953,-1.485936,0.8243267,-0.3465758,,,
RUSP,557.402,-1.486104,0.8242977,-0.3466638,,,
RUSP,557.4095,-1.486228,0.8242533,-0.3467848,,,
RUSP,557.4164,-1.486332,0.8242115,-0.3469083,,,
RUSP,557.4226,-1.486453,0.8242235,-0.3471085,,,
RUSP,557.4299,-1.486577,0.8241029,-0.347256,,,
RUSP,557.4366,-1.486738,0.824048,-0.3473911,,,
RUSP,557.4443,-1.486826,0.8239701,-0.3475261,,,
RUSP,557.4507,-1.486952,0.8238778,-0.3476683,,,
