Object Name,Time,PosX,PosY,PosZ,,,
SJN,557.0787,-1.794214,1.207942,-0.139514,,,
SJN,557.0893,-1.794157,1.207959,-0.1395686,,,
SJN,557.0967,-1.794111,1.207949,-0.1396453,,,
SJN,557.1038,-1.793985,1.208076,-0.1396877,,,
SJN,557.1115,-1.793956,1.208053,-0.1397664,,,
SJN,557.1173,-1.793953,1.208028,-0.139841,,,
SJN,557.1248,-1.793912,1.207977,-0.1398869,,,
SJN,557.1312,-1.793888,1.207961,-0.1399553,,,
SJN,557.1381,-1.793925,1.208014,-0.1399518,,,
SJN,557.1455,-1.793918,1.208021,-0.1400152,,,
SJN,557.1517,-1.793883,1.208011,-0.1400256,,,
SJN,557.1589,-1.79383,1.207948,-0.1401213,,,
SJN,557.166,-1.793784,1.207963,-0.1401573,,,
SJN,557.1734,-1.793758,1.207948,-0.1401829,,,
SJN,557.1799,-1.793779,1.20791,-0.1402072,,,
SJN,557.1867,-1.793769,1.207883,-0.1402416,,,
SJN,557.1944,-1.793839,1.207873,-0.1402232,,,
SJN,557.2004,-1.793851,1.207864,-0.1402457,,,
SJN,557.2078,-1.793867,1.207874,-0.1402823,,,
SJN,557.2147,-1.793858,1.207815,-0.1403012,,,
SJN,557.2213,-1.793876,1.207832,-0.1403548,,,
SJN,557.2288,-1.79389,1.207823,-0.1403736,,,
SJN,557.2364,-1.793893,1.207908,-0.1403714,,,
SJN,557.2432,-1.793912,1.207908,-0.1404238,,,
SJN,557.2493,-1.793911,1.207904,-0.1404166,,,
SJN,557.2563,-1.793844,1.207852,-0.1404334,,,
SJN,557.2634,-1.793814,1.207838,-0.140427,,,
SJN,557.2703,-1.793821,1.207818,-0.1404551,,,
SJN,557.2773,-1.793781,1.207777,-0.1404499,,,
SJN,557.285,-1.79376,1.207727,-0.1404567,,,
SJN,557.2906,-1.793757,1.207737,-0.1404269,,,
SJN,557.2979,-1.793784,1.207714,-0.1404033,,,
