Object Name,Time,PosX,PosY,PosZ,,,
SXS,2.420974,-2.490269,0.7537899,1.973917,,,
SXS,2.431628,-2.490269,0.7537869,1.973901,,,
SXS,2.436951,-2.490263,0.753784,1.973894,,,
SXS,2.442745,-2.4903,0.7537788,1.973826,,,
SXS,2.449803,-2.490299,0.7537807,1.973816,,,
SXS,2.45669,-2.490306,0.7537811,1.9738,,,
SXS,2.463906,-2.490277,0.7537761,1.973751,,,
SXS,2.470587,-2.490277,0.7537757,1.973736,,,
SXS,2.477501,-2.49024,0.7537943,1.973996,,,
SXS,2.484476,-2.490227,0.7537901,1.973983,,,
SXS,2.491794,-2.490217,0.7537876,1.973967,,,
SXS,2.49859,-2.490225,0.7537903,1.97407,,,
SXS,2.505446,-2.490232,0.7537909,1.974072,,,
SXS,2.512255,-2.490228,0.7537881,1.974065,,,
SXS,2.519138,-2.490234,0.7537867,1.974016,,,
SXS,2.526142,-2.490232,0.753785,1.974013,,,
SXS,2.533237,-2.490245,0.7537895,1.974021,,,
SXS,2.540161,-2.490243,0.7537968,1.974097,,,
SXS,2.547226,-2.490225,0.7537897,1.974077,,,
SXS,2.554156,-2.490237,0.7537928,1.974085,,,
SXS,2.560786,-2.490265,0.7537777,1.973826,,,
SXS,2.568126,-2.490268,0.7537748,1.973815,,,
SXS,2.575074,-2.49027,0.753774,1.973798,,,
SXS,2.581688,-2.490252,0.7537677,1.973677,,,
SXS,2.588729,-2.490241,0.7537662,1.973655,,,
SXS,2.595992,-2.490237,0.7537639,1.973645,,,
SXS,2.603966,-2.490199,0.7537717,1.973814,,,
SXS,2.609659,-2.490203,0.7537748,1.973812,,,
SXS,2.616956,-2.490205,0.7537751,1.973807,,,
SXS,2.623576,-2.49024,0.7537767,1.973788,,,
SXS,2.630427,-2.490231,0.7537715,1.97377,,,
SXS,2.637254,-2.490229,0.7537697,1.973761,,,
SXS,2.644089,-2.490263,0.7537783,1.973872,,,
SXS,2.651183,-2.490264,0.7537773,1.973868,,,
SXS,2.658067,-2.490263,0.7537778,1.973859,,,
SXS,2.66519,-2.490268,0.7537783,1.973851,,,
SXS,2.672753,-2.490278,0.7537784,1.97385,,,
SXS,2.679307,-2.490232,0.7537718,1.973784,,,
SXS,2.685909,-2.490234,0.7537701,1.973769,,,
SXS,2.692966,-2.490243,0.753772,1.973769,,,
SXS,2.699754,-2.49024,0.7537853,1.974014,,,
SXS,2.70678,-2.490235,0.7537833,1.974002,,,
SXS,2.713658,-2.49023,0.7537832,1.973996,,,
SXS,2.720514,-2.490207,0.7537745,1.973845,,,
SXS,2.727593,-2.490214,0.753778,1.973847,,,
SXS,2.734432,-2.49021,0.7537735,1.973829,,,
SXS,2.741449,-2.490198,0.7537754,1.973878,,,
SXS,2.748368,-2.490193,0.7537733,1.973866,,,
SXS,2.755377,-2.490196,0.7537755,1.973858,,,
SXS,2.762276,-2.490198,0.7537783,1.973852,,,
