Object Name,Time,PosX,PosY,PosZ,,,
TV2,2.420974,-2.724629,0.8453838,2.12981,,,
TV2,2.431628,-2.72463,0.8453851,2.129791,,,
TV2,2.436951,-2.724623,0.8453873,2.129783,,,
TV2,2.442745,-2.724662,0.8453837,2.12971,,,
TV2,2.449803,-2.724662,0.845382,2.129702,,,
TV2,2.45669,-2.72467,0.8453799,2.129684,,,
TV2,2.463906,-2.724639,0.8453854,2.129633,,,
TV2,2.470587,-2.724638,0.8453853,2.129618,,,
TV2,2.477501,-2.724598,0.8453876,2.129894,,,
TV2,2.484476,-2.724582,0.8453919,2.129879,,,
TV2,2.491794,-2.724571,0.8453946,2.129863,,,
TV2,2.49859,-2.724579,0.8453954,2.129967,,,
TV2,2.505446,-2.724586,0.8453944,2.129968,,,
TV2,2.512255,-2.724582,0.8453964,2.129959,,,
TV2,2.519138,-2.724588,0.845395,2.12991,,,
TV2,2.526142,-2.724585,0.8453962,2.129906,,,
TV2,2.533237,-2.724602,0.8453916,2.129915,,,
TV2,2.540161,-2.7246,0.8453895,2.129997,,,
TV2,2.547226,-2.724577,0.8453965,2.129976,,,
TV2,2.554156,-2.724591,0.8453926,2.129983,,,
TV2,2.560786,-2.724624,0.8453892,2.129712,,,
TV2,2.568126,-2.724627,0.8453904,2.129698,,,
TV2,2.575074,-2.724629,0.84539,2.12968,,,
TV2,2.581688,-2.72461,0.8453922,2.129556,,,
TV2,2.588729,-2.724597,0.8453936,2.129535,,,
TV2,2.595992,-2.724592,0.8453956,2.129523,,,
TV2,2.603966,-2.724549,0.8454025,2.129701,,,
TV2,2.609659,-2.724554,0.8453994,2.129701,,,
TV2,2.616956,-2.724557,0.8453985,2.129694,,,
TV2,2.623576,-2.724597,0.8453915,2.129674,,,
TV2,2.630427,-2.724586,0.8453961,2.129653,,,
TV2,2.637254,-2.724584,0.8453972,2.129643,,,
TV2,2.644089,-2.72462,0.8453909,2.129759,,,
TV2,2.651183,-2.724621,0.8453913,2.129755,,,
TV2,2.658067,-2.72462,0.845391,2.129746,,,
TV2,2.66519,-2.724626,0.8453898,2.129739,,,
TV2,2.672753,-2.724638,0.8453877,2.129735,,,
TV2,2.679307,-2.724586,0.8453966,2.129669,,,
TV2,2.685909,-2.724588,0.8453967,2.129653,,,
TV2,2.692966,-2.724599,0.8453941,2.129652,,,
TV2,2.699754,-2.724593,0.8453951,2.129908,,,
TV2,2.70678,-2.724588,0.8453967,2.129896,,,
TV2,2.713658,-2.724582,0.8453971,2.129889,,,
TV2,2.720514,-2.724557,0.8454007,2.129736,,,
TV2,2.727593,-2.724566,0.8453969,2.129738,,,
TV2,2.734432,-2.724562,0.8454001,2.129716,,,
TV2,2.741449,-2.724547,0.8454024,2.129768,,,
TV2,2.748368,-2.724543,0.8454039,2.129755,,,
TV2,2.755377,-2.724546,0.8454015,2.129748,,,
TV2,2.762276,-2.72455,0.8453991,2.129743,,,
TV2,2.769321,-2.724542,0.8454018,2.129723,,,
TV2,2.776436,-2.724561,0.8453994,2.129966,,,
TV2,2.783467,-2.724562,0.8453994,2.129958,,,
TV2,2.790784,-2.724552,0.8454025,2.12994,,,
TV2,2.797891,-2.724567,0.8454005,2.129838,,,
TV2,2.804767,-2.724571,0.8454001,2.129821,,,
TV2,2.811703,-2.724577,0.8453982,2.129813,,,
TV2,2.818737,-2.724646,0.8453851,2.129708,,,
TV2,2.826211,-2.724649,0.8453842,2.129693,,,
TV2,2.832619,-2.724648,0.8453848,2.129683,,,
TV2,2.839905,-2.724643,0.8453863,2.129418,,,
TV2,2.84645,-2.724647,0.8453858,2.129407,,,
TV2,2.853245,-2.724646,0.8453845,2.1294,,,
TV2,2.860538,-2.724642,0.8453873,2.129466,,,
TV2,2.867272,-2.724642,0.8453871,2.129457,,,
TV2,2.874249,-2.724631,0.8453918,2.129434,,,
TV2,2.881278,-2.724625,0.8453906,2.129718,,,
TV2,2.888227,-2.724628,0.8453901,2.129712,,,
TV2,2.894965,-2.724632,0.8453891,2.129707,,,
TV2,2.902031,-2.724617,0.8453906,2.129532,,,
TV2,2.908931,-2.724623,0.84539,2.129518,,,
TV2,2.915966,-2.724627,0.8453895,2.129507,,,
TV2,2.92302,-2.724599,0.8453951,2.129659,,,
TV2,2.929796,-2.724598,0.8453932,2.129649,,,
TV2,2.936748,-2.7246,0.8453929,2.129714,,,
TV2,2.943689,-2.724597,0.8453958,2.129692,,,
TV2,2.950568,-2.72461,0.8453929,2.129688,,,
TV2,2.957631,-2.724632,0.8453884,2.129827,,,
TV2,2.964496,-2.724621,0.8453901,2.129813,,,
TV2,2.971441,-2.724625,0.8453894,2.129813,,,
TV2,2.978847,-2.724651,0.8453881,2.129791,,,
TV2,2.985551,-2.724649,0.8453885,2.129784,,,
TV2,2.992272,-2.724653,0.8453882,2.129778,,,
TV2,2.999219,-2.724695,0.8453829,2.129908,,,
TV2,3.006225,-2.7247,0.8453837,2.129901,,,
TV2,3.013097,-2.724713,0.8453818,2.1299,,,
TV2,3.020053,-2.724718,0.8453799,2.129896,,,
TV2,3.027069,-2.72473,0.845377,2.129892,,,
TV2,3.033854,-2.72473,0.8453794,2.129874,,,
TV2,3.040962,-2.724679,0.8453841,2.129953,,,
TV2,3.047923,-2.724688,0.8453837,2.129946,,,
TV2,3.054775,-2.7247,0.845383,2.129905,,,
TV2,3.061702,-2.724712,0.8453797,2.129906,,,
TV2,3.068681,-2.724712,0.8453819,2.129893,,,
TV2,3.075851,-2.724718,0.8453819,2.129886,,,
TV2,3.082618,-2.72468,0.8453853,2.129836,,,
TV2,3.089543,-2.724682,0.8453848,2.129837,,,
TV2,3.096555,-2.724636,0.8453912,2.129814,,,
TV2,3.103326,-2.724628,0.8453913,2.129812,,,
TV2,3.110597,-2.724626,0.8453904,2.129807,,,
TV2,3.117232,-2.724611,0.8453959,2.129986,,,
TV2,3.124188,-2.72461,0.8453943,2.129987,,,
TV2,3.131128,-2.724599,0.8453968,2.129975,,,
TV2,3.138248,-2.724612,0.8453937,2.130089,,,
TV2,3.144972,-2.724601,0.8453979,2.130072,,,
TV2,3.152028,-2.724589,0.8454007,2.130061,,,
TV2,3.158906,-2.724578,0.8453993,2.130103,,,
TV2,3.165848,-2.724572,0.8454022,2.130094,,,
TV2,3.172896,-2.724585,0.8453976,2.130106,,,
TV2,3.179819,-2.724629,0.8453943,2.129992,,,
TV2,3.186677,-2.724632,0.8453934,2.129993,,,
TV2,3.193666,-2.724636,0.8453919,2.129997,,,
TV2,3.20106,-2.724633,0.8453943,2.129992,,,
TV2,3.207923,-2.724673,0.8453889,2.129887,,,
TV2,3.214563,-2.724677,0.8453871,2.129886,,,
TV2,3.221451,-2.724672,0.8453896,2.129872,,,
TV2,3.228619,-2.724679,0.8453889,2.129865,,,
TV2,3.237859,-2.72468,0.8453888,2.129852,,,
TV2,3.242196,-2.724675,0.8453892,2.129833,,,
TV2,3.249029,-2.724583,0.8454018,2.130041,,,
TV2,3.25611,-2.724584,0.8454008,2.130037,,,
TV2,3.263007,-2.724567,0.8454035,2.130024,,,
TV2,3.269776,-2.724569,0.8454031,2.130023,,,
TV2,3.27681,-2.724576,0.8453988,2.130018,,,
TV2,3.283679,-2.724564,0.8454025,2.130006,,,
TV2,3.290806,-2.724572,0.8454005,2.130011,,,
TV2,3.297816,-2.724605,0.8453947,2.129833,,,
TV2,3.304637,-2.724596,0.8453989,2.12981,,,
TV2,3.311532,-2.724603,0.8453968,2.129809,,,
TV2,3.318444,-2.724581,0.845401,2.129735,,,
TV2,3.325547,-2.724594,0.8453977,2.129735,,,
TV2,3.332608,-2.724579,0.8454026,2.129705,,,
TV2,3.339391,-2.724536,0.8454034,2.1299,,,
TV2,3.346312,-2.724536,0.8454044,2.129886,,,
TV2,3.353067,-2.72453,0.8454065,2.129867,,,
TV2,3.360134,-2.724499,0.8454124,2.130146,,,
TV2,3.367046,-2.724492,0.8454123,2.130142,,,
TV2,3.374126,-2.724484,0.8454124,2.130137,,,
TV2,3.38111,-2.72445,0.8454198,2.130087,,,
TV2,3.388238,-2.724454,0.8454165,2.130093,,,
TV2,3.394827,-2.724494,0.8454088,2.13018,,,
TV2,3.401735,-2.724477,0.8454172,2.130156,,,
TV2,3.408911,-2.724486,0.8454132,2.130163,,,
TV2,3.415822,-2.724564,0.8454023,2.130219,,,
TV2,3.423173,-2.724564,0.845403,2.130213,,,
TV2,3.430099,-2.724572,0.8454017,2.13021,,,
TV2,3.436479,-2.724573,0.8453997,2.130207,,,
TV2,3.443435,-2.72459,0.845397,2.130208,,,
TV2,3.450369,-2.724577,0.8454013,2.130192,,,
TV2,3.457527,-2.724591,0.8453962,2.130201,,,
TV2,3.464354,-2.724588,0.8453988,2.130191,,,
TV2,3.471501,-2.72459,0.8453978,2.130188,,,
TV2,3.478459,-2.724666,0.8453887,2.130132,,,
TV2,3.485285,-2.724678,0.8453878,2.130129,,,
TV2,3.492383,-2.72468,0.8453879,2.130122,,,
TV2,3.499221,-2.724651,0.8453915,2.130226,,,
TV2,3.506344,-2.724657,0.8453903,2.130224,,,
TV2,3.513098,-2.724658,0.845391,2.130214,,,
TV2,3.520001,-2.724657,0.8453918,2.130196,,,
TV2,3.527361,-2.724661,0.8453929,2.130183,,,
TV2,3.534142,-2.724652,0.845395,2.13017,,,
TV2,3.541012,-2.724656,0.8453926,2.130175,,,
TV2,3.547856,-2.724666,0.8453898,2.130177,,,
TV2,3.55479,-2.724687,0.8453859,2.130186,,,
TV2,3.561612,-2.724667,0.8453903,2.13007,,,
TV2,3.568624,-2.724665,0.8453914,2.130058,,,
TV2,3.576177,-2.724663,0.8453908,2.130177,,,
TV2,3.582898,-2.72466,0.8453924,2.13017,,,
TV2,3.5898,-2.724673,0.8453884,2.130181,,,
TV2,3.596525,-2.724675,0.8453858,2.130184,,,
TV2,3.603379,-2.724662,0.8453914,2.130164,,,
TV2,3.610332,-2.724662,0.8453916,2.130158,,,
TV2,3.617702,-2.724665,0.8453911,2.130157,,,
TV2,3.624302,-2.724658,0.8453917,2.130152,,,
TV2,3.631051,-2.724653,0.8453927,2.130148,,,
TV2,3.638153,-2.724653,0.8453913,2.130148,,,
TV2,3.644971,-2.724663,0.8453888,2.130152,,,
TV2,3.652086,-2.724649,0.8453938,2.130136,,,
TV2,3.658947,-2.724559,0.8454044,2.130161,,,
TV2,3.666026,-2.724549,0.8454082,2.130144,,,
TV2,3.672797,-2.72456,0.8454031,2.130155,,,
