LeftHand,0,-0.25,1,0,0,0,0
RightHand,0,0.25,1,0,0,0,0
VRCamera,0,-0.1743009,1.744486,0.3906874,348.7049,248.5554,358.3997
Tracker1,0,0,0,0,0,0,0
Tracker2,0,0,0,0,0,0,0
Tracker3,0,0,0,0,0,0,0
LeftHand,0.02,-0.25,1,0,0,0,0
RightHand,0.02,0.25,1,0,0,0,0
VRCamera,0.02,-0.1743009,1.744486,0.3906874,348.7049,248.5554,358.3997
Tracker1,0.02,0,0,0,0,0,0
Tracker2,0.02,0,0,0,0,0,0
Tracker3,0.02,0,0,0,0,0,0
LeftHand,0.3533334,0,0,0,0,0,0
RightHand,0.3533334,0,0,0,0,0,0
VRCamera,0.3533334,-0.1742798,1.744429,0.390715,348.7393,248.5594,358.4103
Tracker1,0.3533334,0,0,0,0,0,0
Tracker2,0.3533334,0,0,0,0,0,0
Tracker3,0.3533334,0,0,0,0,0,0
LeftHand,0.3999183,0,0,0,0,0,0
RightHand,0.3999183,0,0,0,0,0,0
VRCamera,0.3999183,-0.2335289,1.671725,0.3867365,28.18284,253.9154,358.1226
Tracker1,0.3999183,0,0,0,0,0,0
Tracker2,0.3999183,0,0,0,0,0,0
Tracker3,0.3999183,0,0,0,0,0,0
LeftHand,0.4221642,0,0,0,0,0,0
RightHand,0.4221642,0,0,0,0,0,0
VRCamera,0.4221642,-0.239813,1.665815,0.3815104,30.69684,253.4341,358.6172
Tracker1,0.4221642,0,0,0,0,0,0
Tracker2,0.4221642,0,0,0,0,0,0
Tracker3,0.4221642,0,0,0,0,0,0
LeftHand,0.4438762,0,0,0,0,0,0
RightHand,0.4438762,0,0,0,0,0,0
VRCamera,0.4438762,-0.2403672,1.665794,0.3811128,30.72549,253.3997,358.583
Tracker1,0.4438762,0,0,0,0,0,0
Tracker2,0.4438762,0,0,0,0,0,0
Tracker3,0.4438762,0,0,0,0,0,0
LeftHand,0.4640581,0,0,0,0,0,0
RightHand,0.4640581,0,0,0,0,0,0
VRCamera,0.4640581,-0.2406831,1.665657,0.3809952,30.72827,253.3837,358.5589
Tracker1,0.4640581,0,0,0,0,0,0
Tracker2,0.4640581,0,0,0,0,0,0
Tracker3,0.4640581,0,0,0,0,0,0
LeftHand,0.4844664,0,0,0,0,0,0
RightHand,0.4844664,0,0,0,0,0,0
VRCamera,0.4844664,-0.2409413,1.665535,0.3808602,30.76996,253.3843,358.5555
Tracker1,0.4844664,0,0,0,0,0,0
Tracker2,0.4844664,0,0,0,0,0,0
Tracker3,0.4844664,0,0,0,0,0,0
LeftHand,0.5048043,0,0,0,0,0,0
RightHand,0.5048043,0,0,0,0,0,0
VRCamera,0.5048043,-0.2411133,1.665476,0.3806329,30.80354,253.3757,358.5693
Tracker1,0.5048043,0,0,0,0,0,0
Tracker2,0.5048043,0,0,0,0,0,0
Tracker3,0.5048043,0,0,0,0,0,0
LeftHand,0.526637,0,0,0,0,0,0
RightHand,0.526637,0,0,0,0,0,0
VRCamera,0.526637,-0.2415046,1.665375,0.3804212,30.84744,253.3633,358.5582
Tracker1,0.526637,0,0,0,0,0,0
Tracker2,0.526637,0,0,0,0,0,0
Tracker3,0.526637,0,0,0,0,0,0
LeftHand,0.54729,0,0,0,0,0,0
RightHand,0.54729,0,0,0,0,0,0
VRCamera,0.54729,-0.2418376,1.665228,0.3802316,30.91151,253.3556,358.5311
Tracker1,0.54729,0,0,0,0,0,0
Tracker2,0.54729,0,0,0,0,0,0
Tracker3,0.54729,0,0,0,0,0,0
LeftHand,0.5680838,0,0,0,0,0,0
RightHand,0.5680838,0,0,0,0,0,0
VRCamera,0.5680838,-0.2419967,1.665211,0.3801545,30.95942,253.3506,358.5281
Tracker1,0.5680838,0,0,0,0,0,0
Tracker2,0.5680838,0,0,0,0,0,0
Tracker3,0.5680838,0,0,0,0,0,0
LeftHand,0.5890858,0,0,0,0,0,0
RightHand,0.5890858,0,0,0,0,0,0
VRCamera,0.5890858,-0.2421619,1.665064,0.3799965,31.02992,253.3404,358.5373
Tracker1,0.5890858,0,0,0,0,0,0
Tracker2,0.5890858,0,0,0,0,0,0
Tracker3,0.5890858,0,0,0,0,0,0
LeftHand,0.6098356,0,0,0,0,0,0
RightHand,0.6098356,0,0,0,0,0,0
VRCamera,0.6098356,-0.242458,1.66493,0.3797641,31.0923,253.3333,358.5479
Tracker1,0.6098356,0,0,0,0,0,0
Tracker2,0.6098356,0,0,0,0,0,0
Tracker3,0.6098356,0,0,0,0,0,0
LeftHand,0.6313714,0,0,0,0,0,0
RightHand,0.6313714,0,0,0,0,0,0
VRCamera,0.6313714,-0.2427074,1.664732,0.379501,31.14385,253.3174,358.5473
Tracker1,0.6313714,0,0,0,0,0,0
Tracker2,0.6313714,0,0,0,0,0,0
Tracker3,0.6313714,0,0,0,0,0,0
LeftHand,0.6530219,0,0,0,0,0,0
RightHand,0.6530219,0,0,0,0,0,0
VRCamera,0.6530219,-0.2428668,1.66454,0.3793741,31.18636,253.3123,358.5344
Tracker1,0.6530219,0,0,0,0,0,0
Tracker2,0.6530219,0,0,0,0,0,0
Tracker3,0.6530219,0,0,0,0,0,0
LeftHand,0.6750022,0,0,0,0,0,0
RightHand,0.6750022,0,0,0,0,0,0
VRCamera,0.6750022,-0.2429935,1.664506,0.3790764,31.21494,253.3232,358.5482
Tracker1,0.6750022,0,0,0,0,0,0
Tracker2,0.6750022,0,0,0,0,0,0
Tracker3,0.6750022,0,0,0,0,0,0
LeftHand,0.6966928,0,0,0,0,0,0
RightHand,0.6966928,0,0,0,0,0,0
VRCamera,0.6966928,-0.2432173,1.664444,0.3788771,31.24136,253.3265,358.5768
Tracker1,0.6966928,0,0,0,0,0,0
Tracker2,0.6966928,0,0,0,0,0,0
Tracker3,0.6966928,0,0,0,0,0,0
LeftHand,0.7185131,0,0,0,0,0,0
RightHand,0.7185131,0,0,0,0,0,0
VRCamera,0.7185131,-0.2434561,1.664403,0.3786057,31.27011,253.3384,358.576
Tracker1,0.7185131,0,0,0,0,0,0
Tracker2,0.7185131,0,0,0,0,0,0
Tracker3,0.7185131,0,0,0,0,0,0
LeftHand,0.7403582,0,0,0,0,0,0
RightHand,0.7403582,0,0,0,0,0,0
VRCamera,0.7403582,-0.243706,1.664237,0.3784178,31.31113,253.3499,358.5956
Tracker1,0.7403582,0,0,0,0,0,0
Tracker2,0.7403582,0,0,0,0,0,0
Tracker3,0.7403582,0,0,0,0,0,0
LeftHand,0.7652676,0,0,0,0,0,0
RightHand,0.7652676,0,0,0,0,0,0
VRCamera,0.7652676,-0.2438603,1.664151,0.3782613,31.37397,253.3588,358.6093
Tracker1,0.7652676,0,0,0,0,0,0
Tracker2,0.7652676,0,0,0,0,0,0
Tracker3,0.7652676,0,0,0,0,0,0
LeftHand,0.7881764,0,0,0,0,0,0
RightHand,0.7881764,0,0,0,0,0,0
VRCamera,0.7881764,-0.2441061,1.664059,0.3781042,31.41081,253.3405,358.5957
Tracker1,0.7881764,0,0,0,0,0,0
Tracker2,0.7881764,0,0,0,0,0,0
Tracker3,0.7881764,0,0,0,0,0,0
LeftHand,0.8105595,0,0,0,0,0,0
RightHand,0.8105595,0,0,0,0,0,0
VRCamera,0.8105595,-0.2443418,1.663896,0.377761,31.47537,253.3322,358.6012
Tracker1,0.8105595,0,0,0,0,0,0
Tracker2,0.8105595,0,0,0,0,0,0
Tracker3,0.8105595,0,0,0,0,0,0
LeftHand,0.8325595,0,0,0,0,0,0
RightHand,0.8325595,0,0,0,0,0,0
VRCamera,0.8325595,-0.2446846,1.663609,0.3775852,31.56902,253.3271,358.6138
Tracker1,0.8325595,0,0,0,0,0,0
Tracker2,0.8325595,0,0,0,0,0,0
Tracker3,0.8325595,0,0,0,0,0,0
LeftHand,0.8553007,0,0,0,0,0,0
RightHand,0.8553007,0,0,0,0,0,0
VRCamera,0.8553007,-0.2449761,1.663438,0.3773817,31.64913,253.3112,358.6318
Tracker1,0.8553007,0,0,0,0,0,0
